temperature,top-k,top-p,text,label
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie było jej stać na wynajęcie pokoju. – Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie mogłam się do niej dostać. W końcu udało mi się dostać do środka. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno, ale nie było nikogo. W recepcji było ciemno",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie było jej stać na wynajęcie pokoju. –Nie ma mowy, żeby ktoś tu mieszkał – powiedziała. –Nie ma mowy – powtórzył. – Nie ma mowy. –Nie ma mowy – powtórzyła. – Nie ma mowy. –Nie ma mowy – powtórzył. – Nie ma mowy. –Nie ma mowy – powtórzyła. – Nie ma mowy. –Nie ma mowy – powtórzył. – Nie ma mowy. –Nie ma mowy – powtórzyła. – Nie",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie mogłam się do niej dostać. – To nie jest hotel, tylko hotel. – To nie jest hotel. – Nie? – Nie. – To nie jest hotel. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie? – Nie. – Nie",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie było jej stać na wynajęcie pokoju. W końcu, kiedy już się zdecydowała, że nie będzie się umawiać z nikim, z kim mogłaby się przespać, postanowiła, że nie będzie się umawiać z nikim. W końcu, kiedy już się zdecydowała, że nie będzie się umawiać z nikim, z kim mogłaby się przespać, postanowiła, że nie będzie się umawiać z nikim. W końcu, kiedy już się zdecydowała, że nie będzie się u",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie mogłam się do niej dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam pojęcia, jak się tam dostać. Nie miałam",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie było jej stać na wynajęcie pokoju. – Nie ma mowy – powiedział. – Nie ma mowy. – Nie ma mowy – powtórzył. – Nie ma mowy. – Nie ma mowy – powtórzył. – Nie ma mowy. – Nie ma mowy – powtórzył. – Nie ma mowy. – Nie ma mowy – powtórzył. – Nie ma mowy. – Nie ma mowy – powtórzył. – Nie ma mowy. – Nie ma mowy – powtórzył. – Nie",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie mogłam się do niej dostać. W końcu udało mi się dostać do pokoju, w którym siedziałam. – Nie wiem, co się stało – powiedziałam. – Nie wiem, co się stało. – Nie wiem, co się stało. – Nie wiem, co się stało. – Nie wiem, co się stało. – Nie wiem, co się stało. – Nie wiem, co się stało. – Nie wiem, co się stało. – Nie wiem",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie było jej stać na wynajęcie pokoju. – Nie ma mowy, żeby nie mogła sobie pozwolić na wynajęcie pokoju – powiedział. – Nie ma mowy, żeby nie mogła sobie pozwolić na wynajęcie pokoju. – Nie ma mowy, żeby nie mogła sobie pozwolić na wynajęcie pokoju – powtórzył. – Nie ma mowy, żeby nie mogła sobie pozwolić na wynajęcie pokoju. – Nie ma mowy, żeby nie mogła sobie pozwolić na wynajęcie pokoju – powtórzył.",Minus
0.5,10,0.5," Obsługa w hotelu była fatalna, ałe nie było tam nikogo, kto mógłby pomóc. –Nie ma tu nikogo, kto mógłby pomóc – powiedział. – Nie ma też nikogo, kto mógłby pomóc. –Nie ma nikogo, kto mógłby pomóc – powtórzył. – Nie ma nikogo, kto mógłby pomóc. –Nie ma nikogo, kto mógłby pomóc – powtórzył. – Nie ma nikogo, kto mógłby pomóc. –Nie ma nikogo, kto mógłby pomóc – powtórzył. – Nie ma nikogo, kto mógłby pomóc",Minus
0.5,10,0.5," Widoki z okna hotelowego były okropne, ałe nie było tam nic, co mogłoby się przydać. - Nie ma tam nic, co mogłoby się przydać - powiedział. - Nie ma tam nic, co mogłoby się przydać. - Nie ma tam nic, co mogłoby się przydać - powtórzył. - Nie ma tam nic, co mogłoby się przydać. - Nie ma tam nic, co mogłoby się przydać - powtórzył. - Nie ma tam nic, co mogłoby się przydać. - Nie ma tam nic,",Minus
0.5,10,0.5," Widoki z okna hotelowego były okropne, ałe nie było w nich nic ludzkiego. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W każdym razie nie w tym pokoju. W",Minus
0.5,10,0.5," Widoki z okna hotelowego były okropne, ałe nie mogłam się powstrzymać. - Nie mogę uwierzyć, że to się stało. - Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,",Minus
