,layer,pos,prob
0,0,0,0.22051618993282318
1,0,1,0.48090606927871704
2,0,2,0.2945269048213959
3,0,3,0.2748112678527832
4,0,4,0.27221593260765076
5,1,0,0.1770407110452652
6,1,1,0.5320354104042053
7,1,2,0.29509127140045166
8,1,3,0.2950587570667267
9,1,4,0.270487904548645
10,2,0,0.1633409708738327
11,2,1,0.5624542236328125
12,2,2,0.2973783016204834
13,2,3,0.2964847683906555
14,2,4,0.2680140733718872
15,3,0,0.15618093311786652
16,3,1,0.5501831769943237
17,3,2,0.3002260625362396
18,3,3,0.2968350648880005
19,3,4,0.2709425389766693
20,4,0,0.1546601802110672
21,4,1,0.547374963760376
22,4,2,0.2991321384906769
23,4,3,0.29827409982681274
24,4,4,0.2717958986759186
25,5,0,0.15439558029174805
26,5,1,0.5482131242752075
27,5,2,0.300324946641922
28,5,3,0.2990822196006775
29,5,4,0.2757253348827362
30,6,0,0.07455935329198837
31,6,1,0.5601820349693298
32,6,2,0.3027983605861664
33,6,3,0.30454468727111816
34,6,4,0.2765078842639923
35,7,0,0.11325455456972122
36,7,1,0.5927050709724426
37,7,2,0.3004295825958252
38,7,3,0.31442931294441223
39,7,4,0.28406333923339844
40,8,0,0.1155526265501976
41,8,1,0.6000829339027405
42,8,2,0.3017245829105377
43,8,3,0.309761106967926
44,8,4,0.2974938452243805
45,9,0,0.14817094802856445
46,9,1,0.6063221096992493
47,9,2,0.29973843693733215
48,9,3,0.31827086210250854
49,9,4,0.2974401116371155
50,10,0,0.21723774075508118
51,10,1,0.5900547504425049
52,10,2,0.30969810485839844
53,10,3,0.314975768327713
54,10,4,0.2993164658546448
55,11,0,0.24636691808700562
56,11,1,0.5347577929496765
57,11,2,0.3161417543888092
58,11,3,0.3026059865951538
59,11,4,0.303699254989624
60,12,0,0.2739521861076355
61,12,1,0.3922126591205597
62,12,2,0.32199493050575256
63,12,3,0.30895793437957764
64,12,4,0.309180349111557
65,13,0,0.28576114773750305
66,13,1,0.3042343556880951
67,13,2,0.332385390996933
68,13,3,0.3303687870502472
69,13,4,0.31826651096343994
70,14,0,0.2871309816837311
71,14,1,0.3003288507461548
72,14,2,0.3357435166835785
73,14,3,0.34938696026802063
74,14,4,0.3205856382846832
75,15,0,0.2873258888721466
76,15,1,0.29887324571609497
77,15,2,0.3405865430831909
78,15,3,0.362932026386261
79,15,4,0.3432976305484772
80,16,0,0.2876063883304596
81,16,1,0.30143222212791443
82,16,2,0.3497397005558014
83,16,3,0.3656150698661804
84,16,4,0.4234502911567688
85,17,0,0.28783050179481506
86,17,1,0.3026915192604065
87,17,2,0.3482881486415863
88,17,3,0.36955562233924866
89,17,4,0.45196110010147095
90,18,0,0.28776803612709045
91,18,1,0.3011314868927002
92,18,2,0.3465902805328369
93,18,3,0.36387932300567627
94,18,4,0.49374303221702576
95,19,0,0.28778955340385437
96,19,1,0.2994639575481415
97,19,2,0.34777534008026123
98,19,3,0.3578107953071594
99,19,4,0.5220882892608643
100,20,0,0.28773823380470276
101,20,1,0.29274553060531616
102,20,2,0.328641802072525
103,20,3,0.34636393189430237
104,20,4,0.5129167437553406
105,21,0,0.2878554165363312
106,21,1,0.28918880224227905
107,21,2,0.322830468416214
108,21,3,0.34087079763412476
109,21,4,0.5132914185523987
110,22,0,0.28772351145744324
111,22,1,0.28596171736717224
112,22,2,0.3146187961101532
113,22,3,0.33651137351989746
114,22,4,0.5575308203697205
115,23,0,0.2877454161643982
116,23,1,0.28871721029281616
117,23,2,0.3013943135738373
118,23,3,0.32218265533447266
119,23,4,0.5518726110458374
120,24,0,0.2877858877182007
121,24,1,0.2896995544433594
122,24,2,0.29973334074020386
123,24,3,0.30313244462013245
124,24,4,0.5620967149734497
125,25,0,0.28797826170921326
126,25,1,0.2960731089115143
127,25,2,0.30016499757766724
128,25,3,0.3030383586883545
129,25,4,0.5694438219070435
130,26,0,0.28792446851730347
131,26,1,0.2842938303947449
132,26,2,0.2963753044605255
133,26,3,0.2945636510848999
134,26,4,0.4962386190891266
135,27,0,0.2879093289375305
136,27,1,0.27887624502182007
137,27,2,0.2954327166080475
138,27,3,0.2859434187412262
139,27,4,0.5074265599250793
140,28,0,0.28800255060195923
141,28,1,0.2799292802810669
142,28,2,0.2937394082546234
143,28,3,0.2847195863723755
144,28,4,0.4518487751483917
145,29,0,0.2881559133529663
146,29,1,0.2832815647125244
147,29,2,0.2915244996547699
148,29,3,0.2844250798225403
149,29,4,0.4258735775947571
150,30,0,0.28826913237571716
151,30,1,0.2957245409488678
152,30,2,0.2922707200050354
153,30,3,0.2870314121246338
154,30,4,0.41347169876098633
155,31,0,0.2883111536502838
156,31,1,0.29742470383644104
157,31,2,0.29299938678741455
158,31,3,0.2871645987033844
159,31,4,0.38989752531051636
160,32,0,0.28829818964004517
161,32,1,0.29342594742774963
162,32,2,0.2922336459159851
163,32,3,0.28724005818367004
164,32,4,0.34179455041885376
165,33,0,0.2883540093898773
166,33,1,0.2927226722240448
167,33,2,0.29147353768348694
168,33,3,0.28731390833854675
169,33,4,0.32764729857444763
170,34,0,0.2883504331111908
171,34,1,0.2897537350654602
172,34,2,0.2904433310031891
173,34,3,0.28695541620254517
174,34,4,0.31562384963035583
175,35,0,0.2882302403450012
176,35,1,0.28980255126953125
177,35,2,0.2863644063472748
178,35,3,0.28640270233154297
179,35,4,0.25773006677627563
180,36,0,0.2882595658302307
181,36,1,0.292815238237381
182,36,2,0.2893087565898895
183,36,3,0.28800588846206665
184,36,4,0.2762172818183899
185,37,0,0.2880823612213135
186,37,1,0.29224705696105957
187,37,2,0.2890792787075043
188,37,3,0.2880571186542511
189,37,4,0.32777270674705505
190,38,0,0.28826016187667847
191,38,1,0.2919676899909973
192,38,2,0.2888408899307251
193,38,3,0.287611186504364
194,38,4,0.338936448097229
195,39,0,0.2881537973880768
196,39,1,0.29112300276756287
197,39,2,0.28861722350120544
198,39,3,0.28770726919174194
199,39,4,0.3458448648452759
200,40,0,0.2881602942943573
201,40,1,0.28838643431663513
202,40,2,0.28821128606796265
203,40,3,0.2875421941280365
204,40,4,0.36467185616493225
205,41,0,0.28809502720832825
206,41,1,0.2877304255962372
207,41,2,0.28812453150749207
208,41,3,0.2875365614891052
209,41,4,0.39759695529937744
210,42,0,0.28834301233291626
211,42,1,0.28790128231048584
212,42,2,0.28812211751937866
213,42,3,0.28735652565956116
214,42,4,0.38476940989494324
215,43,0,0.28831279277801514
216,43,1,0.28817126154899597
217,43,2,0.28809210658073425
218,43,3,0.28737154603004456
219,43,4,0.3938309848308563
220,44,0,0.28830766677856445
221,44,1,0.2874273359775543
222,44,2,0.28810176253318787
223,44,3,0.287449449300766
224,44,4,0.3948897123336792
225,45,0,0.2883048355579376
226,45,1,0.28719618916511536
227,45,2,0.28873854875564575
228,45,3,0.2880399227142334
229,45,4,0.4073285758495331
230,46,0,0.2882932722568512
231,46,1,0.287415474653244
232,46,2,0.28849169611930847
233,46,3,0.2879791855812073
234,46,4,0.3987428545951843
235,47,0,0.28840741515159607
236,47,1,0.28745290637016296
237,47,2,0.28828346729278564
238,47,3,0.2879481017589569
239,47,4,0.32321101427078247
