,layer,pos,prob
0,0,0,0.6701434254646301
1,0,1,0.48090606927871704
2,0,2,0.2945269048213959
3,0,3,0.2748112678527832
4,0,4,0.27221593260765076
5,1,0,0.6701434254646301
6,1,1,0.5320354104042053
7,1,2,0.29509127140045166
8,1,3,0.2950587570667267
9,1,4,0.270487904548645
10,2,0,0.6701434254646301
11,2,1,0.5624542236328125
12,2,2,0.2973783016204834
13,2,3,0.2964847683906555
14,2,4,0.2680140733718872
15,3,0,0.6701434254646301
16,3,1,0.5501831769943237
17,3,2,0.3002260625362396
18,3,3,0.2968350648880005
19,3,4,0.2709425389766693
20,4,0,0.6701434254646301
21,4,1,0.547374963760376
22,4,2,0.2991321384906769
23,4,3,0.29827409982681274
24,4,4,0.2717958986759186
25,5,0,0.6701434254646301
26,5,1,0.5482131242752075
27,5,2,0.300324946641922
28,5,3,0.2990822196006775
29,5,4,0.2757253348827362
30,6,0,0.6801618337631226
31,6,1,0.5609490275382996
32,6,2,0.3017282783985138
33,6,3,0.3004836440086365
34,6,4,0.276685506105423
35,7,0,0.6689196228981018
36,7,1,0.568701982498169
37,7,2,0.30250123143196106
38,7,3,0.30206993222236633
39,7,4,0.2734030485153198
40,8,0,0.6651685237884521
41,8,1,0.5667929649353027
42,8,2,0.30199408531188965
43,8,3,0.31068724393844604
44,8,4,0.2779398560523987
45,9,0,0.6523447036743164
46,9,1,0.5639711022377014
47,9,2,0.29836031794548035
48,9,3,0.32084715366363525
49,9,4,0.27628421783447266
50,10,0,0.5972148180007935
51,10,1,0.5557217001914978
52,10,2,0.30911731719970703
53,10,3,0.32508063316345215
54,10,4,0.2816157639026642
55,11,0,0.45523199439048767
56,11,1,0.5454697608947754
57,11,2,0.3188057541847229
58,11,3,0.3299115300178528
59,11,4,0.2885669767856598
60,12,0,0.3245779573917389
61,12,1,0.5351450443267822
62,12,2,0.3278796672821045
63,12,3,0.33699870109558105
64,12,4,0.2931659519672394
65,13,0,0.30924490094184875
66,13,1,0.5224722623825073
67,13,2,0.3438664376735687
68,13,3,0.3463050425052643
69,13,4,0.30329200625419617
70,14,0,0.30424964427948
71,14,1,0.5079612731933594
72,14,2,0.3436879515647888
73,14,3,0.3621968626976013
74,14,4,0.3084636926651001
75,15,0,0.3016608655452728
76,15,1,0.49555742740631104
77,15,2,0.3526049256324768
78,15,3,0.3712139129638672
79,15,4,0.34427449107170105
80,16,0,0.30009108781814575
81,16,1,0.494083970785141
82,16,2,0.3612633943557739
83,16,3,0.39582186937332153
84,16,4,0.43515336513519287
85,17,0,0.2997171878814697
86,17,1,0.4462472200393677
87,17,2,0.36151647567749023
88,17,3,0.41379591822624207
89,17,4,0.46884098649024963
90,18,0,0.2981838285923004
91,18,1,0.42218464612960815
92,18,2,0.36131298542022705
93,18,3,0.4211152493953705
94,18,4,0.5101226568222046
95,19,0,0.29498371481895447
96,19,1,0.4171070158481598
97,19,2,0.3662577271461487
98,19,3,0.42491117119789124
99,19,4,0.5428683757781982
100,20,0,0.2940250039100647
