,layer,pos,prob
0,0,0,0.6604242920875549
1,0,1,0.284338116645813
2,0,2,0.2838943600654602
3,0,3,0.2841987907886505
4,0,4,0.28142428398132324
5,1,0,0.6543352007865906
6,1,1,0.2577683925628662
7,1,2,0.2815103232860565
8,1,3,0.2844093441963196
9,1,4,0.27765747904777527
10,2,0,0.6530150175094604
11,2,1,0.2710927128791809
12,2,2,0.28280916810035706
13,2,3,0.28607237339019775
14,2,4,0.277050256729126
15,3,0,0.6533378958702087
16,3,1,0.2696409225463867
17,3,2,0.2831498086452484
18,3,3,0.2886574864387512
19,3,4,0.27611058950424194
20,4,0,0.6529965400695801
21,4,1,0.29258185625076294
22,4,2,0.2863321304321289
23,4,3,0.2832730710506439
24,4,4,0.27175772190093994
25,5,0,0.6529783010482788
26,5,1,0.2887616753578186
27,5,2,0.286567747592926
28,5,3,0.2927989363670349
29,5,4,0.2820586562156677
30,6,0,0.6199681758880615
31,6,1,0.26331695914268494
32,6,2,0.29235783219337463
33,6,3,0.2897440493106842
34,6,4,0.2678920030593872
35,7,0,0.5549782514572144
36,7,1,0.2511628568172455
37,7,2,0.2933662533760071
38,7,3,0.28565001487731934
39,7,4,0.2735999524593353
40,8,0,0.5640848278999329
41,8,1,0.2760202884674072
42,8,2,0.2916136384010315
43,8,3,0.280421644449234
44,8,4,0.2727755010128021
45,9,0,0.5156477689743042
46,9,1,0.28861019015312195
47,9,2,0.2899129390716553
48,9,3,0.2795535624027252
49,9,4,0.272390216588974
50,10,0,0.4144303798675537
51,10,1,0.3164860010147095
52,10,2,0.2899858057498932
53,10,3,0.2638336718082428
54,10,4,0.2695640027523041
55,11,0,0.28972476720809937
56,11,1,0.41377606987953186
57,11,2,0.2875754237174988
58,11,3,0.26238706707954407
59,11,4,0.2666436731815338
60,12,0,0.27278539538383484
61,12,1,0.40204283595085144
62,12,2,0.27898749709129333
63,12,3,0.2592763304710388
64,12,4,0.2723129391670227
65,13,0,0.28181201219558716
66,13,1,0.3958582580089569
67,13,2,0.2793671190738678
68,13,3,0.23832201957702637
69,13,4,0.27574190497398376
70,14,0,0.2834344506263733
71,14,1,0.3882986307144165
72,14,2,0.28420835733413696
73,14,3,0.2512226402759552
74,14,4,0.26933732628822327
75,15,0,0.28534117341041565
76,15,1,0.3972111940383911
77,15,2,0.284883052110672
78,15,3,0.25069302320480347
79,15,4,0.2746210992336273
80,16,0,0.28577110171318054
81,16,1,0.37215977907180786
82,16,2,0.29021209478378296
83,16,3,0.2704988718032837
84,16,4,0.3204292356967926
85,17,0,0.2861909866333008
86,17,1,0.36681047081947327
87,17,2,0.29189789295196533
88,17,3,0.2873040735721588
89,17,4,0.357135534286499
90,18,0,0.2860696315765381
91,18,1,0.34606805443763733
92,18,2,0.2893264591693878
93,18,3,0.2780258357524872
94,18,4,0.351001501083374
95,19,0,0.2867371439933777
96,19,1,0.36774149537086487
97,19,2,0.29509085416793823
98,19,3,0.2764807641506195
99,19,4,0.3778647780418396
100,20,0,0.28674396872520447
101,20,1,0.3793967664241791
102,20,2,0.29570725560188293
103,20,3,0.2828840911388397
104,20,4,0.4381415843963623
105,21,0,0.2870590090751648
106,21,1,0.36321860551834106
107,21,2,0.29325851798057556
108,21,3,0.29689013957977295
109,21,4,0.45990824699401855
110,22,0,0.2871946692466736
111,22,1,0.3710554838180542
112,22,2,0.2955438196659088
113,22,3,0.32318761944770813
114,22,4,0.45121294260025024
115,23,0,0.2873671054840088
116,23,1,0.3844921290874481
117,23,2,0.2957335114479065
118,23,3,0.3395073413848877
119,23,4,0.4371179938316345
120,24,0,0.2873729467391968
121,24,1,0.3650570511817932
122,24,2,0.29761815071105957
123,24,3,0.3252353370189667
124,24,4,0.4896552264690399
125,25,0,0.2873603105545044
126,25,1,0.3265725374221802
127,25,2,0.29525259137153625
128,25,3,0.3050227761268616
129,25,4,0.48409324884414673
130,26,0,0.2876341640949249
131,26,1,0.3198563754558563
132,26,2,0.29732412099838257
133,26,3,0.2943662106990814
134,26,4,0.44973990321159363
135,27,0,0.2878551781177521
136,27,1,0.3102472722530365
137,27,2,0.2964937388896942
138,27,3,0.28438231348991394
139,27,4,0.4851594567298889
140,28,0,0.2880747616291046
141,28,1,0.3086204528808594
142,28,2,0.2985760271549225
143,28,3,0.28810012340545654
144,28,4,0.5104029178619385
145,29,0,0.288163423538208
146,29,1,0.3132151961326599
147,29,2,0.293732613325119
148,29,3,0.2859047055244446
149,29,4,0.5529101490974426
150,30,0,0.28804463148117065
151,30,1,0.30273520946502686
152,30,2,0.2957998216152191
153,30,3,0.28312647342681885
154,30,4,0.5748149156570435
155,31,0,0.28801557421684265
156,31,1,0.30283623933792114
157,31,2,0.2954331636428833
158,31,3,0.2876676321029663
159,31,4,0.5285396575927734
160,32,0,0.28808167576789856
161,32,1,0.3054966926574707
162,32,2,0.2935447096824646
163,32,3,0.28829315304756165
164,32,4,0.49246665835380554
165,33,0,0.2880626320838928
166,33,1,0.30375856161117554
167,33,2,0.29116928577423096
168,33,3,0.28800103068351746
169,33,4,0.483046293258667
170,34,0,0.2881644070148468
171,34,1,0.3083931505680084
172,34,2,0.2896341383457184
173,34,3,0.28936102986335754
174,34,4,0.4833521842956543
175,35,0,0.28811514377593994
176,35,1,0.30924561619758606
177,35,2,0.28961530327796936
178,35,3,0.28756970167160034
179,35,4,0.479278028011322
180,36,0,0.288169801235199
181,36,1,0.3177967667579651
182,36,2,0.2878603935241699
183,36,3,0.28645768761634827
184,36,4,0.4843395948410034
185,37,0,0.2881523072719574
186,37,1,0.3193597197532654
187,37,2,0.2887086570262909
188,37,3,0.286345511674881
189,37,4,0.48163506388664246
190,38,0,0.28820252418518066
191,38,1,0.31868675351142883
192,38,2,0.28908348083496094
193,38,3,0.28593406081199646
194,38,4,0.4141464829444885
195,39,0,0.28825539350509644
196,39,1,0.31930258870124817
197,39,2,0.28906363248825073
198,39,3,0.2853728234767914
199,39,4,0.40364718437194824
200,40,0,0.2885439395904541
201,40,1,0.3157992362976074
202,40,2,0.28845787048339844
203,40,3,0.2864696681499481
204,40,4,0.3882342576980591
205,41,0,0.2890714406967163
206,41,1,0.31967929005622864
207,41,2,0.2883493900299072
208,41,3,0.28693416714668274
209,41,4,0.41330626606941223
210,42,0,0.2891155481338501
211,42,1,0.3125419318675995
212,42,2,0.28788721561431885
213,42,3,0.2877952754497528
214,42,4,0.4270188808441162
215,43,0,0.28917694091796875
216,43,1,0.3086647689342499
217,43,2,0.2881244122982025
218,43,3,0.28793615102767944
219,43,4,0.5651785731315613
220,44,0,0.2891136705875397
221,44,1,0.30440062284469604
222,44,2,0.2877613306045532
223,44,3,0.28770995140075684
224,44,4,0.5713847279548645
225,45,0,0.2891152799129486
226,45,1,0.30124473571777344
227,45,2,0.28777259588241577
228,45,3,0.28794896602630615
229,45,4,0.5694772601127625
230,46,0,0.2890819013118744
231,46,1,0.289922833442688
232,46,2,0.2870911657810211
233,46,3,0.28817951679229736
234,46,4,0.5167751908302307
235,47,0,0.2891254723072052
236,47,1,0.290897399187088
237,47,2,0.2867291569709778
238,47,3,0.2885434329509735
239,47,4,0.49104011058807373
