,layer,pos,prob
0,0,0,0.1206125020980835
1,0,1,0.3624568283557892
2,0,2,0.1394527554512024
3,0,3,0.14938363432884216
4,0,4,0.1421954184770584
5,1,0,0.1206064522266388
6,1,1,0.36153754591941833
7,1,2,0.14007650315761566
8,1,3,0.1494712382555008
9,1,4,0.13840420544147491
10,2,0,0.12062621116638184
11,2,1,0.36107519268989563
12,2,2,0.1411343365907669
13,2,3,0.14962013065814972
14,2,4,0.1406964659690857
15,3,0,0.12058235704898834
16,3,1,0.36082515120506287
17,3,2,0.14287902414798737
18,3,3,0.14745701849460602
19,3,4,0.13778945803642273
20,4,0,0.12056634575128555
21,4,1,0.35868048667907715
22,4,2,0.15073299407958984
23,4,3,0.1549920290708542
24,4,4,0.13913598656654358
25,5,0,0.12054633349180222
26,5,1,0.3578609526157379
27,5,2,0.15325622260570526
28,5,3,0.17649151384830475
29,5,4,0.14622823894023895
30,6,0,0.14504145085811615
31,6,1,0.3649247884750366
32,6,2,0.15706881880760193
33,6,3,0.1757766753435135
34,6,4,0.18596920371055603
35,7,0,0.12828142940998077
36,7,1,0.4037996828556061
37,7,2,0.15696179866790771
38,7,3,0.17289724946022034
39,7,4,0.22634197771549225
40,8,0,0.13769936561584473
41,8,1,0.19583098590373993
42,8,2,0.1596384346485138
43,8,3,0.1744411587715149
44,8,4,0.25390252470970154
45,9,0,0.13846968114376068
46,9,1,0.1641136258840561
47,9,2,0.1602747142314911
48,9,3,0.17320388555526733
49,9,4,0.2841160297393799
50,10,0,0.1384531855583191
51,10,1,0.16539877653121948
52,10,2,0.1641869693994522
53,10,3,0.17467425763607025
54,10,4,0.311529278755188
55,11,0,0.13845640420913696
56,11,1,0.1768399029970169
57,11,2,0.163844034075737
58,11,3,0.17545251548290253
59,11,4,0.31645920872688293
60,12,0,0.13856077194213867
61,12,1,0.18106456100940704
62,12,2,0.16357065737247467
63,12,3,0.1738157719373703
64,12,4,0.37473413348197937
65,13,0,0.1385069191455841
66,13,1,0.1786525845527649
67,13,2,0.16196206212043762
68,13,3,0.17615871131420135
69,13,4,0.3872043788433075
70,14,0,0.13855688273906708
71,14,1,0.1789090782403946
72,14,2,0.15619885921478271
73,14,3,0.171974316239357
74,14,4,0.3846261501312256
75,15,0,0.138499915599823
76,15,1,0.17685925960540771
77,15,2,0.15466922521591187
78,15,3,0.1550348848104477
79,15,4,0.3983366787433624
80,16,0,0.13878534734249115
81,16,1,0.1744261234998703
82,16,2,0.14997459948062897
83,16,3,0.14712436497211456
84,16,4,0.40632927417755127
85,17,0,0.138837069272995
86,17,1,0.16366368532180786
87,17,2,0.1469891369342804
88,17,3,0.14492809772491455
89,17,4,0.3750315010547638
90,18,0,0.1388828605413437
91,18,1,0.16498783230781555
92,18,2,0.14476728439331055
93,18,3,0.1430046707391739
94,18,4,0.34932324290275574
95,19,0,0.13895997405052185
96,19,1,0.1639234870672226
97,19,2,0.1431177258491516
98,19,3,0.1421327292919159
99,19,4,0.3393578827381134
100,20,0,0.1389828324317932
101,20,1,0.16241419315338135
102,20,2,0.1417972892522812
103,20,3,0.14078006148338318
104,20,4,0.3311619758605957
105,21,0,0.139005646109581
106,21,1,0.14440637826919556
107,21,2,0.14128334820270538
108,21,3,0.13937906920909882
109,21,4,0.323871910572052
110,22,0,0.13889624178409576
111,22,1,0.1428546905517578
112,22,2,0.13951094448566437
113,22,3,0.1390707790851593
114,22,4,0.22331471741199493
115,23,0,0.13892978429794312
116,23,1,0.14099043607711792
117,23,2,0.13965633511543274
118,23,3,0.13902033865451813
119,23,4,0.21520785987377167
