,layer,pos,prob
0,0,0,0.38371747732162476
1,0,1,0.3624568283557892
2,0,2,0.1394527554512024
3,0,3,0.14938363432884216
4,0,4,0.1421954184770584
5,1,0,0.38371747732162476
6,1,1,0.36153754591941833
7,1,2,0.14007650315761566
8,1,3,0.1494712382555008
9,1,4,0.13840420544147491
10,2,0,0.38371747732162476
11,2,1,0.36107519268989563
12,2,2,0.1411343365907669
13,2,3,0.14962013065814972
14,2,4,0.1406964659690857
15,3,0,0.38371747732162476
16,3,1,0.36082515120506287
17,3,2,0.14287902414798737
18,3,3,0.14745701849460602
19,3,4,0.13778945803642273
20,4,0,0.38371747732162476
21,4,1,0.35868048667907715
22,4,2,0.15073299407958984
23,4,3,0.1549920290708542
24,4,4,0.13913598656654358
25,5,0,0.38371747732162476
26,5,1,0.3578609526157379
27,5,2,0.15325622260570526
28,5,3,0.17649151384830475
29,5,4,0.14622823894023895
30,6,0,0.41955143213272095
31,6,1,0.35460907220840454
32,6,2,0.15806344151496887
33,6,3,0.18183128535747528
34,6,4,0.18417960405349731
35,7,0,0.18776893615722656
36,7,1,0.3374978005886078
37,7,2,0.161338210105896
38,7,3,0.1871412992477417
39,7,4,0.2324022650718689
40,8,0,0.15039955079555511
41,8,1,0.3440256714820862
42,8,2,0.162369504570961
43,8,3,0.19236935675144196
44,8,4,0.2675991654396057
45,9,0,0.14979377388954163
46,9,1,0.3556623160839081
47,9,2,0.1652814894914627
48,9,3,0.19163161516189575
49,9,4,0.3000939190387726
50,10,0,0.14853031933307648
51,10,1,0.3636563718318939
52,10,2,0.16804581880569458
53,10,3,0.19522377848625183
54,10,4,0.323561429977417
55,11,0,0.14658501744270325
56,11,1,0.3810802102088928
57,11,2,0.16989551484584808
58,11,3,0.1969362050294876
59,11,4,0.31965795159339905
60,12,0,0.14504827558994293
61,12,1,0.4053143858909607
62,12,2,0.17357411980628967
63,12,3,0.19495122134685516
64,12,4,0.38906532526016235
65,13,0,0.14509551227092743
66,13,1,0.4035005569458008
67,13,2,0.17327527701854706
68,13,3,0.19559216499328613
69,13,4,0.3792876601219177
70,14,0,0.14335380494594574
71,14,1,0.3938255310058594
72,14,2,0.16907475888729095
73,14,3,0.19275090098381042
74,14,4,0.3832666873931885
75,15,0,0.14383220672607422
76,15,1,0.36813899874687195
77,15,2,0.16577157378196716
78,15,3,0.18150950968265533
79,15,4,0.37691304087638855
80,16,0,0.1431806981563568
81,16,1,0.3342623710632324
82,16,2,0.1598888337612152
83,16,3,0.1673983335494995
84,16,4,0.3943147659301758
85,17,0,0.14206331968307495
86,17,1,0.26929983496665955
87,17,2,0.15934798121452332
88,17,3,0.1658458560705185
89,17,4,0.4096771478652954
90,18,0,0.14257852733135223
91,18,1,0.2523505389690399
92,18,2,0.15441171824932098
93,18,3,0.16568943858146667
94,18,4,0.3969871997833252
95,19,0,0.14240236580371857
96,19,1,0.23961906135082245
97,19,2,0.15397895872592926
98,19,3,0.15974962711334229
99,19,4,0.4058590829372406
100,20,0,0.14214104413986206
101,20,1,0.26779600977897644
102,20,2,0.15023323893547058
103,20,3,0.147516131401062
104,20,4,0.4058590829372406
105,21,0,0.14192034304141998
106,21,1,0.19694872200489044
107,21,2,0.1443614661693573
108,21,3,0.14497768878936768
109,21,4,0.4058590829372406
110,22,0,0.14155621826648712
111,22,1,0.19897358119487762
112,22,2,0.13994696736335754
113,22,3,0.14758329093456268
114,22,4,0.4058590829372406
115,23,0,0.14115756750106812
116,23,1,0.20088353753089905
117,23,2,0.13933788239955902
118,23,3,0.13925966620445251
119,23,4,0.4058590829372406
