,layer,pos,prob
0,0,0,0.10378162562847137
1,0,1,0.10378162562847137
2,0,2,0.10378162562847137
3,0,3,0.33128681778907776
4,0,4,0.2687402069568634
5,0,5,0.06442548334598541
6,0,6,0.09938862174749374
7,0,7,0.11535946279764175
8,0,8,0.1045318990945816
9,0,9,0.10325359553098679
10,0,10,0.1043342873454094
11,0,11,0.10657954216003418
12,0,12,0.1042841374874115
13,0,13,0.10843656957149506
14,0,14,0.09553390741348267
15,0,15,0.09191300719976425
16,1,0,0.10378162562847137
17,1,1,0.10378162562847137
18,1,2,0.10378162562847137
19,1,3,0.33128681778907776
20,1,4,0.26745590567588806
21,1,5,0.06481002271175385
22,1,6,0.0973663479089737
23,1,7,0.11907585710287094
24,1,8,0.10708484798669815
25,1,9,0.1013755202293396
26,1,10,0.10356316715478897
27,1,11,0.11712820082902908
28,1,12,0.1054329052567482
29,1,13,0.1043843924999237
30,1,14,0.10427819937467575
31,1,15,0.10259244590997696
32,2,0,0.10378162562847137
33,2,1,0.10378162562847137
34,2,2,0.10378162562847137
35,2,3,0.33128681778907776
36,2,4,0.2655014097690582
37,2,5,0.0866299420595169
38,2,6,0.09666529297828674
39,2,7,0.1207672506570816
40,2,8,0.10985445976257324
41,2,9,0.10132142156362534
42,2,10,0.10294076800346375
43,2,11,0.11436610668897629
44,2,12,0.10321973264217377
45,2,13,0.09973499923944473
46,2,14,0.04907882958650589
47,2,15,0.09964357316493988
48,3,0,0.10378162562847137
49,3,1,0.10378162562847137
50,3,2,0.10378162562847137
51,3,3,0.33128681778907776
52,3,4,0.2642681300640106
53,3,5,0.07114707678556442
54,3,6,0.09469558298587799
55,3,7,0.11611050367355347
56,3,8,0.10992676019668579
57,3,9,0.10062429308891296
58,3,10,0.10195056349039078
59,3,11,0.1117067039012909
60,3,12,0.10347599536180496
61,3,13,0.10231862217187881
62,3,14,0.030514147132635117
63,3,15,0.11109787225723267
64,4,0,0.10378162562847137
65,4,1,0.10378162562847137
66,4,2,0.10378162562847137
67,4,3,0.33128681778907776
68,4,4,0.26025816798210144
69,4,5,0.07049428671598434
70,4,6,0.09214622527360916
71,4,7,0.12419827282428741
72,4,8,0.10978209972381592
73,4,9,0.09889224916696548
74,4,10,0.10399175435304642
75,4,11,0.1437479555606842
76,4,12,0.10042761266231537
77,4,13,0.11176053434610367
78,4,14,0.023030336946249008
79,4,15,0.12489128857851028
80,5,0,0.10378162562847137
81,5,1,0.10378162562847137
82,5,2,0.10378162562847137
83,5,3,0.33128681778907776
84,5,4,0.2614520192146301
85,5,5,0.07061862200498581
86,5,6,0.09226881712675095
87,5,7,0.12366633862257004
88,5,8,0.10973615944385529
89,5,9,0.09863176941871643
90,5,10,0.10394014418125153
91,5,11,0.141665980219841
92,5,12,0.10322828590869904
93,5,13,0.11479507386684418
94,5,14,0.01894923485815525
95,5,15,0.12727473676204681
96,6,0,0.10378162562847137
97,6,1,0.10378162562847137
98,6,2,0.10378162562847137
99,6,3,0.21584732830524445
100,6,4,0.24767595529556274
101,6,5,0.07003161311149597
102,6,6,0.08989165723323822
103,6,7,0.12627378106117249
104,6,8,0.10994616895914078
105,6,9,0.09850213676691055
106,6,10,0.10363472253084183
107,6,11,0.14285743236541748
108,6,12,0.10431040078401566
109,6,13,0.11707787960767746
110,6,14,0.01833692379295826
111,6,15,0.1292753368616104
112,7,0,0.10378162562847137
113,7,1,0.10378162562847137
114,7,2,0.10378162562847137
115,7,3,0.12630391120910645
116,7,4,0.23818475008010864
117,7,5,0.06782979518175125
118,7,6,0.09272418171167374
119,7,7,0.12833735346794128
120,7,8,0.11017008870840073
121,7,9,0.09825011342763901
122,7,10,0.10386751592159271
123,7,11,0.14132028818130493
124,7,12,0.10549154132604599
125,7,13,0.1182551234960556
126,7,14,0.016391124576330185
127,7,15,0.13593561947345734
128,8,0,0.10378162562847137
129,8,1,0.10378162562847137
130,8,2,0.10378162562847137
131,8,3,0.12345955520868301
132,8,4,0.2335667759180069
133,8,5,0.07108309864997864
134,8,6,0.09266386181116104
135,8,7,0.1383550465106964
136,8,8,0.11173006892204285
137,8,9,0.09832226485013962
138,8,10,0.10344596207141876
139,8,11,0.14402246475219727
140,8,12,0.1072317585349083
141,8,13,0.11886215955018997
142,8,14,0.015383250080049038
143,8,15,0.1380568891763687
144,9,0,0.10378162562847137
145,9,1,0.10378162562847137
146,9,2,0.10378162562847137
147,9,3,0.11534348130226135
148,9,4,0.23335374891757965
149,9,5,0.08776842802762985
150,9,6,0.09750714153051376
151,9,7,0.15436355769634247
152,9,8,0.11156044155359268
153,9,9,0.09678110480308533
154,9,10,0.10367599874734879
155,9,11,0.1464153230190277
156,9,12,0.10857080668210983
157,9,13,0.12022556364536285
158,9,14,0.01606122963130474
159,9,15,0.1475076973438263
160,10,0,0.10378162562847137
