,layer,pos,prob
0,0,0,0.01712043024599552
1,0,1,0.02662086859345436
2,0,2,0.030329598113894463
3,0,3,0.026831122115254402
4,0,4,0.02442730776965618
5,0,5,0.025438465178012848
6,0,6,0.025293530896306038
7,1,0,0.017142843455076218
8,1,1,0.022418994456529617
9,1,2,0.024459173902869225
10,1,3,0.026912448927760124
11,1,4,0.024107620120048523
12,1,5,0.025511479005217552
13,1,6,0.02651720494031906
14,2,0,0.017358340322971344
15,2,1,0.0252073984593153
16,2,2,0.027224760502576828
17,2,3,0.026042379438877106
18,2,4,0.024228151887655258
19,2,5,0.025637952610850334
20,2,6,0.02651515230536461
21,3,0,0.01763942651450634
22,3,1,0.024139344692230225
23,3,2,0.030590862035751343
24,3,3,0.026304274797439575
25,3,4,0.02422497421503067
26,3,5,0.025655129924416542
27,3,6,0.025788437575101852
28,4,0,0.017660709097981453
29,4,1,0.023890286684036255
30,4,2,0.0326312892138958
31,4,3,0.026646044105291367
32,4,4,0.024289602413773537
33,4,5,0.02566600777208805
34,4,6,0.025746775791049004
35,5,0,0.01766727678477764
36,5,1,0.024318236857652664
37,5,2,0.029224678874015808
38,5,3,0.02707218937575817
39,5,4,0.024217911064624786
40,5,5,0.02575184591114521
41,5,6,0.025294041261076927
42,6,0,0.023744400590658188
43,6,1,0.01905505731701851
44,6,2,0.0284302718937397
45,6,3,0.02640477940440178
46,6,4,0.024692760780453682
47,6,5,0.0256635844707489
48,6,6,0.026125771924853325
49,7,0,0.029728420078754425
50,7,1,0.010762245394289494
51,7,2,0.03324078023433685
52,7,3,0.021626066416502
53,7,4,0.025007588788866997
54,7,5,0.025362301617860794
55,7,6,0.025854095816612244
56,8,0,0.024815859273076057
57,8,1,0.011006574146449566
58,8,2,0.04225831851363182
59,8,3,0.03146379068493843
60,8,4,0.02510659024119377
61,8,5,0.025548674166202545
62,8,6,0.02556771971285343
63,9,0,0.02604544162750244
64,9,1,0.016894860193133354
65,9,2,0.03425188362598419
66,9,3,0.042601078748703
67,9,4,0.025807464495301247
68,9,5,0.02589009515941143
69,9,6,0.0254210252314806
70,10,0,0.02328159101307392
71,10,1,0.019634058699011803
72,10,2,0.028068924322724342
73,10,3,0.028286581858992577
74,10,4,0.02585374005138874
75,10,5,0.02600565180182457
76,10,6,0.02548239752650261
77,11,0,0.02541985735297203
78,11,1,0.02274559997022152
79,11,2,0.029835864901542664
80,11,3,0.029286332428455353
81,11,4,0.02710864506661892
82,11,5,0.0259027648717165
83,11,6,0.02403104119002819
84,12,0,0.026182077825069427
85,12,1,0.024457674473524094
86,12,2,0.029732320457696915
87,12,3,0.031548041850328445
88,12,4,0.029652809724211693
89,12,5,0.026099568232893944
90,12,6,0.023867866024374962
91,13,0,0.026111848652362823
92,13,1,0.025250401347875595
93,13,2,0.026545722037553787
94,13,3,0.028559723868966103
95,13,4,0.030421601608395576
96,13,5,0.02667088620364666
97,13,6,0.026040878146886826
98,14,0,0.026151321828365326
99,14,1,0.024723688140511513
100,14,2,0.02484774775803089
101,14,3,0.026600562036037445
102,14,4,0.030751584097743034
103,14,5,0.027709349989891052
104,14,6,0.027018843218684196
105,15,0,0.026158098131418228
106,15,1,0.02521531842648983
107,15,2,0.02506048046052456
108,15,3,0.026832086965441704
109,15,4,0.030626244843006134
110,15,5,0.028257563710212708
111,15,6,0.028188342228531837
112,16,0,0.02615213766694069
113,16,1,0.0258040651679039
114,16,2,0.026581840589642525
115,16,3,0.028029492124915123
116,16,4,0.03139948099851608
117,16,5,0.028685923665761948
118,16,6,0.02834179811179638
119,17,0,0.026152368634939194
120,17,1,0.025404823943972588
121,17,2,0.025699103251099586
122,17,3,0.027550047263503075
123,17,4,0.0332823283970356
124,17,5,0.029855972155928612
125,17,6,0.030764872208237648
126,18,0,0.026156742125749588
127,18,1,0.0251785721629858
128,18,2,0.0267682746052742
129,18,3,0.027216335758566856
130,18,4,0.03276175260543823
131,18,5,0.030094651505351067
132,18,6,0.033592987805604935
133,19,0,0.02615959756076336
134,19,1,0.025601554661989212
135,19,2,0.026562945917248726
136,19,3,0.026199383661150932
137,19,4,0.032991304993629456
138,19,5,0.030234407633543015
139,19,6,0.0350445918738842
140,20,0,0.026164423674345016
141,20,1,0.02604256384074688
142,20,2,0.026727115735411644
143,20,3,0.026765044778585434
144,20,4,0.0341411754488945
145,20,5,0.03142489120364189
146,20,6,0.052138570696115494
147,21,0,0.026169534772634506
148,21,1,0.025792211294174194
149,21,2,0.027635904029011726
150,21,3,0.027282724156975746
151,21,4,0.03419966995716095
152,21,5,0.03142936900258064
153,21,6,0.05399440973997116
154,22,0,0.026167472824454308
155,22,1,0.02573382295668125
156,22,2,0.026623358950018883
157,22,3,0.027263931930065155
158,22,4,0.03230598568916321
159,22,5,0.031460873782634735
160,22,6,0.06414871662855148
161,23,0,0.026166653260588646
162,23,1,0.026087099686264992
163,23,2,0.027036942541599274
164,23,3,0.02694496139883995
165,23,4,0.028543595224618912
166,23,5,0.02959490567445755
167,23,6,0.06995729357004166
168,24,0,0.026180148124694824
169,24,1,0.026605935767292976
170,24,2,0.0272139273583889
171,24,3,0.027342895045876503
172,24,4,0.0279390886425972
173,24,5,0.029116494581103325
174,24,6,0.07976622879505157
175,25,0,0.02618308924138546
176,25,1,0.026777226477861404
177,25,2,0.026541169732809067
178,25,3,0.03913832828402519
179,25,4,0.03179623931646347
180,25,5,0.03620889037847519
181,25,6,0.23839353024959564
182,26,0,0.026169385761022568
183,26,1,0.02694123424589634
184,26,2,0.026482008397579193
185,26,3,0.05209364369511604
186,26,4,0.032710667699575424
187,26,5,0.04064970836043358
188,26,6,0.3680858016014099
189,27,0,0.026170622557401657
190,27,1,0.02682814747095108
191,27,2,0.02603519894182682
192,27,3,0.05220683291554451
193,27,4,0.03279229626059532
194,27,5,0.042134832590818405
195,27,6,0.5505796670913696
196,28,0,0.026170484721660614
197,28,1,0.026995420455932617
198,28,2,0.02626584656536579
199,28,3,0.04339073598384857
200,28,4,0.033253010362386703
201,28,5,0.043212369084358215
202,28,6,0.5133616924285889
203,29,0,0.02617518976330757
204,29,1,0.02688247337937355
205,29,2,0.026085322722792625
206,29,3,0.04680989310145378
207,29,4,0.03406217694282532
208,29,5,0.046105753630399704
209,29,6,0.5987246036529541
210,30,0,0.026178395375609398
211,30,1,0.026363737881183624
212,30,2,0.025866197422146797
213,30,3,0.04310493916273117
214,30,4,0.033394623547792435
215,30,5,0.04452117159962654
216,30,6,0.564690351486206
217,31,0,0.026179959997534752
218,31,1,0.026137493550777435
219,31,2,0.025770805776119232
220,31,3,0.043382707983255386
221,31,4,0.03367796540260315
222,31,5,0.046390239149332047
223,31,6,0.7128320932388306
224,32,0,0.026184070855379105
225,32,1,0.026129309087991714
226,32,2,0.02622760646045208
227,32,3,0.046721912920475006
228,32,4,0.03440915420651436
229,32,5,0.04777891933917999
230,32,6,0.807550847530365
231,33,0,0.026191599667072296
232,33,1,0.02618173137307167
233,33,2,0.026119092479348183
234,33,3,0.04561270400881767
235,33,4,0.03495410829782486
236,33,5,0.04682466760277748
237,33,6,0.7982735633850098
238,34,0,0.02620304934680462
239,34,1,0.025966957211494446
240,34,2,0.025837216526269913
241,34,3,0.0425272136926651
242,34,4,0.03443395346403122
243,34,5,0.045089032500982285
244,34,6,0.7928352355957031
245,35,0,0.026202740147709846
246,35,1,0.025939572602510452
247,35,2,0.02617964707314968
248,35,3,0.0313863530755043
249,35,4,0.030611027032136917
250,35,5,0.03624996170401573
251,35,6,0.6554467678070068
252,36,0,0.02620931901037693
253,36,1,0.026003409177064896
254,36,2,0.026291605085134506
