,layer,pos,prob
0,0,0,0.02201779931783676
1,0,1,0.03613554313778877
2,0,2,0.024765558540821075
3,0,3,0.023097563534975052
4,0,4,0.02442730776965618
5,0,5,0.025438465178012848
6,0,6,0.025293530896306038
7,1,0,0.02201779931783676
8,1,1,0.03677346557378769
9,1,2,0.0247526653110981
10,1,3,0.02475419081747532
11,1,4,0.024107620120048523
12,1,5,0.025511479005217552
13,1,6,0.02651720494031906
14,2,0,0.02201779931783676
15,2,1,0.03791441768407822
16,2,2,0.02448500506579876
17,2,3,0.02544320374727249
18,2,4,0.024228151887655258
19,2,5,0.025637952610850334
20,2,6,0.02651515230536461
21,3,0,0.02201779931783676
22,3,1,0.03754890337586403
23,3,2,0.024922549724578857
24,3,3,0.3052748739719391
25,3,4,0.02422497421503067
26,3,5,0.025655129924416542
27,3,6,0.025788437575101852
28,4,0,0.02201779931783676
29,4,1,0.03756626322865486
30,4,2,0.02529236488044262
31,4,3,0.5806573629379272
32,4,4,0.024289602413773537
33,4,5,0.02566600777208805
34,4,6,0.025746775791049004
35,5,0,0.02201779931783676
36,5,1,0.037496231496334076
37,5,2,0.025872182101011276
38,5,3,0.6887513995170593
39,5,4,0.024217911064624786
40,5,5,0.02575184591114521
41,5,6,0.025294041261076927
42,6,0,0.025983890518546104
43,6,1,0.03546351194381714
44,6,2,0.02675246261060238
45,6,3,0.9245177507400513
46,6,4,0.024422723799943924
47,6,5,0.025639310479164124
48,6,6,0.02525341510772705
49,7,0,0.018463876098394394
50,7,1,0.030971355736255646
51,7,2,0.030982650816440582
52,7,3,0.9693314433097839
53,7,4,0.024456890299916267
54,7,5,0.025556450709700584
55,7,6,0.025026412680745125
56,8,0,0.020772309973835945
57,8,1,0.029009684920310974
58,8,2,0.029035620391368866
59,8,3,0.9733366966247559
60,8,4,0.024377135559916496
61,8,5,0.02551284059882164
62,8,6,0.024853261187672615
63,9,0,0.0231720432639122
64,9,1,0.027569158002734184
65,9,2,0.029044609516859055
66,9,3,0.9784055948257446
67,9,4,0.024645546451210976
68,9,5,0.02567502111196518
69,9,6,0.024592764675617218
70,10,0,0.024609606713056564
71,10,1,0.027726346626877785
72,10,2,0.027115967124700546
73,10,3,0.9813501834869385
74,10,4,0.02439619041979313
75,10,5,0.02581041492521763
76,10,6,0.02474096231162548
77,11,0,0.02762771211564541
78,11,1,0.027582881972193718
79,11,2,0.025510422885417938
80,11,3,0.9831657409667969
81,11,4,0.02571248821914196
82,11,5,0.0257855374366045
83,11,6,0.024628974497318268
84,12,0,0.027077578008174896
85,12,1,0.027179474011063576
86,12,2,0.025632260367274284
87,12,3,0.9831444025039673
88,12,4,0.028880411759018898
89,12,5,0.02577342838048935
90,12,6,0.024581894278526306
91,13,0,0.026576034724712372
92,13,1,0.02659774385392666
93,13,2,0.025110388174653053
94,13,3,0.9820249080657959
95,13,4,0.03084395080804825
96,13,5,0.02639746479690075
97,13,6,0.025930872187018394
98,14,0,0.026979370042681694
99,14,1,0.025835253298282623
100,14,2,0.02438642643392086
101,14,3,0.9819969534873962
102,14,4,0.03140394762158394
103,14,5,0.028024110943078995
104,14,6,0.026660455390810966
105,15,0,0.02721862867474556
106,15,1,0.02511773817241192
107,15,2,0.024448180571198463
108,15,3,0.9813385009765625
109,15,4,0.031657420098781586
110,15,5,0.029085328802466393
111,15,6,0.027617786079645157
112,16,0,0.027195319533348083
113,16,1,0.0247687678784132
114,16,2,0.024465065449476242
115,16,3,0.9800013899803162
116,16,4,0.032284174114465714
117,16,5,0.029780756682157516
118,16,6,0.02770259603857994
119,17,0,0.027187297120690346
120,17,1,0.02530091255903244
121,17,2,0.02405727095901966
122,17,3,0.9800206422805786
123,17,4,0.034158725291490555
124,17,5,0.03147128224372864
125,17,6,0.02991415001451969
126,18,0,0.027268601581454277
127,18,1,0.026850799098610878
128,18,2,0.023386521264910698
129,18,3,0.9798476696014404
130,18,4,0.03382357582449913
131,18,5,0.03158128261566162
132,18,6,0.03243254870176315
133,19,0,0.027238421142101288
134,19,1,0.030020317062735558
135,19,2,0.02352277934551239
136,19,3,0.9784335494041443
137,19,4,0.03363129869103432
138,19,5,0.03134889155626297
139,19,6,0.03392608091235161
140,20,0,0.02723022736608982
141,20,1,0.031312551349401474
142,20,2,0.024805188179016113
143,20,3,0.9774196147918701
144,20,4,0.03441139683127403
145,20,5,0.032465431839227676
146,20,6,0.05009525269269943
147,21,0,0.0272575244307518
148,21,1,0.03150159493088722
149,21,2,0.02430546283721924
150,21,3,0.973874568939209
151,21,4,0.034846462309360504
152,21,5,0.03282710909843445
153,21,6,0.05202596262097359
154,22,0,0.02730308100581169
155,22,1,0.033111296594142914
156,22,2,0.02475259080529213
157,22,3,0.963380753993988
158,22,4,0.03473709151148796
159,22,5,0.03344477713108063
160,22,6,0.06159770488739014
161,23,0,0.027337072417140007
162,23,1,0.033204663544893265
163,23,2,0.024770427495241165
164,23,3,0.9497085213661194
165,23,4,0.03278404846787453
166,23,5,0.03363880515098572
167,23,6,0.06929614394903183
168,24,0,0.02739487588405609
169,24,1,0.03349908068776131
170,24,2,0.02543776109814644
171,24,3,0.9480955600738525
172,24,4,0.03303002938628197
173,24,5,0.03406171500682831
174,24,6,0.0859069749712944
175,25,0,0.02736590802669525
176,25,1,0.03366018086671829
177,25,2,0.02583407610654831
178,25,3,0.9426603317260742
179,25,4,0.03735756501555443
180,25,5,0.04548867791891098
181,25,6,0.2698420584201813
182,26,0,0.027437571436166763
183,26,1,0.03425024077296257
184,26,2,0.02623199298977852
185,26,3,0.9358246922492981
186,26,4,0.04066498950123787
187,26,5,0.05581340938806534
188,26,6,0.4254787564277649
189,27,0,0.027425391599535942
190,27,1,0.03491300716996193
191,27,2,0.027237284928560257
192,27,3,0.9264997243881226
193,27,4,0.040203921496868134
194,27,5,0.0574103407561779
195,27,6,0.6375672221183777
196,28,0,0.02739810384809971
197,28,1,0.034829821437597275
198,28,2,0.02761228010058403
199,28,3,0.9184780716896057
200,28,4,0.03955889120697975
201,28,5,0.056754108518362045
202,28,6,0.6430460810661316
203,29,0,0.027388252317905426
204,29,1,0.03480910882353783
205,29,2,0.028531040996313095
206,29,3,0.8981766700744629
207,29,4,0.04040883854031563
208,29,5,0.06199568882584572
209,29,6,0.7351605296134949
210,30,0,0.027451103553175926
211,30,1,0.034773778170347214
212,30,2,0.028828080743551254
213,30,3,0.8825215101242065
214,30,4,0.04086585342884064
215,30,5,0.06513915956020355
216,30,6,0.8040616512298584
217,31,0,0.027490101754665375
218,31,1,0.03445414826273918
219,31,2,0.029253333806991577
220,31,3,0.8675875067710876
221,31,4,0.040557797998189926
222,31,5,0.06871873140335083
223,31,6,0.8913754820823669
224,32,0,0.027575915679335594
225,32,1,0.033731188625097275
226,32,2,0.029498500749468803
227,32,3,0.8658256530761719
228,32,4,0.04129549115896225
229,32,5,0.07452051341533661
230,32,6,0.9442893862724304
231,33,0,0.027563080191612244
232,33,1,0.033686574548482895
233,33,2,0.029829220846295357
234,33,3,0.8460351824760437
235,33,4,0.040884483605623245
236,33,5,0.07423602789640427
237,33,6,0.9419657588005066
238,34,0,0.027499070391058922
239,34,1,0.0333094447851181
240,34,2,0.029429104179143906
241,34,3,0.785936713218689
242,34,4,0.041117455810308456
243,34,5,0.07349303364753723
244,34,6,0.9472044110298157
245,35,0,0.027556944638490677
246,35,1,0.03372496739029884
247,35,2,0.029874416068196297
248,35,3,0.7478039264678955
249,35,4,0.04167303815484047
250,35,5,0.07428371161222458
251,35,6,0.9487892389297485
252,36,0,0.027444075793027878
253,36,1,0.03346217796206474
254,36,2,0.02823455259203911
255,36,3,0.6877131462097168
256,36,4,0.038858577609062195
257,36,5,0.06977777183055878
258,36,6,0.952121913433075
259,37,0,0.027370570227503777
260,37,1,0.03331741318106651
261,37,2,0.028034040704369545
262,37,3,0.6256263256072998
263,37,4,0.03803368657827377
264,37,5,0.06701529026031494
265,37,6,0.9492460489273071
266,38,0,0.027212707325816154
267,38,1,0.03231362625956535
268,38,2,0.028170796111226082
269,38,3,0.5962561964988708
270,38,4,0.03832114115357399
271,38,5,0.07097131013870239
272,38,6,0.968269407749176
273,39,0,0.027057530358433723
274,39,1,0.03236132115125656
275,39,2,0.0281386598944664
276,39,3,0.5615014433860779
277,39,4,0.03843642398715019
278,39,5,0.06971472501754761
279,39,6,0.969871997833252
280,40,0,0.0270451121032238
281,40,1,0.03168666362762451
282,40,2,0.027150800451636314
283,40,3,0.33891230821609497
284,40,4,0.0317724384367466
285,40,5,0.0473380982875824
286,40,6,0.9731921553611755
287,41,0,0.027096714824438095
288,41,1,0.03132971003651619
289,41,2,0.027010414749383926
290,41,3,0.18799620866775513
291,41,4,0.030106522142887115
292,41,5,0.04198777303099632
293,41,6,0.9750222563743591
294,42,0,0.02703806944191456
295,42,1,0.031619057059288025
296,42,2,0.02723953314125538
297,42,3,0.18895545601844788
298,42,4,0.03014206886291504
299,42,5,0.04164266958832741
300,42,6,0.9773321747779846
301,43,0,0.026928508654236794
302,43,1,0.030484063550829887
303,43,2,0.02775118686258793
304,43,3,0.11289310455322266
305,43,4,0.029740087687969208
306,43,5,0.04103509336709976
307,43,6,0.9763795733451843
308,44,0,0.02685227431356907
309,44,1,0.029573816806077957
310,44,2,0.027466263622045517
311,44,3,0.09651891887187958
312,44,4,0.030133336782455444
313,44,5,0.041364431381225586
314,44,6,0.9763795733451843
315,45,0,0.026824994012713432
316,45,1,0.03021368570625782
317,45,2,0.027291955426335335
318,45,3,0.08959011733531952
319,45,4,0.030048001557588577
320,45,5,0.041152648627758026
321,45,6,0.9763795733451843
322,46,0,0.02677932009100914
323,46,1,0.030357850715517998
324,46,2,0.027472423389554024
325,46,3,0.0901447981595993
326,46,4,0.030360698699951172
327,46,5,0.04144885018467903
328,46,6,0.9763795733451843
329,47,0,0.02678944543004036
330,47,1,0.028749650344252586
331,47,2,0.02617093361914158
332,47,3,0.029297582805156708
333,47,4,0.028044002130627632
334,47,5,0.038767989724874496
335,47,6,0.9763795733451843
