,layer,pos,prob
0,0,0,0.04257018491625786
1,0,1,0.055092692375183105
2,0,2,0.060219958424568176
3,0,3,0.06772591918706894
4,0,4,0.054300788789987564
5,0,5,0.05220350623130798
6,0,6,0.050449345260858536
7,1,0,0.042579080909490585
8,1,1,0.05488105118274689
9,1,2,0.06306646764278412
10,1,3,0.06589652597904205
11,1,4,0.0547163151204586
12,1,5,0.05151108279824257
13,1,6,0.05087067931890488
14,2,0,0.04258374869823456
15,2,1,0.05489460006356239
16,2,2,0.06584951281547546
17,2,3,0.06578651070594788
18,2,4,0.05521950498223305
19,2,5,0.051454223692417145
20,2,6,0.05153887718915939
21,3,0,0.04256881773471832
22,3,1,0.05476407706737518
23,3,2,0.06296028196811676
24,3,3,0.06332261115312576
25,3,4,0.05469062924385071
26,3,5,0.05119439214468002
27,3,6,0.05182240530848503
28,4,0,0.042538437992334366
29,4,1,0.05457658693194389
30,4,2,0.06252666562795639
31,4,3,0.06611981987953186
32,4,4,0.05402373895049095
33,4,5,0.05054929479956627
34,4,6,0.053795911371707916
35,5,0,0.04255294427275658
36,5,1,0.054782819002866745
37,5,2,0.06152600795030594
38,5,3,0.08171983063220978
39,5,4,0.05259653925895691
40,5,5,0.049106113612651825
41,5,6,0.053592320531606674
42,6,0,0.046420544385910034
43,6,1,0.053562432527542114
44,6,2,0.06452544778585434
45,6,3,0.10189629346132278
46,6,4,0.052419837564229965
47,6,5,0.049885962158441544
48,6,6,0.05108271911740303
49,7,0,0.05251959711313248
50,7,1,0.06378091126680374
51,7,2,0.06556186079978943
52,7,3,0.1013629138469696
53,7,4,0.053021159023046494
54,7,5,0.051315080374479294
55,7,6,0.052086241543293
56,8,0,0.05289751663804054
57,8,1,0.05108872801065445
58,8,2,0.10568419843912125
59,8,3,0.10157240182161331
60,8,4,0.05224894359707832
61,8,5,0.050442349165678024
62,8,6,0.06122783198952675
63,9,0,0.052901748567819595
64,9,1,0.052211347967386246
65,9,2,0.08842732757329941
66,9,3,0.09659972786903381
67,9,4,0.0520867183804512
68,9,5,0.05131177976727486
69,9,6,0.06011895090341568
70,10,0,0.05286642909049988
71,10,1,0.055272821336984634
72,10,2,0.06304088979959488
73,10,3,0.11020869761705399
74,10,4,0.05158828943967819
75,10,5,0.05176466703414917
76,10,6,0.06522956490516663
77,11,0,0.052862927317619324
78,11,1,0.05829717963933945
79,11,2,0.05520942434668541
80,11,3,0.08199439942836761
81,11,4,0.050304993987083435
82,11,5,0.05388875678181648
83,11,6,0.06785305589437485
84,12,0,0.05287158116698265
85,12,1,0.05914191156625748
86,12,2,0.051200784742832184
87,12,3,0.07923473417758942
88,12,4,0.05016087740659714
89,12,5,0.055418506264686584
90,12,6,0.0957694873213768
91,13,0,0.05290106311440468
92,13,1,0.05811401456594467
93,13,2,0.05198216810822487
94,13,3,0.07269451767206192
95,13,4,0.050568848848342896
96,13,5,0.0557529479265213
97,13,6,0.09441471099853516
98,14,0,0.05292288959026337
99,14,1,0.05967186391353607
100,14,2,0.05264639854431152
101,14,3,0.060992348939180374
102,14,4,0.049826331436634064
103,14,5,0.05533493682742119
104,14,6,0.09487936645746231
105,15,0,0.052903804928064346
106,15,1,0.05918865278363228
107,15,2,0.05257239192724228
108,15,3,0.04904414713382721
109,15,4,0.051171645522117615
110,15,5,0.05651378631591797
111,15,6,0.10593347996473312
112,16,0,0.05292224884033203
113,16,1,0.056837014853954315
114,16,2,0.053410984575748444
115,16,3,0.04192189499735832
116,16,4,0.05142098665237427
117,16,5,0.057075511664152145
118,16,6,0.1263267546892166
119,17,0,0.05296381935477257
120,17,1,0.05672204867005348
121,17,2,0.05374116823077202
122,17,3,0.04125899076461792
123,17,4,0.050794072449207306
124,17,5,0.05577175319194794
125,17,6,0.14227136969566345
126,18,0,0.05296364054083824
127,18,1,0.05513233691453934
128,18,2,0.05386895313858986
129,18,3,0.04420016333460808
130,18,4,0.05207064002752304
131,18,5,0.05646505951881409
132,18,6,0.13644687831401825
133,19,0,0.052985019981861115
134,19,1,0.05400756374001503
135,19,2,0.05360124260187149
136,19,3,0.046515028923749924
137,19,4,0.05265771597623825
138,19,5,0.05630353465676308
139,19,6,0.14412088692188263
140,20,0,0.053024012595415115
141,20,1,0.053222741931676865
142,20,2,0.052929848432540894
143,20,3,0.05019628256559372
144,20,4,0.05279611423611641
145,20,5,0.054996538907289505
146,20,6,0.13231536746025085
147,21,0,0.05302059277892113
148,21,1,0.05288347974419594
149,21,2,0.05258852615952492
150,21,3,0.05283592641353607
151,21,4,0.053517311811447144
152,21,5,0.054248299449682236
153,21,6,0.13073308765888214
154,22,0,0.05299318581819534
155,22,1,0.05256364122033119
156,22,2,0.05273471772670746
157,22,3,0.053245123475790024
158,22,4,0.05362839624285698
159,22,5,0.05330542102456093
160,22,6,0.10268943756818771
161,23,0,0.05299688130617142
162,23,1,0.05256893113255501
163,23,2,0.05307842418551445
164,23,3,0.05351336672902107
165,23,4,0.05389741435647011
166,23,5,0.0534198023378849
167,23,6,0.10228269547224045
