,layer,pos,prob
0,0,0,0.07775761932134628
1,0,1,0.06301648914813995
2,0,2,0.05891367420554161
3,0,3,0.059810757637023926
4,0,4,0.05244843289256096
5,0,5,0.05049760639667511
6,0,6,0.05624554306268692
7,1,0,0.07772023975849152
8,1,1,0.06676861643791199
9,1,2,0.059278469532728195
10,1,3,0.06334564834833145
11,1,4,0.05295912176370621
12,1,5,0.049582384526729584
13,1,6,0.05697530508041382
14,2,0,0.07769880443811417
15,2,1,0.06567047536373138
16,2,2,0.0653960183262825
17,2,3,0.06519467383623123
18,2,4,0.05191715806722641
19,2,5,0.04923365265130997
20,2,6,0.05666928365826607
21,3,0,0.07769502699375153
22,3,1,0.06534399092197418
23,3,2,0.06394589692354202
24,3,3,0.06207236275076866
25,3,4,0.05303151533007622
26,3,5,0.05040857568383217
27,3,6,0.05682090297341347
28,4,0,0.07768175005912781
29,4,1,0.06587958335876465
30,4,2,0.06977912038564682
31,4,3,0.06190022826194763
32,4,4,0.0538615919649601
33,4,5,0.05153854191303253
34,4,6,0.06046171113848686
35,5,0,0.07766681164503098
36,5,1,0.06385257840156555
37,5,2,0.07045794278383255
38,5,3,0.06319941580295563
39,5,4,0.05410860478878021
40,5,5,0.051281433552503586
41,5,6,0.05637524276971817
42,6,0,0.06053498759865761
43,6,1,0.058042265474796295
44,6,2,0.06403094530105591
45,6,3,0.09115002304315567
46,6,4,0.04937681555747986
47,6,5,0.045009076595306396
48,6,6,0.05012916028499603
49,7,0,0.05118459090590477
50,7,1,0.048801541328430176
51,7,2,0.07172524183988571
52,7,3,0.09571432322263718
53,7,4,0.05226333439350128
54,7,5,0.04838227108120918
55,7,6,0.049044813960790634
56,8,0,0.05345998331904411
57,8,1,0.051650550216436386
58,8,2,0.0742398053407669
59,8,3,0.10441792011260986
60,8,4,0.054426051676273346
61,8,5,0.04558685049414635
62,8,6,0.05351601913571358
63,9,0,0.05311855301260948
64,9,1,0.05732797458767891
65,9,2,0.08154565840959549
66,9,3,0.10589371621608734
67,9,4,0.05438904091715813
68,9,5,0.045548684895038605
69,9,6,0.05629698932170868
70,10,0,0.05312839895486832
71,10,1,0.051173292100429535
72,10,2,0.07868043333292007
73,10,3,0.10835177451372147
74,10,4,0.0531868077814579
75,10,5,0.045475151389837265
76,10,6,0.06254012882709503
77,11,0,0.0531047061085701
78,11,1,0.056537821888923645
79,11,2,0.06686799228191376
80,11,3,0.08777071535587311
81,11,4,0.052156925201416016
82,11,5,0.04464453086256981
83,11,6,0.05757635831832886
84,12,0,0.0531439483165741
85,12,1,0.0600036196410656
86,12,2,0.06311918050050735
87,12,3,0.10848008841276169
88,12,4,0.05158096179366112
89,12,5,0.04590083658695221
90,12,6,0.06434722244739532
91,13,0,0.05322042480111122
92,13,1,0.054412879049777985
93,13,2,0.05381658673286438
94,13,3,0.09924077987670898
95,13,4,0.05210890248417854
96,13,5,0.04494864121079445
97,13,6,0.07151498645544052
98,14,0,0.053258396685123444
99,14,1,0.0626724362373352
100,14,2,0.05434795841574669
101,14,3,0.09600184857845306
102,14,4,0.051994048058986664
103,14,5,0.045744236558675766
104,14,6,0.07570605725049973
105,15,0,0.05329575389623642
106,15,1,0.06967643648386002
107,15,2,0.060652993619441986
108,15,3,0.09303823113441467
109,15,4,0.0510125458240509
110,15,5,0.045503415167331696
111,15,6,0.08334027230739594
112,16,0,0.05330248922109604
113,16,1,0.06859317421913147
114,16,2,0.05677541345357895
115,16,3,0.07475289702415466
116,16,4,0.051474448293447495
117,16,5,0.047271616756916046
118,16,6,0.09019007533788681
119,17,0,0.05331345275044441
120,17,1,0.06597688794136047
121,17,2,0.05328439176082611
122,17,3,0.07940610498189926
123,17,4,0.051819249987602234
124,17,5,0.04920531064271927
125,17,6,0.09387020766735077
126,18,0,0.053287237882614136
127,18,1,0.05929579213261604
128,18,2,0.05455264449119568
129,18,3,0.06671324372291565
130,18,4,0.051024869084358215
131,18,5,0.051361195743083954
132,18,6,0.09106508642435074
133,19,0,0.05326397716999054
134,19,1,0.05436364561319351
135,19,2,0.05358142405748367
136,19,3,0.057879067957401276
137,19,4,0.05191466957330704
138,19,5,0.05131710320711136
139,19,6,0.06844252347946167
140,20,0,0.053250640630722046
141,20,1,0.0585416816174984
142,20,2,0.052643243223428726
143,20,3,0.05336170271039009
144,20,4,0.05225478112697601
145,20,5,0.05215170234441757
146,20,6,0.06697636097669601
147,21,0,0.05325092002749443
148,21,1,0.05961773172020912
149,21,2,0.05201922357082367
150,21,3,0.05590364709496498
151,21,4,0.05282393470406532
152,21,5,0.053211621940135956
153,21,6,0.07019530981779099
154,22,0,0.05318461358547211
155,22,1,0.05831911787390709
156,22,2,0.05146851763129234
157,22,3,0.0562170185148716
158,22,4,0.05339888855814934
159,22,5,0.05301068350672722
160,22,6,0.06497006863355637
161,23,0,0.053108565509319305
162,23,1,0.058947402983903885
163,23,2,0.05207546800374985
164,23,3,0.05596334487199783
165,23,4,0.053465213626623154
166,23,5,0.053124479949474335
167,23,6,0.062218256294727325
