,layer,pos,prob
0,0,0,0.10843861103057861
1,0,1,0.10843861103057861
2,0,2,0.10843861103057861
3,0,3,0.10843861103057861
4,0,4,0.10021395236253738
5,0,5,0.11303463578224182
6,0,6,0.12926475703716278
7,0,7,0.1322258561849594
8,0,8,0.1281794309616089
9,0,9,0.11085127294063568
10,0,10,0.10919436812400818
11,0,11,0.10610895603895187
12,0,12,0.10909729450941086
13,0,13,0.10725901275873184
14,0,14,0.10213959962129593
15,0,15,0.10524237900972366
16,1,0,0.10843861103057861
17,1,1,0.10843861103057861
18,1,2,0.10843861103057861
19,1,3,0.10843861103057861
20,1,4,0.09476245939731598
21,1,5,0.11186177283525467
22,1,6,0.11835113912820816
23,1,7,0.08654822409152985
24,1,8,0.131839781999588
25,1,9,0.11381319165229797
26,1,10,0.11057895421981812
27,1,11,0.10540842264890671
28,1,12,0.10764972120523453
29,1,13,0.10968741029500961
30,1,14,0.09426537901163101
31,1,15,0.10198196023702621
32,2,0,0.10843861103057861
33,2,1,0.10843861103057861
34,2,2,0.10843861103057861
35,2,3,0.10843861103057861
36,2,4,0.09447862207889557
37,2,5,0.1122295930981636
38,2,6,0.11039593070745468
39,2,7,0.07665228098630905
40,2,8,0.1349266767501831
41,2,9,0.11536018550395966
42,2,10,0.1111358180642128
43,2,11,0.10458356142044067
44,2,12,0.10775785893201828
45,2,13,0.10819391161203384
46,2,14,0.09265587478876114
47,2,15,0.10056197643280029
48,3,0,0.10843861103057861
49,3,1,0.10843861103057861
50,3,2,0.10843861103057861
51,3,3,0.10843861103057861
52,3,4,0.09098514914512634
53,3,5,0.11132049560546875
54,3,6,0.1127135157585144
55,3,7,0.061058446764945984
56,3,8,0.13509802520275116
57,3,9,0.1165269985795021
58,3,10,0.11148761957883835
59,3,11,0.10502775758504868
60,3,12,0.10743094235658646
61,3,13,0.10815852880477905
62,3,14,0.0950414389371872
63,3,15,0.10258355736732483
64,4,0,0.10843861103057861
65,4,1,0.10843861103057861
66,4,2,0.10843861103057861
67,4,3,0.10843861103057861
68,4,4,0.09101621806621552
69,4,5,0.11194857209920883
70,4,6,0.11731807142496109
71,4,7,0.08696645498275757
72,4,8,0.13544562458992004
73,4,9,0.1165112555027008
74,4,10,0.11183437705039978
75,4,11,0.10603278875350952
76,4,12,0.10696080327033997
77,4,13,0.10762252658605576
78,4,14,0.09545053541660309
79,4,15,0.10148372501134872
80,5,0,0.10843861103057861
81,5,1,0.10843861103057861
82,5,2,0.10843861103057861
83,5,3,0.10843861103057861
84,5,4,0.08902709931135178
85,5,5,0.11365167051553726
86,5,6,0.12324929982423782
87,5,7,0.08756980299949646
88,5,8,0.13691292703151703
89,5,9,0.11605071276426315
90,5,10,0.11203233897686005
91,5,11,0.10574275255203247
92,5,12,0.10677015781402588
93,5,13,0.10782185941934586
94,5,14,0.09672150760889053
95,5,15,0.09969621896743774
96,6,0,0.10843861103057861
97,6,1,0.10843861103057861
98,6,2,0.10843861103057861
99,6,3,0.10843861103057861
100,6,4,0.08806668221950531
101,6,5,0.11616214364767075
102,6,6,0.11798761785030365
103,6,7,0.10163369029760361
104,6,8,0.13991232216358185
105,6,9,0.11682940274477005
106,6,10,0.11274895817041397
107,6,11,0.10659652203321457
108,6,12,0.10593627393245697
109,6,13,0.10880289226770401
110,6,14,0.0962655320763588
111,6,15,0.099552221596241
112,7,0,0.10843861103057861
113,7,1,0.10843861103057861
114,7,2,0.10843861103057861
115,7,3,0.10843861103057861
116,7,4,0.09235379844903946
117,7,5,0.1110892966389656
118,7,6,0.1307351142168045
119,7,7,0.0976034626364708
120,7,8,0.1374606341123581
121,7,9,0.11451194435358047
122,7,10,0.11223584413528442
123,7,11,0.10617370158433914
124,7,12,0.10474628210067749
125,7,13,0.10873977839946747
126,7,14,0.09778229892253876
127,7,15,0.09779947251081467
128,8,0,0.10843861103057861
129,8,1,0.10843861103057861
130,8,2,0.10843861103057861
131,8,3,0.10843861103057861
132,8,4,0.10688416659832001
133,8,5,0.11782816797494888
134,8,6,0.09229247272014618
135,8,7,0.10351729393005371
136,8,8,0.13900336623191833
137,8,9,0.11564411967992783
138,8,10,0.11207932233810425
139,8,11,0.1062040701508522
140,8,12,0.10532861948013306
141,8,13,0.10813553631305695
142,8,14,0.09727644920349121
143,8,15,0.09736291319131851
144,9,0,0.10843861103057861
145,9,1,0.10843861103057861
146,9,2,0.10843861103057861
147,9,3,0.10843861103057861
148,9,4,0.09891295433044434
149,9,5,0.10654846578836441
150,9,6,0.10933896154165268
151,9,7,0.11876679956912994
152,9,8,0.13819709420204163
153,9,9,0.11579538136720657
154,9,10,0.11218392848968506
155,9,11,0.10717008262872696
156,9,12,0.10519155114889145
157,9,13,0.10797414928674698
158,9,14,0.09852023422718048
159,9,15,0.09676562994718552
160,10,0,0.10843861103057861
161,10,1,0.10843861103057861
162,10,2,0.10843861103057861
163,10,3,0.10843861103057861
164,10,4,0.09984862059354782
165,10,5,0.10825073719024658
166,10,6,0.12919126451015472
167,10,7,0.08525364100933075
168,10,8,0.13291381299495697
169,10,9,0.11381682008504868
170,10,10,0.11291775107383728
171,10,11,0.10580412298440933
172,10,12,0.10693671554327011
173,10,13,0.11092262715101242
174,10,14,0.099981389939785
175,10,15,0.09077221900224686
176,11,0,0.10843861103057861
177,11,1,0.10843861103057861
178,11,2,0.10843861103057861
179,11,3,0.10843861103057861
180,11,4,0.1016075536608696
181,11,5,0.11062625795602798
182,11,6,0.12318515032529831
183,11,7,0.09009820967912674
184,11,8,0.13530029356479645
185,11,9,0.11080313473939896
186,11,10,0.11077126115560532
187,11,11,0.10844892263412476
188,11,12,0.11115966737270355
189,11,13,0.11372633278369904
190,11,14,0.11081203818321228
191,11,15,0.0899306908249855
192,12,0,0.10843861103057861
193,12,1,0.10843861103057861
194,12,2,0.10843861103057861
195,12,3,0.10843861103057861
196,12,4,0.1026761531829834
197,12,5,0.11014632135629654
198,12,6,0.1304076761007309
199,12,7,0.09352479130029678
200,12,8,0.13603003323078156
201,12,9,0.10881278663873672
202,12,10,0.10993007570505142
203,12,11,0.10910006612539291
204,12,12,0.1101323813199997
205,12,13,0.11675804108381271
206,12,14,0.11086362600326538
207,12,15,0.09192820638418198
208,13,0,0.10843861103057861
209,13,1,0.10843861103057861
210,13,2,0.10843861103057861
211,13,3,0.10843861103057861
212,13,4,0.1068352684378624
213,13,5,0.10892452299594879
214,13,6,0.12697115540504456
215,13,7,0.10683667659759521
216,13,8,0.1344730108976364
217,13,9,0.10700412839651108
218,13,10,0.10885904729366302
219,13,11,0.10812776535749435
220,13,12,0.1085023581981659
221,13,13,0.11790108680725098
222,13,14,0.11042822152376175
223,13,15,0.09708954393863678
224,14,0,0.10843861103057861
225,14,1,0.10843861103057861
226,14,2,0.10843861103057861
227,14,3,0.10843861103057861
228,14,4,0.1062842383980751
229,14,5,0.1081438884139061
230,14,6,0.12566964328289032
231,14,7,0.11758843809366226
232,14,8,0.13635317981243134
233,14,9,0.10698064416646957
234,14,10,0.10841412097215652
235,14,11,0.10689570754766464
236,14,12,0.1050662025809288
237,14,13,0.1185808777809143
238,14,14,0.11140022426843643
239,14,15,0.10050079226493835
240,15,0,0.10843861103057861
241,15,1,0.10843861103057861
242,15,2,0.10843861103057861
243,15,3,0.10843861103057861
244,15,4,0.106756292283535
245,15,5,0.10835222154855728
246,15,6,0.12091565877199173
247,15,7,0.11523781716823578
248,15,8,0.13441172242164612
249,15,9,0.10630173236131668
250,15,10,0.10737068206071854
251,15,11,0.10704795271158218
252,15,12,0.10421396046876907
253,15,13,0.11855524033308029
254,15,14,0.11085349321365356
255,15,15,0.10856802016496658
256,16,0,0.10843861103057861
257,16,1,0.10843861103057861
258,16,2,0.10843861103057861
259,16,3,0.10843861103057861
260,16,4,0.10735679417848587
261,16,5,0.10827361792325974
262,16,6,0.12073682993650436
263,16,7,0.10586878657341003
264,16,8,0.13161560893058777
265,16,9,0.10611958056688309
266,16,10,0.10609850287437439
267,16,11,0.10665161162614822
268,16,12,0.10329334437847137
269,16,13,0.11743064224720001
270,16,14,0.11075738072395325
271,16,15,0.11213383823633194
272,17,0,0.10843861103057861
273,17,1,0.10843861103057861
274,17,2,0.10843861103057861
275,17,3,0.10843861103057861
276,17,4,0.10590613633394241
277,17,5,0.10816778242588043
278,17,6,0.1183777004480362
279,17,7,0.10029029846191406
280,17,8,0.12740746140480042
281,17,9,0.10739666223526001
282,17,10,0.10683959722518921
283,17,11,0.10592983663082123
284,17,12,0.10518907010555267
285,17,13,0.1189442053437233
286,17,14,0.1100856363773346
287,17,15,0.12392020225524902
288,18,0,0.10843861103057861
289,18,1,0.10843861103057861
290,18,2,0.10843861103057861
291,18,3,0.10843861103057861
292,18,4,0.10751821100711823
293,18,5,0.10846342146396637
294,18,6,0.11396381258964539
295,18,7,0.10693228244781494
296,18,8,0.12763629853725433
297,18,9,0.10450591146945953
298,18,10,0.10659267008304596
299,18,11,0.10526038706302643
300,18,12,0.1054137796163559
301,18,13,0.11937835812568665
302,18,14,0.11039230227470398
303,18,15,0.12530286610126495
304,19,0,0.10843861103057861
305,19,1,0.10843861103057861
306,19,2,0.10843861103057861
307,19,3,0.10843861103057861
308,19,4,0.10838253796100616
309,19,5,0.10905607044696808
310,19,6,0.11444128304719925
311,19,7,0.11522989720106125
312,19,8,0.1250484436750412
313,19,9,0.10533879697322845
314,19,10,0.10739254206418991
315,19,11,0.10472314804792404
316,19,12,0.10570724308490753
317,19,13,0.11859533190727234
318,19,14,0.11096325516700745
319,19,15,0.1286790519952774
320,20,0,0.10843861103057861
321,20,1,0.10843861103057861
322,20,2,0.10843861103057861
323,20,3,0.10843861103057861
324,20,4,0.108383409678936
325,20,5,0.11035288125276566
326,20,6,0.11556655913591385
327,20,7,0.11214800924062729
328,20,8,0.12754496932029724
329,20,9,0.10723519325256348
330,20,10,0.10831476002931595
331,20,11,0.10509921610355377
332,20,12,0.10426663607358932
333,20,13,0.11779822409152985
334,20,14,0.11114788055419922
335,20,15,0.13201309740543365
336,21,0,0.10843861103057861
337,21,1,0.10843861103057861
338,21,2,0.10843861103057861
339,21,3,0.10843861103057861
340,21,4,0.10744781792163849
341,21,5,0.11080808937549591
342,21,6,0.11444173753261566
343,21,7,0.11671499907970428
344,21,8,0.12455528974533081
345,21,9,0.10895593464374542
346,21,10,0.10825708508491516
347,21,11,0.10489237308502197
348,21,12,0.10316246002912521
349,21,13,0.11718227714300156
350,21,14,0.11138515919446945
351,21,15,0.1403760015964508
352,22,0,0.10843861103057861
353,22,1,0.10843861103057861
354,22,2,0.10843861103057861
355,22,3,0.10843861103057861
356,22,4,0.10770472139120102
357,22,5,0.11073555052280426
358,22,6,0.11446814239025116
359,22,7,0.12115123122930527
360,22,8,0.12180980294942856
361,22,9,0.11103951930999756
362,22,10,0.1090400367975235
363,22,11,0.10511637479066849
364,22,12,0.10227716714143753
365,22,13,0.11585256457328796
366,22,14,0.11111626029014587
367,22,15,0.13625329732894897
368,23,0,0.10843861103057861
369,23,1,0.10843861103057861
370,23,2,0.10843861103057861
371,23,3,0.10843861103057861
372,23,4,0.1077859178185463
373,23,5,0.11090780049562454
374,23,6,0.11470722407102585
375,23,7,0.11943303048610687
376,23,8,0.11938202381134033
377,23,9,0.11070019751787186
378,23,10,0.10965873301029205
379,23,11,0.10509989410638809
380,23,12,0.10400324314832687
381,23,13,0.11282747983932495
382,23,14,0.11019854992628098
383,23,15,0.13265487551689148
384,24,0,0.10843861103057861
385,24,1,0.10843861103057861
386,24,2,0.10843861103057861
387,24,3,0.10843861103057861
388,24,4,0.10813747346401215
389,24,5,0.11042153835296631
390,24,6,0.11339947581291199
391,24,7,0.11831248551607132
392,24,8,0.1200166717171669
393,24,9,0.11233203113079071
394,24,10,0.11029988527297974
395,24,11,0.10593170672655106
396,24,12,0.10515937954187393
397,24,13,0.11185567080974579
398,24,14,0.1099628135561943
399,24,15,0.13555622100830078
400,25,0,0.10843861103057861
401,25,1,0.10843861103057861
402,25,2,0.10843861103057861
403,25,3,0.10843861103057861
404,25,4,0.10841871798038483
405,25,5,0.11036031693220139
406,25,6,0.11493143439292908
407,25,7,0.11826545000076294
408,25,8,0.11607873439788818
409,25,9,0.11127366870641708
410,25,10,0.11085359007120132
411,25,11,0.10577840358018875
412,25,12,0.10676750540733337
413,25,13,0.11157680302858353
414,25,14,0.10918237268924713
