,layer,pos,prob
0,0,0,0.1315024197101593
1,0,1,0.1315024197101593
2,0,2,0.1315024197101593
3,0,3,0.1315024197101593
4,0,4,0.2217966616153717
5,0,5,0.15175430476665497
6,0,6,0.158054381608963
7,0,7,0.166792094707489
8,0,8,0.16000093519687653
9,0,9,0.1353411078453064
10,0,10,0.13109104335308075
11,0,11,0.13099631667137146
12,0,12,0.1374068260192871
13,0,13,0.1324824094772339
14,0,14,0.1372229903936386
15,0,15,0.13303782045841217
16,1,0,0.1315024197101593
17,1,1,0.1315024197101593
18,1,2,0.1315024197101593
19,1,3,0.1315024197101593
20,1,4,0.2258523553609848
21,1,5,0.13046889007091522
22,1,6,0.1403929442167282
23,1,7,0.19484396278858185
24,1,8,0.1432085782289505
25,1,9,0.13914918899536133
26,1,10,0.13442333042621613
27,1,11,0.1244300827383995
28,1,12,0.13397616147994995
29,1,13,0.1330292820930481
30,1,14,0.13706299662590027
31,1,15,0.1307992786169052
32,2,0,0.1315024197101593
33,2,1,0.1315024197101593
34,2,2,0.1315024197101593
35,2,3,0.1315024197101593
36,2,4,0.17865528166294098
37,2,5,0.12469978630542755
38,2,6,0.12487204372882843
39,2,7,0.1925138533115387
40,2,8,0.1541450321674347
41,2,9,0.14307011663913727
42,2,10,0.13520073890686035
43,2,11,0.12455987185239792
44,2,12,0.13387498259544373
45,2,13,0.13232572376728058
46,2,14,0.13783717155456543
47,2,15,0.13024650514125824
48,3,0,0.1315024197101593
49,3,1,0.1315024197101593
50,3,2,0.1315024197101593
51,3,3,0.1315024197101593
52,3,4,0.16087546944618225
53,3,5,0.12835055589675903
54,3,6,0.10691891610622406
55,3,7,0.19192375242710114
56,3,8,0.15366916358470917
57,3,9,0.1442558318376541
58,3,10,0.13326896727085114
59,3,11,0.12556873261928558
60,3,12,0.1358191817998886
61,3,13,0.13269120454788208
62,3,14,0.13872231543064117
63,3,15,0.13009054958820343
64,4,0,0.1315024197101593
65,4,1,0.1315024197101593
66,4,2,0.1315024197101593
67,4,3,0.1315024197101593
68,4,4,0.1697060763835907
69,4,5,0.13414497673511505
70,4,6,0.10747422277927399
71,4,7,0.18129484355449677
72,4,8,0.15654133260250092
73,4,9,0.14225399494171143
74,4,10,0.13236573338508606
75,4,11,0.12628807127475739
76,4,12,0.13461773097515106
77,4,13,0.13059116899967194
78,4,14,0.13827846944332123
79,4,15,0.1295417994260788
80,5,0,0.1315024197101593
81,5,1,0.1315024197101593
82,5,2,0.1315024197101593
83,5,3,0.1315024197101593
84,5,4,0.1677788496017456
85,5,5,0.14525510370731354
86,5,6,0.1051255315542221
87,5,7,0.18687567114830017
88,5,8,0.1415535807609558
89,5,9,0.13967734575271606
90,5,10,0.13242463767528534
91,5,11,0.12674064934253693
92,5,12,0.13426293432712555
93,5,13,0.1319846212863922
94,5,14,0.13811983168125153
95,5,15,0.12823547422885895
96,6,0,0.1315024197101593
97,6,1,0.1315024197101593
98,6,2,0.1315024197101593
99,6,3,0.1315024197101593
100,6,4,0.15595772862434387
101,6,5,0.12296774238348007
102,6,6,0.14656159281730652
103,6,7,0.19909723103046417
104,6,8,0.12992221117019653
105,6,9,0.1426413208246231
106,6,10,0.13343216478824615
107,6,11,0.12688802182674408
108,6,12,0.133433997631073
109,6,13,0.13163462281227112
110,6,14,0.13390730321407318
111,6,15,0.12768195569515228
112,7,0,0.1315024197101593
113,7,1,0.1315024197101593
114,7,2,0.1315024197101593
115,7,3,0.1315024197101593
116,7,4,0.198730006814003
117,7,5,0.11600266396999359
118,7,6,0.174872487783432
119,7,7,0.1285640299320221
120,7,8,0.11781499534845352
121,7,9,0.1439671665430069
122,7,10,0.13122709095478058
