,layer,pos,prob
0,0,0,0.04958678036928177
1,0,1,0.04958678036928177
2,0,2,0.04958678036928177
3,0,3,0.038236211985349655
4,0,4,0.05355724319815636
5,0,5,0.04731510579586029
6,0,6,0.044407401233911514
7,0,7,0.04840958118438721
8,0,8,0.05040828511118889
9,0,9,0.05195634812116623
10,0,10,0.046754978597164154
11,0,11,0.04762279987335205
12,0,12,0.047602150589227676
13,0,13,0.04821108654141426
14,1,0,0.04958678036928177
15,1,1,0.04958678036928177
16,1,2,0.04958678036928177
17,1,3,0.038261037319898605
18,1,4,0.04472324997186661
19,1,5,0.046573203057050705
20,1,6,0.04608738794922829
21,1,7,0.04862968251109123
22,1,8,0.05013566091656685
23,1,9,0.05229676514863968
24,1,10,0.04649617150425911
25,1,11,0.047343961894512177
26,1,12,0.04663239046931267
27,1,13,0.04811277240514755
28,2,0,0.04958678036928177
29,2,1,0.04958678036928177
30,2,2,0.04958678036928177
31,2,3,0.038408804684877396
32,2,4,0.0359351672232151
33,2,5,0.04584035277366638
34,2,6,0.04660588130354881
35,2,7,0.04833623766899109
36,2,8,0.049983616918325424
37,2,9,0.05221029371023178
38,2,10,0.04667145386338234
39,2,11,0.04710230976343155
40,2,12,0.047307323664426804
41,2,13,0.047277096658945084
42,3,0,0.04958678036928177
43,3,1,0.04958678036928177
44,3,2,0.04958678036928177
45,3,3,0.03217459097504616
46,3,4,0.04062701016664505
47,3,5,0.04604002460837364
48,3,6,0.04757147654891014
49,3,7,0.047898054122924805
50,3,8,0.04998882859945297
51,3,9,0.05231505259871483
52,3,10,0.04695310816168785
53,3,11,0.04664310812950134
54,3,12,0.04779094085097313
55,3,13,0.04674824699759483
56,4,0,0.04958678036928177
57,4,1,0.04958678036928177
58,4,2,0.04958678036928177
59,4,3,0.02941155433654785
60,4,4,0.044964585453271866
61,4,5,0.04545293748378754
62,4,6,0.04685913026332855
63,4,7,0.04807215556502342
64,4,8,0.050028055906295776
65,4,9,0.05261951684951782
66,4,10,0.04682238772511482
67,4,11,0.04674806818366051
68,4,12,0.048043426126241684
69,4,13,0.04647460952401161
70,5,0,0.04958678036928177
71,5,1,0.04958678036928177
72,5,2,0.04958678036928177
73,5,3,0.027680857107043266
74,5,4,0.04227512702345848
75,5,5,0.04452858492732048
76,5,6,0.05054530128836632
77,5,7,0.04789096489548683
78,5,8,0.04992819204926491
79,5,9,0.05270782485604286
80,5,10,0.04717482626438141
81,5,11,0.04719822481274605
82,5,12,0.048283111304044724
83,5,13,0.045577794313430786
84,6,0,0.04958678036928177
85,6,1,0.04958678036928177
86,6,2,0.04958678036928177
87,6,3,0.029865024611353874
88,6,4,0.04212559014558792
89,6,5,0.04232710599899292
90,6,6,0.05453573539853096
91,6,7,0.048346273601055145
92,6,8,0.048755645751953125
93,6,9,0.051727890968322754
94,6,10,0.04724569991230965
95,6,11,0.04783166944980621
96,6,12,0.04724564403295517
97,6,13,0.044372837990522385
98,7,0,0.04958678036928177
99,7,1,0.04958678036928177
100,7,2,0.04958678036928177
101,7,3,0.03608566150069237
102,7,4,0.04523695632815361
103,7,5,0.04293737933039665
104,7,6,0.05544723570346832
105,7,7,0.049024228006601334
106,7,8,0.04909942299127579
107,7,9,0.05155010521411896
108,7,10,0.04666886851191521
109,7,11,0.04867514967918396
110,7,12,0.048044148832559586
111,7,13,0.04572892189025879
112,8,0,0.04958678036928177
113,8,1,0.04958678036928177
114,8,2,0.04958678036928177
115,8,3,0.05060261860489845
116,8,4,0.047628335654735565
117,8,5,0.04399939998984337
118,8,6,0.05560449883341789
119,8,7,0.050813160836696625
120,8,8,0.048585351556539536
121,8,9,0.051807377487421036
122,8,10,0.048631276935338974
123,8,11,0.04801291227340698
124,8,12,0.04867240786552429
125,8,13,0.048786841332912445
126,9,0,0.04958678036928177
127,9,1,0.04958678036928177
128,9,2,0.04958678036928177
129,9,3,0.04397059231996536
130,9,4,0.04609464108943939
131,9,5,0.043620478361845016
132,9,6,0.05777665227651596
133,9,7,0.04961750656366348
134,9,8,0.048820860683918
135,9,9,0.04926415532827377
136,9,10,0.04778129979968071
137,9,11,0.048693593591451645
138,9,12,0.05010472238063812
139,9,13,0.048434965312480927
140,10,0,0.04958678036928177
141,10,1,0.04958678036928177
142,10,2,0.04958678036928177
143,10,3,0.04251078516244888
144,10,4,0.03955774009227753
145,10,5,0.04252329841256142
146,10,6,0.058993637561798096
147,10,7,0.04893416166305542
148,10,8,0.04875553399324417
149,10,9,0.04847482219338417
150,10,10,0.04734760895371437
151,10,11,0.04787856340408325
152,10,12,0.05192919820547104
153,10,13,0.04759588465094566
154,11,0,0.04958678036928177
155,11,1,0.04958678036928177
156,11,2,0.04958678036928177
157,11,3,0.04423819109797478
158,11,4,0.053083859384059906
159,11,5,0.03938119858503342
160,11,6,0.05902833491563797
161,11,7,0.04974506050348282
162,11,8,0.049026571214199066
163,11,9,0.048398759216070175
164,11,10,0.04742870852351189
165,11,11,0.05399993062019348
166,11,12,0.05218930542469025
167,11,13,0.04595007002353668
168,12,0,0.04958678036928177
169,12,1,0.04958678036928177
170,12,2,0.04958678036928177
171,12,3,0.04413285478949547
172,12,4,0.049122460186481476
173,12,5,0.03943106532096863
174,12,6,0.055549513548612595
175,12,7,0.04852856695652008
176,12,8,0.049252115190029144
177,12,9,0.04847988486289978
178,12,10,0.04691675305366516
179,12,11,0.0545194186270237
180,12,12,0.05089472979307175
181,12,13,0.04647091031074524
182,13,0,0.04958678036928177
183,13,1,0.04958678036928177
184,13,2,0.04958678036928177
185,13,3,0.04296066239476204
186,13,4,0.043184924870729446
187,13,5,0.03962022066116333
188,13,6,0.05241739749908447
189,13,7,0.05000043287873268
190,13,8,0.04918603226542473
191,13,9,0.04800296947360039
192,13,10,0.046211689710617065
193,13,11,0.06068059056997299
194,13,12,0.05007621645927429
195,13,13,0.05023733898997307
196,14,0,0.04958678036928177
197,14,1,0.04958678036928177
198,14,2,0.04958678036928177
199,14,3,0.04548703134059906
200,14,4,0.053230829536914825
201,14,5,0.039360955357551575
202,14,6,0.05341336503624916
203,14,7,0.05005493760108948
204,14,8,0.04908348619937897
205,14,9,0.04798240214586258
206,14,10,0.04755254462361336
207,14,11,0.058768946677446365
208,14,12,0.050161708146333694
209,14,13,0.05498526617884636
210,15,0,0.04958678036928177
211,15,1,0.04958678036928177
212,15,2,0.04958678036928177
213,15,3,0.046887826174497604
214,15,4,0.047478724271059036
215,15,5,0.0384548045694828
216,15,6,0.048266246914863586
217,15,7,0.04849519208073616
218,15,8,0.0487925186753273
219,15,9,0.04752576723694801
220,15,10,0.04913578927516937
221,15,11,0.06171506643295288
222,15,12,0.04876072332262993
223,15,13,0.05583968758583069
224,16,0,0.04958678036928177
225,16,1,0.04958678036928177
226,16,2,0.04958678036928177
227,16,3,0.047582484781742096
228,16,4,0.049785781651735306
229,16,5,0.03916506469249725
230,16,6,0.04711344465613365
231,16,7,0.04783981665968895
232,16,8,0.0484350360929966
233,16,9,0.047038622200489044
234,16,10,0.05002691596746445
235,16,11,0.06259799003601074
236,16,12,0.04928944259881973
237,16,13,0.053157322108745575
238,17,0,0.04958678036928177
239,17,1,0.04958678036928177
240,17,2,0.04958678036928177
241,17,3,0.04770847409963608
242,17,4,0.050792817026376724
243,17,5,0.038300786167383194
244,17,6,0.04853195324540138
245,17,7,0.04549240693449974
246,17,8,0.04790681600570679
247,17,9,0.046477485448122025
248,17,10,0.04980112984776497
249,17,11,0.05826729163527489
250,17,12,0.04870875924825668
251,17,13,0.0449654795229435
252,18,0,0.04958678036928177
253,18,1,0.04958678036928177
254,18,2,0.04958678036928177
255,18,3,0.048686105757951736
256,18,4,0.05358809232711792
257,18,5,0.038659535348415375
258,18,6,0.04656616225838661
259,18,7,0.0444716215133667
260,18,8,0.04782049357891083
261,18,9,0.046214133501052856
262,18,10,0.05096876248717308
263,18,11,0.06162067875266075
264,18,12,0.04856547340750694
265,18,13,0.04595610871911049
266,19,0,0.04958678036928177
267,19,1,0.04958678036928177
268,19,2,0.04958678036928177
269,19,3,0.04741184413433075
270,19,4,0.05039368197321892
271,19,5,0.03650638088583946
272,19,6,0.048129431903362274
273,19,7,0.04464656487107277
274,19,8,0.04778631776571274
275,19,9,0.04820854589343071
276,19,10,0.05122365057468414
277,19,11,0.058969173580408096
278,19,12,0.0496499165892601
279,19,13,0.04859641566872597
280,20,0,0.04958678036928177
281,20,1,0.04958678036928177
282,20,2,0.04958678036928177
283,20,3,0.04844921454787254
284,20,4,0.04361600801348686
285,20,5,0.03984595835208893
286,20,6,0.046060338616371155
287,20,7,0.042808596044778824
288,20,8,0.048000384122133255
289,20,9,0.048001404851675034
290,20,10,0.05003000423312187
291,20,11,0.06260994076728821
292,20,12,0.04965515062212944
293,20,13,0.04592839628458023
294,21,0,0.04958678036928177
295,21,1,0.04958678036928177
296,21,2,0.04958678036928177
297,21,3,0.04936249554157257
298,21,4,0.04653153568506241
299,21,5,0.042110368609428406
300,21,6,0.04529782012104988
301,21,7,0.04361908882856369
302,21,8,0.04781441390514374
303,21,9,0.04765655845403671
304,21,10,0.050782252103090286
305,21,11,0.0561758317053318
306,21,12,0.05089550092816353
307,21,13,0.04101155325770378
308,22,0,0.04958678036928177
309,22,1,0.04958678036928177
310,22,2,0.04958678036928177
311,22,3,0.049641214311122894
312,22,4,0.045456480234861374
313,22,5,0.03594585880637169
314,22,6,0.04918629303574562
315,22,7,0.04595818370580673
316,22,8,0.048349976539611816
317,22,9,0.0473986454308033
318,22,10,0.05121687427163124
319,22,11,0.05624745413661003
320,22,12,0.05048365145921707
321,22,13,0.04564235359430313
322,23,0,0.04958678036928177
323,23,1,0.04958678036928177
324,23,2,0.04958678036928177
325,23,3,0.04934083670377731
326,23,4,0.04417678341269493
327,23,5,0.036955833435058594
328,23,6,0.049666259437799454
329,23,7,0.04666391387581825
330,23,8,0.047988373786211014
331,23,9,0.04743393883109093
332,23,10,0.05064517259597778
333,23,11,0.05263059586286545
334,23,12,0.050892364233732224
335,23,13,0.04376010224223137
336,24,0,0.04958678036928177
337,24,1,0.04958678036928177
338,24,2,0.04958678036928177
339,24,3,0.04937633126974106
340,24,4,0.045664478093385696
341,24,5,0.04309677705168724
342,24,6,0.05022783577442169
343,24,7,0.04536351189017296
344,24,8,0.04767222702503204
345,24,9,0.04704148322343826
346,24,10,0.050058428198099136
347,24,11,0.05478808283805847
348,24,12,0.050406601279973984
349,24,13,0.04179193079471588
350,25,0,0.04958678036928177
351,25,1,0.04958678036928177
352,25,2,0.04958678036928177
353,25,3,0.04921785369515419
354,25,4,0.04650525748729706
