,layer,pos,prob
0,0,0,0.04958678036928177
1,0,1,0.04958678036928177
2,0,2,0.04958678036928177
3,0,3,0.07877717912197113
4,0,4,0.030911896377801895
5,0,5,0.04731510579586029
6,0,6,0.044407401233911514
7,0,7,0.04840958118438721
8,0,8,0.05040828511118889
9,0,9,0.05195634812116623
10,0,10,0.046754978597164154
11,0,11,0.04762279987335205
12,0,12,0.047602150589227676
13,0,13,0.04821108654141426
14,1,0,0.04958678036928177
15,1,1,0.04958678036928177
16,1,2,0.04958678036928177
17,1,3,0.07877717912197113
18,1,4,0.03010016866028309
19,1,5,0.046573203057050705
20,1,6,0.04608738794922829
21,1,7,0.04862968251109123
22,1,8,0.05013566091656685
23,1,9,0.05229676514863968
24,1,10,0.04649617150425911
25,1,11,0.047343961894512177
26,1,12,0.04663239046931267
27,1,13,0.04811277240514755
28,2,0,0.04958678036928177
29,2,1,0.04958678036928177
30,2,2,0.04958678036928177
31,2,3,0.07877717912197113
32,2,4,0.031246226280927658
33,2,5,0.04584035277366638
34,2,6,0.04660588130354881
35,2,7,0.04833623766899109
36,2,8,0.049983616918325424
37,2,9,0.05221029371023178
38,2,10,0.04667145386338234
39,2,11,0.04710230976343155
40,2,12,0.047307323664426804
41,2,13,0.047277096658945084
42,3,0,0.04958678036928177
43,3,1,0.04958678036928177
44,3,2,0.04958678036928177
45,3,3,0.07877717912197113
46,3,4,0.030647343024611473
47,3,5,0.04604002460837364
48,3,6,0.04757147654891014
49,3,7,0.047898054122924805
50,3,8,0.04998882859945297
51,3,9,0.05231505259871483
52,3,10,0.04695310816168785
53,3,11,0.04664310812950134
54,3,12,0.04779094085097313
55,3,13,0.04674824699759483
56,4,0,0.04958678036928177
57,4,1,0.04958678036928177
58,4,2,0.04958678036928177
59,4,3,0.07877717912197113
60,4,4,0.030599605292081833
61,4,5,0.04545293748378754
62,4,6,0.04685913026332855
63,4,7,0.04807215556502342
64,4,8,0.050028055906295776
65,4,9,0.05261951684951782
66,4,10,0.04682238772511482
67,4,11,0.04674806818366051
68,4,12,0.048043426126241684
69,4,13,0.04647460952401161
70,5,0,0.04958678036928177
71,5,1,0.04958678036928177
72,5,2,0.04958678036928177
73,5,3,0.07877717912197113
74,5,4,0.030248552560806274
75,5,5,0.04452858492732048
76,5,6,0.05054530128836632
77,5,7,0.04789096489548683
78,5,8,0.04992819204926491
79,5,9,0.05270782485604286
80,5,10,0.04717482626438141
81,5,11,0.04719822481274605
82,5,12,0.048283111304044724
83,5,13,0.045577794313430786
84,6,0,0.04958678036928177
85,6,1,0.04958678036928177
86,6,2,0.04958678036928177
87,6,3,0.09100150316953659
88,6,4,0.031307704746723175
89,6,5,0.04164554551243782
90,6,6,0.05167930945754051
91,6,7,0.048188138753175735
92,6,8,0.049251738935709
93,6,9,0.05240987241268158
94,6,10,0.047196898609399796
95,6,11,0.04671277105808258
96,6,12,0.04771905019879341
97,6,13,0.04552394151687622
98,7,0,0.04958678036928177
99,7,1,0.04958678036928177
100,7,2,0.04958678036928177
101,7,3,0.07605278491973877
102,7,4,0.02980431355535984
103,7,5,0.0410725399851799
104,7,6,0.05372553691267967
105,7,7,0.048728689551353455
106,7,8,0.049043964594602585
107,7,9,0.05255373567342758
108,7,10,0.04726644232869148
109,7,11,0.046349164098501205
110,7,12,0.04815121367573738
111,7,13,0.04581138864159584
112,8,0,0.04958678036928177
113,8,1,0.04958678036928177
114,8,2,0.04958678036928177
115,8,3,0.06536468118429184
116,8,4,0.029844745993614197
117,8,5,0.04109692946076393
118,8,6,0.05630466714501381
119,8,7,0.05006185546517372
120,8,8,0.049015749245882034
121,8,9,0.053051307797431946
122,8,10,0.04695220664143562
123,8,11,0.04563580080866814
124,8,12,0.048866771161556244
125,8,13,0.047066815197467804
126,9,0,0.04958678036928177
127,9,1,0.04958678036928177
128,9,2,0.04958678036928177
129,9,3,0.0568389967083931
130,9,4,0.03004501573741436
131,9,5,0.03832897171378136
132,9,6,0.05642233043909073
133,9,7,0.0488324798643589
134,9,8,0.04934674873948097
135,9,9,0.0502404049038887
136,9,10,0.04743514209985733
137,9,11,0.04556892439723015
138,9,12,0.04843517020344734
139,9,13,0.04648541659116745
140,10,0,0.04958678036928177
141,10,1,0.04958678036928177
142,10,2,0.04958678036928177
143,10,3,0.04714583978056908
144,10,4,0.029199087992310524
145,10,5,0.035561561584472656
146,10,6,0.0569302923977375
147,10,7,0.0480172336101532
148,10,8,0.04912491515278816
149,10,9,0.05020763725042343
150,10,10,0.04825090244412422
151,10,11,0.04482598975300789
152,10,12,0.048608992248773575
153,10,13,0.04600224271416664
154,11,0,0.04958678036928177
155,11,1,0.04958678036928177
156,11,2,0.04958678036928177
157,11,3,0.04915210232138634
158,11,4,0.02895941026508808
159,11,5,0.032729364931583405
160,11,6,0.057141002267599106
161,11,7,0.04865763708949089
162,11,8,0.049149300903081894
163,11,9,0.05017479881644249
164,11,10,0.04795478284358978
165,11,11,0.04970657452940941
166,11,12,0.048042181879282
167,11,13,0.045006800442934036
168,12,0,0.04958678036928177
169,12,1,0.04958678036928177
170,12,2,0.04958678036928177
171,12,3,0.04972246661782265
172,12,4,0.029075391590595245
173,12,5,0.03295987471938133
174,12,6,0.05597564950585365
175,12,7,0.04762086272239685
176,12,8,0.049343518912792206
177,12,9,0.05005199462175369
178,12,10,0.047206439077854156
179,12,11,0.05018389970064163
180,12,12,0.0480574406683445
181,12,13,0.044327035546302795
182,13,0,0.04958678036928177
183,13,1,0.04958678036928177
184,13,2,0.04958678036928177
185,13,3,0.05049304664134979
186,13,4,0.02824309840798378
187,13,5,0.03475787863135338
188,13,6,0.05754788964986801
189,13,7,0.0488213449716568
190,13,8,0.04938286170363426
191,13,9,0.04982313513755798
192,13,10,0.047219209372997284
193,13,11,0.05440112575888634
194,13,12,0.047581370919942856
195,13,13,0.04798149690032005
196,14,0,0.04958678036928177
197,14,1,0.04958678036928177
198,14,2,0.04958678036928177
199,14,3,0.053015027195215225
200,14,4,0.026265183463692665
201,14,5,0.03698895871639252
202,14,6,0.05870049446821213
203,14,7,0.049164462834596634
204,14,8,0.04941477254033089
205,14,9,0.04953640326857567
206,14,10,0.04834143817424774
207,14,11,0.0542709156870842
208,14,12,0.04778315871953964
209,14,13,0.05205569043755531
210,15,0,0.04958678036928177
211,15,1,0.04958678036928177
212,15,2,0.04958678036928177
213,15,3,0.05378073453903198
214,15,4,0.026661785319447517
215,15,5,0.03698158264160156
216,15,6,0.05998699739575386
217,15,7,0.04697495326399803
218,15,8,0.048918772488832474
219,15,9,0.049122072756290436
220,15,10,0.05009402707219124
221,15,11,0.05806812271475792
222,15,12,0.04710618034005165
223,15,13,0.0521581657230854
224,16,0,0.04958678036928177
225,16,1,0.04958678036928177
226,16,2,0.04958678036928177
227,16,3,0.05180602893233299
228,16,4,0.024802545085549355
229,16,5,0.03845060244202614
230,16,6,0.06082854047417641
231,16,7,0.04590829834342003
232,16,8,0.04813853278756142
233,16,9,0.048862211406230927
234,16,10,0.05033285915851593
235,16,11,0.0597512349486351
236,16,12,0.047388073056936264
237,16,13,0.04973497986793518
238,17,0,0.04958678036928177
239,17,1,0.04958678036928177
240,17,2,0.04958678036928177
241,17,3,0.05121244117617607
242,17,4,0.022848764434456825
243,17,5,0.040259864181280136
244,17,6,0.06191203370690346
245,17,7,0.044318947941064835
246,17,8,0.047418516129255295
247,17,9,0.04843641445040703
248,17,10,0.049894075840711594
249,17,11,0.05556114763021469
250,17,12,0.04719556123018265
251,17,13,0.04301503300666809
252,18,0,0.04958678036928177
253,18,1,0.04958678036928177
254,18,2,0.04958678036928177
255,18,3,0.05122087523341179
256,18,4,0.02350812777876854
257,18,5,0.04079728573560715
258,18,6,0.06163567304611206
259,18,7,0.045205481350421906
260,18,8,0.0471358485519886
261,18,9,0.04833812639117241
262,18,10,0.04928335174918175
263,18,11,0.060837604105472565
264,18,12,0.047328799962997437
265,18,13,0.04565965011715889
266,19,0,0.04958678036928177
267,19,1,0.04958678036928177
268,19,2,0.04958678036928177
269,19,3,0.05029226467013359
270,19,4,0.02171064354479313
271,19,5,0.04096575826406479
272,19,6,0.0622294545173645
273,19,7,0.04425530880689621
274,19,8,0.04685608670115471
275,19,9,0.047415852546691895
276,19,10,0.04879411309957504
277,19,11,0.06159181892871857
278,19,12,0.04805010184645653
279,19,13,0.04681583121418953
280,20,0,0.04958678036928177
281,20,1,0.04958678036928177
282,20,2,0.04958678036928177
283,20,3,0.04915935546159744
284,20,4,0.021277284249663353
285,20,5,0.04280029609799385
286,20,6,0.06103188917040825
287,20,7,0.044464144855737686
288,20,8,0.04617607221007347
289,20,9,0.0468086376786232
290,20,10,0.04887741431593895
291,20,11,0.06295949965715408
292,20,12,0.04789034277200699
293,20,13,0.044032879173755646
294,21,0,0.04958678036928177
295,21,1,0.04958678036928177
296,21,2,0.04958678036928177
297,21,3,0.049766648560762405
298,21,4,0.021944360807538033
299,21,5,0.046124137938022614
300,21,6,0.058100178837776184
301,21,7,0.04568392038345337
302,21,8,0.046373505145311356
303,21,9,0.04709145054221153
304,21,10,0.04981999471783638
305,21,11,0.0607156939804554
306,21,12,0.04889405891299248
307,21,13,0.03894924744963646
308,22,0,0.04958678036928177
309,22,1,0.04958678036928177
310,22,2,0.04958678036928177
311,22,3,0.0505535751581192
312,22,4,0.022325564175844193
313,22,5,0.04244757816195488
314,22,6,0.053582459688186646
315,22,7,0.04536105692386627
316,22,8,0.04675871878862381
317,22,9,0.04645634815096855
318,22,10,0.04973260685801506
319,22,11,0.06143700331449509
320,22,12,0.048896364867687225
321,22,13,0.04396430775523186
322,23,0,0.04958678036928177
323,23,1,0.04958678036928177
324,23,2,0.04958678036928177
325,23,3,0.05076328665018082
326,23,4,0.025837205350399017
327,23,5,0.040058571845293045
328,23,6,0.04897213354706764
329,23,7,0.04431559890508652
330,23,8,0.04659123718738556
331,23,9,0.04649900645017624
332,23,10,0.051734164357185364
333,23,11,0.06042442470788956
334,23,12,0.05010736733675003
335,23,13,0.044370077550411224
336,24,0,0.04958678036928177
337,24,1,0.04958678036928177
338,24,2,0.04958678036928177
339,24,3,0.050477150827646255
340,24,4,0.02740686573088169
341,24,5,0.036330096423625946
342,24,6,0.04706650227308273
343,24,7,0.0430869422852993
344,24,8,0.04649222642183304
345,24,9,0.04638605937361717
346,24,10,0.0507919117808342
347,24,11,0.061061687767505646
348,24,12,0.04887758940458298
349,24,13,0.04524219408631325
350,25,0,0.04958678036928177
351,25,1,0.04958678036928177
352,25,2,0.04958678036928177
353,25,3,0.050557564944028854
354,25,4,0.02592313475906849
