,layer,pos,prob
0,0,0,0.15862692892551422
1,0,1,0.15862692892551422
2,0,2,0.15862692892551422
3,0,3,0.1713634580373764
4,0,4,0.16673971712589264
5,0,5,0.15888436138629913
6,0,6,0.15641428530216217
7,0,7,0.15745528042316437
8,0,8,0.15856564044952393
9,0,9,0.15898488461971283
10,0,10,0.1600584238767624
11,0,11,0.15848326683044434
12,0,12,0.16227427124977112
13,0,13,0.1599712371826172
14,1,0,0.15862692892551422
15,1,1,0.15862692892551422
16,1,2,0.15862692892551422
17,1,3,0.17113247513771057
18,1,4,0.17061562836170197
19,1,5,0.15911096334457397
20,1,6,0.15577095746994019
21,1,7,0.1576191484928131
22,1,8,0.15846988558769226
23,1,9,0.15969467163085938
24,1,10,0.15960855782032013
25,1,11,0.15775515139102936
26,1,12,0.16342110931873322
27,1,13,0.16117212176322937
28,2,0,0.15862692892551422
29,2,1,0.15862692892551422
30,2,2,0.15862692892551422
31,2,3,0.16982176899909973
32,2,4,0.16414907574653625
33,2,5,0.1582135111093521
34,2,6,0.15634505450725555
35,2,7,0.15704745054244995
36,2,8,0.15841004252433777
37,2,9,0.15956652164459229
38,2,10,0.1580466628074646
39,2,11,0.15804000198841095
40,2,12,0.16430115699768066
41,2,13,0.16110172867774963
42,3,0,0.15862692892551422
43,3,1,0.15862692892551422
44,3,2,0.15862692892551422
45,3,3,0.16707774996757507
46,3,4,0.16528956592082977
47,3,5,0.15826313197612762
48,3,6,0.15632569789886475
49,3,7,0.15704245865345
50,3,8,0.15849673748016357
51,3,9,0.159529447555542
52,3,10,0.1582399606704712
53,3,11,0.15832076966762543
54,3,12,0.1640148013830185
55,3,13,0.1622454822063446
56,4,0,0.15862692892551422
57,4,1,0.15862692892551422
58,4,2,0.15862692892551422
59,4,3,0.16511142253875732
60,4,4,0.16509036719799042
61,4,5,0.1577458530664444
62,4,6,0.1574661135673523
63,4,7,0.15689024329185486
64,4,8,0.15821444988250732
65,4,9,0.15929239988327026
66,4,10,0.15795151889324188
67,4,11,0.1582614928483963
68,4,12,0.1639426052570343
69,4,13,0.1622028946876526
70,5,0,0.15862692892551422
71,5,1,0.15862692892551422
72,5,2,0.15862692892551422
73,5,3,0.1662939190864563
74,5,4,0.16255001723766327
75,5,5,0.1569208949804306
76,5,6,0.1577988862991333
77,5,7,0.15687300264835358
78,5,8,0.1580854058265686
79,5,9,0.15918919444084167
80,5,10,0.15772563219070435
81,5,11,0.15756629407405853
82,5,12,0.16383345425128937
83,5,13,0.16266043484210968
84,6,0,0.15862692892551422
85,6,1,0.15862692892551422
86,6,2,0.15862692892551422
87,6,3,0.16752339899539948
88,6,4,0.16558915376663208
89,6,5,0.15748117864131927
90,6,6,0.1588798314332962
91,6,7,0.15822331607341766
92,6,8,0.15807536244392395
93,6,9,0.1586039960384369
94,6,10,0.15580078959465027
95,6,11,0.156692236661911
96,6,12,0.16268500685691833
97,6,13,0.1623564064502716
98,7,0,0.15862692892551422
99,7,1,0.15862692892551422
100,7,2,0.15862692892551422
101,7,3,0.16228532791137695
102,7,4,0.16318833827972412
103,7,5,0.1580348014831543
104,7,6,0.1591356247663498
105,7,7,0.15923193097114563
106,7,8,0.1579677015542984
107,7,9,0.15922453999519348
108,7,10,0.15460285544395447
109,7,11,0.1556747406721115
110,7,12,0.16290999948978424
111,7,13,0.1617714762687683
112,8,0,0.15862692892551422
113,8,1,0.15862692892551422
114,8,2,0.15862692892551422
115,8,3,0.15611542761325836
116,8,4,0.1588868945837021
117,8,5,0.1570153385400772
118,8,6,0.1610352247953415
119,8,7,0.15993250906467438
120,8,8,0.15776298940181732
121,8,9,0.1589091271162033
122,8,10,0.1555412858724594
123,8,11,0.15626011788845062
124,8,12,0.16088734567165375
125,8,13,0.16375096142292023
126,9,0,0.15862692892551422
127,9,1,0.15862692892551422
128,9,2,0.15862692892551422
129,9,3,0.16104267537593842
130,9,4,0.1611846685409546
131,9,5,0.15663093328475952
132,9,6,0.16237705945968628
133,9,7,0.1595197319984436
134,9,8,0.15814374387264252
135,9,9,0.1570049375295639
136,9,10,0.1552203893661499
137,9,11,0.15943710505962372
138,9,12,0.15853939950466156
139,9,13,0.16226930916309357
140,10,0,0.15862692892551422
141,10,1,0.15862692892551422
142,10,2,0.15862692892551422
143,10,3,0.16113479435443878
144,10,4,0.15688422322273254
145,10,5,0.15541088581085205
146,10,6,0.1632850170135498
147,10,7,0.16047491133213043
148,10,8,0.15895359218120575
149,10,9,0.15713131427764893
150,10,10,0.15675649046897888
151,10,11,0.15991610288619995
152,10,12,0.15804927051067352
153,10,13,0.16201332211494446
154,11,0,0.15862692892551422
155,11,1,0.15862692892551422
156,11,2,0.15862692892551422
157,11,3,0.15945762395858765
158,11,4,0.14860624074935913
159,11,5,0.15338364243507385
160,11,6,0.16267135739326477
161,11,7,0.16005760431289673
162,11,8,0.15890613198280334
163,11,9,0.1568639576435089
164,11,10,0.15769751369953156
165,11,11,0.16151070594787598
166,11,12,0.156362384557724
167,11,13,0.1599363535642624
168,12,0,0.15862692892551422
169,12,1,0.15862692892551422
170,12,2,0.15862692892551422
171,12,3,0.16085942089557648
172,12,4,0.15146446228027344
173,12,5,0.15407313406467438
174,12,6,0.15794172883033752
175,12,7,0.15944410860538483
176,12,8,0.15904606878757477
177,12,9,0.15723071992397308
178,12,10,0.15779373049736023
179,12,11,0.16170106828212738
180,12,12,0.15551026165485382
181,12,13,0.16039057075977325
182,13,0,0.15862692892551422
183,13,1,0.15862692892551422
184,13,2,0.15862692892551422
185,13,3,0.16099755465984344
186,13,4,0.15025895833969116
187,13,5,0.15079326927661896
188,13,6,0.15784482657909393
189,13,7,0.15832781791687012
190,13,8,0.15875105559825897
191,13,9,0.1572185754776001
192,13,10,0.1573963761329651
193,13,11,0.1629917025566101
194,13,12,0.15667058527469635
195,13,13,0.15686441957950592
196,14,0,0.15862692892551422
197,14,1,0.15862692892551422
198,14,2,0.15862692892551422
199,14,3,0.16132745146751404
200,14,4,0.15037418901920319
201,14,5,0.1496925801038742
202,14,6,0.1567162424325943
203,14,7,0.15705333650112152
204,14,8,0.15868671238422394
205,14,9,0.15736454725265503
206,14,10,0.15679579973220825
207,14,11,0.16396526992321014
208,14,12,0.1564669907093048
209,14,13,0.15712971985340118
210,15,0,0.15862692892551422
211,15,1,0.15862692892551422
212,15,2,0.15862692892551422
213,15,3,0.16090813279151917
214,15,4,0.15352141857147217
215,15,5,0.15113069117069244
216,15,6,0.1558077484369278
217,15,7,0.1562591791152954
218,15,8,0.15851344168186188
219,15,9,0.15728820860385895
220,15,10,0.1543876826763153
221,15,11,0.16471783816814423
222,15,12,0.15661413967609406
223,15,13,0.15432624518871307
224,16,0,0.15862692892551422
225,16,1,0.15862692892551422
226,16,2,0.15862692892551422
227,16,3,0.16011720895767212
228,16,4,0.15139415860176086
229,16,5,0.15208251774311066
230,16,6,0.1546212136745453
231,16,7,0.15529541671276093
232,16,8,0.15895859897136688
233,16,9,0.1570192277431488
234,16,10,0.15439726412296295
235,16,11,0.16399720311164856
236,16,12,0.15701790153980255
237,16,13,0.15274128317832947
238,17,0,0.15862692892551422
239,17,1,0.15862692892551422
240,17,2,0.15862692892551422
241,17,3,0.15972574055194855
242,17,4,0.14886943995952606
243,17,5,0.15341365337371826
244,17,6,0.15348325669765472
245,17,7,0.1542518585920334
246,17,8,0.15844546258449554
247,17,9,0.15735171735286713
248,17,10,0.15350405871868134
249,17,11,0.16459107398986816
250,17,12,0.15787936747074127
251,17,13,0.152204692363739
252,18,0,0.15862692892551422
253,18,1,0.15862692892551422
254,18,2,0.15862692892551422
255,18,3,0.15923328697681427
256,18,4,0.1516217142343521
257,18,5,0.15435345470905304
258,18,6,0.15264718234539032
259,18,7,0.15453562140464783
260,18,8,0.15858834981918335
261,18,9,0.15762774646282196
262,18,10,0.15201854705810547
263,18,11,0.16460008919239044
264,18,12,0.1575084626674652
265,18,13,0.150710791349411
266,19,0,0.15862692892551422
267,19,1,0.15862692892551422
268,19,2,0.15862692892551422
269,19,3,0.15860725939273834
270,19,4,0.15308858454227448
271,19,5,0.15213525295257568
272,19,6,0.1507239043712616
273,19,7,0.1543785184621811
274,19,8,0.15872766077518463
275,19,9,0.15951605141162872
276,19,10,0.15075013041496277
277,19,11,0.16180463135242462
278,19,12,0.15870241820812225
279,19,13,0.1520911455154419
280,20,0,0.15862692892551422
281,20,1,0.15862692892551422
282,20,2,0.15862692892551422
283,20,3,0.15844102203845978
284,20,4,0.1568116843700409
285,20,5,0.1524374783039093
286,20,6,0.15093739330768585
287,20,7,0.15101900696754456
288,20,8,0.15753357112407684
289,20,9,0.15904831886291504
290,20,10,0.14969845116138458
291,20,11,0.1594652235507965
292,20,12,0.1582406461238861
293,20,13,0.15360741317272186
294,21,0,0.15862692892551422
295,21,1,0.15862692892551422
296,21,2,0.15862692892551422
297,21,3,0.15761202573776245
298,21,4,0.1592434197664261
299,21,5,0.1524198204278946
300,21,6,0.1519254744052887
301,21,7,0.15187685191631317
302,21,8,0.1573946475982666
303,21,9,0.1583227664232254
304,21,10,0.1498688906431198
305,21,11,0.15911686420440674
306,21,12,0.1585029512643814
307,21,13,0.1469368189573288
308,22,0,0.15862692892551422
309,22,1,0.15862692892551422
310,22,2,0.15862692892551422
311,22,3,0.15732812881469727
312,22,4,0.16026653349399567
313,22,5,0.1549074351787567
314,22,6,0.15522664785385132
315,22,7,0.15365196764469147
316,22,8,0.1577991247177124
317,22,9,0.15762858092784882
318,22,10,0.1501690149307251
319,22,11,0.1586943417787552
320,22,12,0.15741382539272308
321,22,13,0.14654377102851868
322,23,0,0.15862692892551422
323,23,1,0.15862692892551422
324,23,2,0.15862692892551422
325,23,3,0.15755696594715118
326,23,4,0.16087868809700012
327,23,5,0.15519237518310547
328,23,6,0.1559472382068634
329,23,7,0.1532568633556366
330,23,8,0.15786327421665192
331,23,9,0.15693949162960052
332,23,10,0.1512484848499298
333,23,11,0.15783311426639557
334,23,12,0.1568748503923416
335,23,13,0.14576376974582672
336,24,0,0.15862692892551422
337,24,1,0.15862692892551422
338,24,2,0.15862692892551422
339,24,3,0.1575968712568283
340,24,4,0.1604348123073578
341,24,5,0.15787309408187866
342,24,6,0.15668757259845734
343,24,7,0.15191294252872467
344,24,8,0.15766939520835876
345,24,9,0.15714144706726074
346,24,10,0.15092530846595764
347,24,11,0.15632562339305878
348,24,12,0.15647739171981812
349,24,13,0.1464117467403412
350,25,0,0.15862692892551422
351,25,1,0.15862692892551422
352,25,2,0.15862692892551422
353,25,3,0.1573304831981659
354,25,4,0.15683206915855408
355,25,5,0.1567377746105194
356,25,6,0.15706995129585266
357,25,7,0.15304455161094666
358,25,8,0.15835392475128174
359,25,9,0.15745759010314941
360,25,10,0.15253134071826935
361,25,11,0.15677057206630707
362,25,12,0.15668098628520966
363,25,13,0.14762920141220093
364,26,0,0.15862692892551422
365,26,1,0.15862692892551422
366,26,2,0.15862692892551422
367,26,3,0.15769365429878235
368,26,4,0.15605074167251587
369,26,5,0.15704455971717834
370,26,6,0.15804775059223175
371,26,7,0.154181569814682
372,26,8,0.15827523171901703
373,26,9,0.15766692161560059
374,26,10,0.15387053787708282
375,26,11,0.156448096036911
376,26,12,0.15690574049949646
377,26,13,0.14551346004009247
378,27,0,0.15862692892551422
379,27,1,0.15862692892551422
380,27,2,0.15862692892551422
381,27,3,0.1580168902873993
382,27,4,0.15677887201309204
383,27,5,0.1581195443868637
384,27,6,0.15955889225006104
385,27,7,0.15528573095798492
386,27,8,0.15869516134262085
387,27,9,0.1571481078863144
388,27,10,0.1555919349193573
389,27,11,0.15560688078403473
390,27,12,0.15637262165546417
391,27,13,0.14021332561969757
392,28,0,0.15862692892551422
393,28,1,0.15862692892551422
394,28,2,0.15862692892551422
395,28,3,0.1579628735780716
396,28,4,0.1565217226743698
397,28,5,0.15725381672382355
398,28,6,0.16101740300655365
399,28,7,0.1553884893655777
400,28,8,0.15882891416549683
401,28,9,0.15686346590518951
402,28,10,0.15623190999031067
403,28,11,0.15564215183258057
404,28,12,0.15638110041618347
405,28,13,0.14384010434150696
406,29,0,0.15862692892551422
407,29,1,0.15862692892551422
408,29,2,0.15862692892551422
409,29,3,0.15824556350708008
410,29,4,0.15610472857952118
411,29,5,0.15822041034698486
412,29,6,0.16151852905750275
413,29,7,0.15441033244132996
414,29,8,0.15852977335453033
415,29,9,0.15705347061157227
416,29,10,0.15712283551692963
417,29,11,0.1560356318950653
418,29,12,0.15657566487789154
419,29,13,0.14634093642234802
420,30,0,0.15862692892551422
421,30,1,0.15862692892551422
422,30,2,0.15862692892551422
423,30,3,0.15828518569469452
424,30,4,0.1544574499130249
425,30,5,0.15758664906024933
426,30,6,0.16105160117149353
427,30,7,0.15546871721744537
428,30,8,0.15866509079933167
429,30,9,0.15692642331123352
430,30,10,0.15887464582920074
431,30,11,0.15573279559612274
432,30,12,0.1566924899816513
433,30,13,0.14255450665950775
434,31,0,0.15862692892551422
435,31,1,0.15862692892551422
436,31,2,0.15862692892551422
437,31,3,0.1584206223487854
438,31,4,0.15349127352237701
439,31,5,0.15644729137420654
440,31,6,0.16103242337703705
441,31,7,0.15485990047454834
442,31,8,0.1586046814918518
443,31,9,0.15696895122528076
444,31,10,0.15887965261936188
445,31,11,0.1557634025812149
446,31,12,0.15697892010211945
447,31,13,0.15724799036979675
448,32,0,0.15862692892551422
449,32,1,0.15862692892551422
450,32,2,0.15862692892551422
451,32,3,0.15864820778369904
452,32,4,0.1529308408498764
453,32,5,0.15673471987247467
454,32,6,0.16041719913482666
455,32,7,0.15506190061569214
456,32,8,0.1587078720331192
457,32,9,0.15747766196727753
458,32,10,0.15991583466529846
459,32,11,0.15625052154064178
460,32,12,0.15756921470165253
461,32,13,0.1543109118938446
462,33,0,0.15862692892551422
463,33,1,0.15862692892551422
464,33,2,0.15862692892551422
465,33,3,0.15843388438224792
466,33,4,0.15339407324790955
467,33,5,0.15679477155208588
468,33,6,0.15971902012825012
469,33,7,0.15568006038665771
470,33,8,0.15874259173870087
471,33,9,0.15790261328220367
