,layer,pos,prob
0,0,0,0.15862692892551422
1,0,1,0.15862692892551422
2,0,2,0.15862692892551422
3,0,3,0.17728526890277863
4,0,4,0.1223301813006401
5,0,5,0.1587243229150772
6,0,6,0.15826080739498138
7,0,7,0.15688225626945496
8,0,8,0.15888676047325134
9,0,9,0.15975788235664368
10,0,10,0.16262546181678772
11,0,11,0.16088490188121796
12,0,12,0.15912672877311707
13,0,13,0.1602596491575241
14,1,0,0.15862692892551422
15,1,1,0.15862692892551422
16,1,2,0.15862692892551422
17,1,3,0.17732079327106476
18,1,4,0.12188819795846939
19,1,5,0.15884843468666077
20,1,6,0.15656661987304688
21,1,7,0.15678688883781433
22,1,8,0.15894488990306854
23,1,9,0.15948688983917236
24,1,10,0.16211335361003876
25,1,11,0.15998560190200806
26,1,12,0.16046299040317535
27,1,13,0.1593330204486847
28,2,0,0.15862692892551422
29,2,1,0.15862692892551422
30,2,2,0.15862692892551422
31,2,3,0.17730827629566193
32,2,4,0.11973024904727936
33,2,5,0.15907682478427887
34,2,6,0.1552407592535019
35,2,7,0.15686403214931488
36,2,8,0.1589122861623764
37,2,9,0.15889261662960052
38,2,10,0.16249580681324005
39,2,11,0.16003277897834778
40,2,12,0.16078178584575653
41,2,13,0.15972936153411865
42,3,0,0.15862692892551422
43,3,1,0.15862692892551422
44,3,2,0.15862692892551422
45,3,3,0.17712649703025818
46,3,4,0.11907193809747696
47,3,5,0.15875521302223206
48,3,6,0.15589088201522827
49,3,7,0.1572941243648529
50,3,8,0.15909326076507568
51,3,9,0.15911777317523956
52,3,10,0.16283541917800903
53,3,11,0.16022264957427979
54,3,12,0.1598375141620636
55,3,13,0.15958669781684875
56,4,0,0.15862692892551422
57,4,1,0.15862692892551422
58,4,2,0.15862692892551422
59,4,3,0.17749498784542084
60,4,4,0.12044954299926758
61,4,5,0.15859901905059814
62,4,6,0.15220238268375397
63,4,7,0.1576356738805771
64,4,8,0.15904611349105835
65,4,9,0.15969747304916382
66,4,10,0.16223224997520447
67,4,11,0.1602230966091156
68,4,12,0.16125576198101044
69,4,13,0.15949687361717224
70,5,0,0.15862692892551422
71,5,1,0.15862692892551422
72,5,2,0.15862692892551422
73,5,3,0.17753402888774872
74,5,4,0.11797163635492325
75,5,5,0.15759888291358948
76,5,6,0.15426689386367798
77,5,7,0.15691401064395905
78,5,8,0.15870024263858795
79,5,9,0.15899156033992767
80,5,10,0.16214044392108917
81,5,11,0.16065974533557892
82,5,12,0.16059674322605133
83,5,13,0.15994258224964142
84,6,0,0.15862692892551422
85,6,1,0.15862692892551422
86,6,2,0.15862692892551422
87,6,3,0.16249914467334747
88,6,4,0.11717122793197632
89,6,5,0.15829133987426758
90,6,6,0.1536327451467514
91,6,7,0.1570930927991867
92,6,8,0.15789034962654114
93,6,9,0.15984836220741272
94,6,10,0.1627141237258911
95,6,11,0.15911360085010529
96,6,12,0.16061384975910187
97,6,13,0.15874972939491272
98,7,0,0.15862692892551422
99,7,1,0.15862692892551422
100,7,2,0.15862692892551422
101,7,3,0.1289144605398178
102,7,4,0.1181846335530281
103,7,5,0.1590956151485443
104,7,6,0.15242032706737518
105,7,7,0.15742415189743042
106,7,8,0.15960709750652313
107,7,9,0.15777330100536346
108,7,10,0.15972881019115448
109,7,11,0.15762491524219513
110,7,12,0.16128744184970856
111,7,13,0.16099852323532104
112,8,0,0.15862692892551422
113,8,1,0.15862692892551422
114,8,2,0.15862692892551422
115,8,3,0.1121094673871994
116,8,4,0.12143828719854355
117,8,5,0.15876391530036926
118,8,6,0.15150362253189087
119,8,7,0.15979351103305817
120,8,8,0.15872682631015778
121,8,9,0.15800464153289795
122,8,10,0.15849550068378448
123,8,11,0.15840336680412292
124,8,12,0.16258136928081512
125,8,13,0.1637878715991974
126,9,0,0.15862692892551422
127,9,1,0.15862692892551422
128,9,2,0.15862692892551422
129,9,3,0.1658933013677597
130,9,4,0.11867137253284454
131,9,5,0.1565893292427063
132,9,6,0.15089061856269836
133,9,7,0.15872278809547424
134,9,8,0.15808360278606415
135,9,9,0.15698404610157013
136,9,10,0.15717613697052002
137,9,11,0.1578863561153412
138,9,12,0.1615542471408844
139,9,13,0.16442757844924927
140,10,0,0.15862692892551422
141,10,1,0.15862692892551422
142,10,2,0.15862692892551422
143,10,3,0.16260777413845062
144,10,4,0.11989427357912064
145,10,5,0.1566263884305954
146,10,6,0.15079152584075928
147,10,7,0.15693753957748413
148,10,8,0.15775620937347412
149,10,9,0.15669319033622742
150,10,10,0.1575682908296585
151,10,11,0.15808981657028198
152,10,12,0.1594756692647934
153,10,13,0.16222693026065826
154,11,0,0.15862692892551422
155,11,1,0.15862692892551422
156,11,2,0.15862692892551422
157,11,3,0.156018927693367
158,11,4,0.12183290719985962
159,11,5,0.1553952991962433
160,11,6,0.15647751092910767
161,11,7,0.15893542766571045
162,11,8,0.15840810537338257
163,11,9,0.15730610489845276
164,11,10,0.15613026916980743
165,11,11,0.15786601603031158
166,11,12,0.15744510293006897
167,11,13,0.16366522014141083
168,12,0,0.15862692892551422
169,12,1,0.15862692892551422
170,12,2,0.15862692892551422
171,12,3,0.15531206130981445
172,12,4,0.12780287861824036
173,12,5,0.15812745690345764
174,12,6,0.1574498564004898
175,12,7,0.16041231155395508
176,12,8,0.15925179421901703
177,12,9,0.15768909454345703
178,12,10,0.1575232446193695
179,12,11,0.15946994721889496
180,12,12,0.15736211836338043
181,12,13,0.16310924291610718
182,13,0,0.15862692892551422
183,13,1,0.15862692892551422
184,13,2,0.15862692892551422
185,13,3,0.15552669763565063
186,13,4,0.12576158344745636
187,13,5,0.16202399134635925
188,13,6,0.1585906445980072
189,13,7,0.16163098812103271
190,13,8,0.1588549166917801
191,13,9,0.1571807712316513
192,13,10,0.16010288894176483
193,13,11,0.16060318052768707
194,13,12,0.15865088999271393
195,13,13,0.16521325707435608
196,14,0,0.15862692892551422
197,14,1,0.15862692892551422
198,14,2,0.15862692892551422
199,14,3,0.1613023281097412
200,14,4,0.13025429844856262
201,14,5,0.15721090137958527
202,14,6,0.16451673209667206
203,14,7,0.16008257865905762
204,14,8,0.15879115462303162
205,14,9,0.15669161081314087
206,14,10,0.15779732167720795
207,14,11,0.16431139409542084
208,14,12,0.15868845582008362
209,14,13,0.1658620983362198
210,15,0,0.15862692892551422
211,15,1,0.15862692892551422
212,15,2,0.15862692892551422
213,15,3,0.1592237949371338
214,15,4,0.13791637122631073
215,15,5,0.1585063934326172
216,15,6,0.1652439683675766
217,15,7,0.15871544182300568
218,15,8,0.15967291593551636
219,15,9,0.15608642995357513
220,15,10,0.1596382111310959
221,15,11,0.16136392951011658
222,15,12,0.15921777486801147
223,15,13,0.162400022149086
224,16,0,0.15862692892551422
225,16,1,0.15862692892551422
226,16,2,0.15862692892551422
227,16,3,0.15485280752182007
228,16,4,0.14648889005184174
229,16,5,0.1550532579421997
230,16,6,0.1646687090396881
231,16,7,0.15783141553401947
232,16,8,0.16010506451129913
233,16,9,0.15535418689250946
234,16,10,0.1596638411283493
235,16,11,0.1660059690475464
236,16,12,0.1591319441795349
237,16,13,0.16350378096103668
238,17,0,0.15862692892551422
239,17,1,0.15862692892551422
240,17,2,0.15862692892551422
241,17,3,0.15346211194992065
242,17,4,0.14524611830711365
243,17,5,0.16018156707286835
244,17,6,0.16382549703121185
245,17,7,0.1572427749633789
246,17,8,0.15910473465919495
247,17,9,0.15542931854724884
248,17,10,0.16058701276779175
249,17,11,0.16856341063976288
250,17,12,0.15972518920898438
251,17,13,0.160060316324234
252,18,0,0.15862692892551422
253,18,1,0.15862692892551422
254,18,2,0.15862692892551422
255,18,3,0.15214280784130096
256,18,4,0.14686991274356842
257,18,5,0.15523496270179749
258,18,6,0.16592183709144592
259,18,7,0.16143563389778137
260,18,8,0.15897321701049805
261,18,9,0.15619100630283356
262,18,10,0.16197313368320465
263,18,11,0.1687944531440735
264,18,12,0.15933378040790558
265,18,13,0.15630245208740234
266,19,0,0.15862692892551422
267,19,1,0.15862692892551422
268,19,2,0.15862692892551422
269,19,3,0.1540599763393402
270,19,4,0.14822396636009216
271,19,5,0.15889428555965424
272,19,6,0.1598670929670334
273,19,7,0.15932784974575043
274,19,8,0.1589367836713791
275,19,9,0.15541258454322815
276,19,10,0.16227322816848755
277,19,11,0.16775266826152802
278,19,12,0.1598680019378662
279,19,13,0.15400078892707825
280,20,0,0.15862692892551422
281,20,1,0.15862692892551422
282,20,2,0.15862692892551422
283,20,3,0.15486158430576324
284,20,4,0.13872681558132172
285,20,5,0.16270014643669128
286,20,6,0.1610441952943802
287,20,7,0.16042304039001465
288,20,8,0.1591009497642517
289,20,9,0.1567903310060501
290,20,10,0.16350562870502472
291,20,11,0.1677420288324356
292,20,12,0.15858681499958038
293,20,13,0.14051666855812073
294,21,0,0.15862692892551422
295,21,1,0.15862692892551422
296,21,2,0.15862692892551422
297,21,3,0.15206053853034973
298,21,4,0.14543907344341278
299,21,5,0.16830666363239288
300,21,6,0.16478870809078217
301,21,7,0.16545891761779785
302,21,8,0.15973974764347076
303,21,9,0.15736986696720123
304,21,10,0.16450908780097961
305,21,11,0.1669580638408661
306,21,12,0.1584320217370987
307,21,13,0.14494137465953827
308,22,0,0.15862692892551422
309,22,1,0.15862692892551422
310,22,2,0.15862692892551422
311,22,3,0.15272004902362823
312,22,4,0.13976922631263733
313,22,5,0.15826529264450073
314,22,6,0.16353027522563934
315,22,7,0.167321115732193
316,22,8,0.15989536046981812
317,22,9,0.1572115123271942
318,22,10,0.16137345135211945
319,22,11,0.16193169355392456
320,22,12,0.1589016318321228
321,22,13,0.15989364683628082
322,23,0,0.15862692892551422
323,23,1,0.15862692892551422
324,23,2,0.15862692892551422
325,23,3,0.1539953202009201
326,23,4,0.14697808027267456
327,23,5,0.15981997549533844
328,23,6,0.1629052311182022
329,23,7,0.16336852312088013
330,23,8,0.15946923196315765
331,23,9,0.15642796456813812
332,23,10,0.16076838970184326
333,23,11,0.1614610105752945
334,23,12,0.15886220335960388
335,23,13,0.17374548316001892
336,24,0,0.15862692892551422
337,24,1,0.15862692892551422
338,24,2,0.15862692892551422
339,24,3,0.15546198189258575
340,24,4,0.1394144743680954
341,24,5,0.16462410986423492
342,24,6,0.1612054854631424
343,24,7,0.16456206142902374
344,24,8,0.1591840386390686
345,24,9,0.15671798586845398
346,24,10,0.1623866707086563
347,24,11,0.158369779586792
348,24,12,0.15879662334918976
349,24,13,0.16868528723716736
350,25,0,0.15862692892551422
351,25,1,0.15862692892551422
352,25,2,0.15862692892551422
353,25,3,0.15531985461711884
354,25,4,0.14787791669368744
355,25,5,0.1574966460466385
356,25,6,0.16153675317764282
357,25,7,0.16309192776679993
358,25,8,0.15918368101119995
359,25,9,0.15684717893600464
360,25,10,0.16140025854110718
361,25,11,0.16000914573669434
362,25,12,0.1585855931043625
363,25,13,0.1744079887866974
364,26,0,0.15862692892551422
365,26,1,0.15862692892551422
366,26,2,0.15862692892551422
367,26,3,0.15456493198871613
368,26,4,0.14399132132530212
369,26,5,0.15427161753177643
370,26,6,0.16190940141677856
371,26,7,0.16765472292900085
372,26,8,0.158830925822258
373,26,9,0.15753905475139618
374,26,10,0.1591506004333496
375,26,11,0.15539303421974182
376,26,12,0.15889491140842438
377,26,13,0.1771249771118164
378,27,0,0.15862692892551422
379,27,1,0.15862692892551422
380,27,2,0.15862692892551422
381,27,3,0.15649791061878204
382,27,4,0.14784659445285797
383,27,5,0.14963901042938232
384,27,6,0.15963482856750488
385,27,7,0.16785776615142822
386,27,8,0.15986637771129608
387,27,9,0.15865696966648102
388,27,10,0.15900319814682007
389,27,11,0.15500347316265106
390,27,12,0.15894968807697296
391,27,13,0.17152513563632965
392,28,0,0.15862692892551422
393,28,1,0.15862692892551422
394,28,2,0.15862692892551422
395,28,3,0.15644696354866028
396,28,4,0.1524997055530548
397,28,5,0.1531354784965515
398,28,6,0.16100475192070007
399,28,7,0.16652986407279968
400,28,8,0.16087858378887177
401,28,9,0.1586499959230423
402,28,10,0.15824048221111298
403,28,11,0.15540331602096558
404,28,12,0.1587122529745102
405,28,13,0.18258361518383026
406,29,0,0.15862692892551422
407,29,1,0.15862692892551422
408,29,2,0.15862692892551422
409,29,3,0.15664181113243103
410,29,4,0.15272948145866394
411,29,5,0.1517810821533203
412,29,6,0.16009849309921265
413,29,7,0.16237899661064148
414,29,8,0.16013628244400024
415,29,9,0.1594100296497345
416,29,10,0.15873610973358154
417,29,11,0.1570262759923935
418,29,12,0.15862996876239777
419,29,13,0.1703934669494629
420,30,0,0.15862692892551422
421,30,1,0.15862692892551422
422,30,2,0.15862692892551422
423,30,3,0.1576540619134903
424,30,4,0.1532081514596939
425,30,5,0.15518608689308167
426,30,6,0.15898458659648895
427,30,7,0.16084784269332886
428,30,8,0.15986545383930206
429,30,9,0.15932555496692657
430,30,10,0.15828870236873627
431,30,11,0.15728461742401123
432,30,12,0.15829871594905853
433,30,13,0.16386137902736664
434,31,0,0.15862692892551422
435,31,1,0.15862692892551422
436,31,2,0.15862692892551422
437,31,3,0.1572580486536026
438,31,4,0.15435084700584412
439,31,5,0.1540444791316986
440,31,6,0.1591763198375702
441,31,7,0.15955960750579834
442,31,8,0.15927734971046448
443,31,9,0.15813151001930237
444,31,10,0.15791158378124237
445,31,11,0.15651771426200867
446,31,12,0.15809467434883118
447,31,13,0.15793085098266602
448,32,0,0.15862692892551422
449,32,1,0.15862692892551422
450,32,2,0.15862692892551422
451,32,3,0.15687741339206696
452,32,4,0.15676690638065338
453,32,5,0.15414544939994812
454,32,6,0.15995018184185028
455,32,7,0.15928928554058075
456,32,8,0.15951727330684662
457,32,9,0.157937690615654
458,32,10,0.15858790278434753
459,32,11,0.15744274854660034
460,32,12,0.15788058936595917
461,32,13,0.15368077158927917
462,33,0,0.15862692892551422
463,33,1,0.15862692892551422
464,33,2,0.15862692892551422
465,33,3,0.15715642273426056
466,33,4,0.15692201256752014
467,33,5,0.15606790781021118
468,33,6,0.1585698276758194
469,33,7,0.16009758412837982
470,33,8,0.15977831184864044
471,33,9,0.15851397812366486
