,layer,pos,prob
0,0,0,0.22709205746650696
1,0,1,0.22709205746650696
2,0,2,0.22709205746650696
3,0,3,0.25291430950164795
4,0,4,0.16545118391513824
5,0,5,0.1616867631673813
6,0,6,0.21743910014629364
7,0,7,0.24850063025951385
8,0,8,0.22972619533538818
9,0,9,0.22974322736263275
10,0,10,0.22663810849189758
11,0,11,0.23119160532951355
12,0,12,0.20650897920131683
13,0,13,0.21801845729351044
14,1,0,0.22709205746650696
15,1,1,0.22709205746650696
16,1,2,0.22709205746650696
17,1,3,0.25848904252052307
18,1,4,0.1842074692249298
19,1,5,0.16898460686206818
20,1,6,0.2079736441373825
21,1,7,0.2583017945289612
22,1,8,0.2320106029510498
23,1,9,0.22713692486286163
24,1,10,0.2243799865245819
25,1,11,0.23685184121131897
26,1,12,0.25273314118385315
27,1,13,0.220228374004364
28,2,0,0.22709205746650696
29,2,1,0.22709205746650696
30,2,2,0.22709205746650696
31,2,3,0.26836079359054565
32,2,4,0.19858160614967346
33,2,5,0.1721242070198059
34,2,6,0.20808978378772736
35,2,7,0.24878953397274017
36,2,8,0.23238582909107208
37,2,9,0.22229187190532684
38,2,10,0.21656440198421478
39,2,11,0.21618960797786713
40,2,12,0.08176504820585251
41,2,13,0.25123172998428345
42,3,0,0.22709205746650696
43,3,1,0.22709205746650696
44,3,2,0.22709205746650696
45,3,3,0.27160221338272095
46,3,4,0.24068965017795563
47,3,5,0.20076337456703186
48,3,6,0.2189083695411682
49,3,7,0.2364397794008255
50,3,8,0.227840855717659
51,3,9,0.2216433882713318
52,3,10,0.214496910572052
53,3,11,0.20991607010364532
54,3,12,0.014498231001198292
55,3,13,0.2825579047203064
56,4,0,0.22709205746650696
57,4,1,0.22709205746650696
58,4,2,0.22709205746650696
59,4,3,0.26492929458618164
60,4,4,0.19055019319057465
61,4,5,0.17724032700061798
62,4,6,0.2069563865661621
63,4,7,0.24376633763313293
64,4,8,0.22970454394817352
65,4,9,0.21938858926296234
66,4,10,0.2298417091369629
67,4,11,0.24758635461330414
68,4,12,0.014867013320326805
69,4,13,0.2512052059173584
70,5,0,0.22709205746650696
71,5,1,0.22709205746650696
72,5,2,0.22709205746650696
73,5,3,0.26692867279052734
74,5,4,0.19409193098545074
75,5,5,0.17175424098968506
76,5,6,0.20615561306476593
77,5,7,0.22727279365062714
78,5,8,0.22917327284812927
79,5,9,0.21818174421787262
80,5,10,0.23069126904010773
81,5,11,0.24502073228359222
82,5,12,0.01354191079735756
83,5,13,0.24089202284812927
84,6,0,0.22709205746650696
85,6,1,0.22709205746650696
86,6,2,0.22709205746650696
87,6,3,0.21634799242019653
88,6,4,0.25539836287498474
89,6,5,0.18124939501285553
90,6,6,0.20595094561576843
91,6,7,0.22742146253585815
92,6,8,0.22837543487548828
93,6,9,0.21722078323364258
94,6,10,0.2327614724636078
95,6,11,0.24944010376930237
96,6,12,0.015046905726194382
97,6,13,0.2422492802143097
98,7,0,0.22709205746650696
99,7,1,0.22709205746650696
100,7,2,0.22709205746650696
101,7,3,0.23651809990406036
102,7,4,0.22841617465019226
103,7,5,0.18669205904006958
104,7,6,0.20423078536987305
105,7,7,0.22710971534252167
106,7,8,0.22833779454231262
107,7,9,0.21422602236270905
108,7,10,0.23457422852516174
109,7,11,0.2491324096918106
110,7,12,0.009549002163112164
111,7,13,0.2457450032234192
112,8,0,0.22709205746650696
113,8,1,0.22709205746650696
114,8,2,0.22709205746650696
115,8,3,0.21806016564369202
116,8,4,0.006993742194026709
117,8,5,0.16634610295295715
118,8,6,0.22546698153018951
119,8,7,0.2385435253381729
120,8,8,0.23113320767879486
121,8,9,0.2164529711008072
122,8,10,0.23522652685642242
123,8,11,0.249152272939682
124,8,12,0.01054572593420744
125,8,13,0.2505410611629486
126,9,0,0.22709205746650696
127,9,1,0.22709205746650696
128,9,2,0.22709205746650696
129,9,3,0.21106353402137756
130,9,4,0.009393837302923203
131,9,5,0.1468249410390854
132,9,6,0.25243520736694336
133,9,7,0.2448984980583191
134,9,8,0.23031121492385864
135,9,9,0.21452860534191132
136,9,10,0.23668444156646729
137,9,11,0.2495107650756836
138,9,12,0.013091851025819778
139,9,13,0.2617521286010742
140,10,0,0.22709205746650696
141,10,1,0.22709205746650696
142,10,2,0.22709205746650696
143,10,3,0.23324806988239288
144,10,4,0.018066778779029846
145,10,5,0.1431204080581665
146,10,6,0.2472742199897766
147,10,7,0.26932141184806824
148,10,8,0.22851823270320892
149,10,9,0.2145741879940033
150,10,10,0.23593635857105255
151,10,11,0.24425619840621948
152,10,12,0.012855012901127338
153,10,13,0.2652791440486908
154,11,0,0.22709205746650696
155,11,1,0.22709205746650696
156,11,2,0.22709205746650696
157,11,3,0.23293843865394592
158,11,4,0.007204166613519192
159,11,5,0.14191602170467377
160,11,6,0.25114431977272034
161,11,7,0.24610404670238495
162,11,8,0.2282511591911316
163,11,9,0.2189663052558899
164,11,10,0.23838144540786743
165,11,11,0.2394961416721344
166,11,12,0.012413973920047283
167,11,13,0.2659701406955719
168,12,0,0.22709205746650696
169,12,1,0.22709205746650696
170,12,2,0.22709205746650696
171,12,3,0.226784810423851
172,12,4,0.1330139935016632
173,12,5,0.1406010389328003
174,12,6,0.2631934881210327
175,12,7,0.2610248327255249
176,12,8,0.2267850935459137
177,12,9,0.22598092257976532
178,12,10,0.24286852777004242
179,12,11,0.24460214376449585
180,12,12,0.2595790922641754
181,12,13,0.2634010910987854
182,13,0,0.22709205746650696
183,13,1,0.22709205746650696
184,13,2,0.22709205746650696
185,13,3,0.2282567024230957
186,13,4,0.22563044726848602
187,13,5,0.18408875167369843
188,13,6,0.3178637623786926
189,13,7,0.2622174620628357
190,13,8,0.2337905466556549
191,13,9,0.2270698994398117
192,13,10,0.23389467597007751
193,13,11,0.25444260239601135
194,13,12,0.2746783196926117
195,13,13,0.2586345374584198
196,14,0,0.22709205746650696
197,14,1,0.22709205746650696
198,14,2,0.22709205746650696
199,14,3,0.22767655551433563
200,14,4,0.21115051209926605
201,14,5,0.13338060677051544
202,14,6,0.24369749426841736
203,14,7,0.266989529132843
204,14,8,0.23249192535877228
205,14,9,0.22962145507335663
206,14,10,0.2317226380109787
207,14,11,0.24460311233997345
208,14,12,0.2560442388057709
209,14,13,0.28070151805877686
210,15,0,0.22709205746650696
211,15,1,0.22709205746650696
212,15,2,0.22709205746650696
213,15,3,0.22771967947483063
214,15,4,0.2181859165430069
215,15,5,0.1395159363746643
216,15,6,0.24657872319221497
217,15,7,0.2677547037601471
218,15,8,0.2320907711982727
219,15,9,0.23166699707508087
220,15,10,0.23060068488121033
221,15,11,0.24433329701423645
222,15,12,0.24764102697372437
223,15,13,0.3185630440711975
224,16,0,0.22709205746650696
225,16,1,0.22709205746650696
226,16,2,0.22709205746650696
227,16,3,0.2278520166873932
228,16,4,0.21503426134586334
229,16,5,0.2299821525812149
230,16,6,0.2365521937608719
231,16,7,0.26820123195648193
232,16,8,0.23335592448711395
233,16,9,0.2319783717393875
234,16,10,0.23420551419258118
235,16,11,0.24415013194084167
236,16,12,0.21988271176815033
237,16,13,0.2789068818092346
238,17,0,0.22709205746650696
239,17,1,0.22709205746650696
240,17,2,0.22709205746650696
241,17,3,0.22822672128677368
242,17,4,0.22042730450630188
243,17,5,0.18451522290706635
244,17,6,0.22172394394874573
245,17,7,0.2700210511684418
246,17,8,0.23230263590812683
247,17,9,0.23185065388679504
248,17,10,0.23529216647148132
249,17,11,0.24159690737724304
250,17,12,0.22853337228298187
