,layer,pos,prob
0,0,0,0.22709205746650696
1,0,1,0.22709205746650696
2,0,2,0.22709205746650696
3,0,3,0.26149165630340576
4,0,4,0.29038679599761963
5,0,5,0.16008201241493225
6,0,6,0.2191774696111679
7,0,7,0.24850063025951385
8,0,8,0.22972619533538818
9,0,9,0.22974322736263275
10,0,10,0.22663810849189758
11,0,11,0.23119160532951355
12,0,12,0.20650897920131683
13,0,13,0.21801845729351044
14,1,0,0.22709205746650696
15,1,1,0.22709205746650696
16,1,2,0.22709205746650696
17,1,3,0.26149165630340576
18,1,4,0.2880963683128357
19,1,5,0.16085392236709595
20,1,6,0.22306060791015625
21,1,7,0.2583017945289612
22,1,8,0.2320106029510498
23,1,9,0.22713692486286163
24,1,10,0.2243799865245819
25,1,11,0.23685184121131897
26,1,12,0.25273314118385315
27,1,13,0.220228374004364
28,2,0,0.22709205746650696
29,2,1,0.22709205746650696
30,2,2,0.22709205746650696
31,2,3,0.26149165630340576
32,2,4,0.2845895290374756
33,2,5,0.17242087423801422
34,2,6,0.22465187311172485
35,2,7,0.24878953397274017
36,2,8,0.23238582909107208
37,2,9,0.22229187190532684
38,2,10,0.21656440198421478
39,2,11,0.21618960797786713
40,2,12,0.08176504820585251
41,2,13,0.25123172998428345
42,3,0,0.22709205746650696
43,3,1,0.22709205746650696
44,3,2,0.22709205746650696
45,3,3,0.26149165630340576
46,3,4,0.28311067819595337
47,3,5,0.1697266697883606
48,3,6,0.22258223593235016
49,3,7,0.2364397794008255
50,3,8,0.227840855717659
51,3,9,0.2216433882713318
52,3,10,0.214496910572052
53,3,11,0.20991607010364532
54,3,12,0.014498231001198292
55,3,13,0.2825579047203064
56,4,0,0.22709205746650696
57,4,1,0.22709205746650696
58,4,2,0.22709205746650696
59,4,3,0.26149165630340576
60,4,4,0.2804648280143738
61,4,5,0.17358386516571045
62,4,6,0.2130342274904251
63,4,7,0.24376633763313293
64,4,8,0.22970454394817352
65,4,9,0.21938858926296234
66,4,10,0.2298417091369629
67,4,11,0.24758635461330414
68,4,12,0.014867013320326805
69,4,13,0.2512052059173584
70,5,0,0.22709205746650696
71,5,1,0.22709205746650696
72,5,2,0.22709205746650696
73,5,3,0.26149165630340576
74,5,4,0.2766624689102173
75,5,5,0.1717602163553238
76,5,6,0.21160034835338593
77,5,7,0.22727279365062714
78,5,8,0.22917327284812927
79,5,9,0.21818174421787262
80,5,10,0.23069126904010773
81,5,11,0.24502073228359222
82,5,12,0.01354191079735756
83,5,13,0.24089202284812927
84,6,0,0.22709205746650696
85,6,1,0.22709205746650696
86,6,2,0.22709205746650696
87,6,3,0.2063058316707611
88,6,4,0.2712181806564331
89,6,5,0.17433229088783264
90,6,6,0.19367821514606476
91,6,7,0.22686465084552765
92,6,8,0.2277795821428299
93,6,9,0.21975602209568024
94,6,10,0.23077324032783508
95,6,11,0.24846656620502472
96,6,12,0.012979958206415176
97,6,13,0.24236415326595306
98,7,0,0.22709205746650696
99,7,1,0.22709205746650696
100,7,2,0.22709205746650696
101,7,3,0.2290504425764084
102,7,4,0.2289024442434311
103,7,5,0.17662949860095978
104,7,6,0.17928452789783478
105,7,7,0.22625526785850525
106,7,8,0.22838309407234192
107,7,9,0.2188856303691864
108,7,10,0.23053865134716034
109,7,11,0.24718518555164337
110,7,12,0.009474079124629498
111,7,13,0.24826975166797638
112,8,0,0.22709205746650696
113,8,1,0.22709205746650696
114,8,2,0.22709205746650696
115,8,3,0.20744778215885162
116,8,4,0.22556175291538239
117,8,5,0.1777583360671997
118,8,6,0.17164859175682068
119,8,7,0.240013986825943
120,8,8,0.2305283397436142
121,8,9,0.21798475086688995
122,8,10,0.2297218143939972
123,8,11,0.24820081889629364
124,8,12,0.009248930960893631
125,8,13,0.253764808177948
126,9,0,0.22709205746650696
127,9,1,0.22709205746650696
128,9,2,0.22709205746650696
129,9,3,0.2361571192741394
130,9,4,0.22164161503314972
131,9,5,0.19562487304210663
132,9,6,0.21398888528347015
133,9,7,0.2548346221446991
134,9,8,0.2298804074525833
135,9,9,0.21573156118392944
136,9,10,0.23460039496421814
137,9,11,0.24937701225280762
138,9,12,0.010551506653428078
139,9,13,0.26539146900177
140,10,0,0.22709205746650696
141,10,1,0.22709205746650696
142,10,2,0.22709205746650696
143,10,3,0.2157992273569107
144,10,4,0.19942128658294678
145,10,5,0.13361985981464386
146,10,6,0.2113603800535202
147,10,7,0.2722715139389038
148,10,8,0.22990013659000397
149,10,9,0.2168308049440384
150,10,10,0.23484723269939423
151,10,11,0.24483893811702728
152,10,12,0.014066334813833237
153,10,13,0.2687993049621582
154,11,0,0.22709205746650696
155,11,1,0.22709205746650696
156,11,2,0.22709205746650696
157,11,3,0.2225755751132965
158,11,4,0.22652556002140045
159,11,5,0.12355589121580124
160,11,6,0.21455511450767517
161,11,7,0.2796233594417572
162,11,8,0.23182228207588196
163,11,9,0.21917615830898285
164,11,10,0.23763346672058105
165,11,11,0.24117408692836761
166,11,12,0.016903258860111237
167,11,13,0.2729910612106323
168,12,0,0.22709205746650696
169,12,1,0.22709205746650696
170,12,2,0.22709205746650696
171,12,3,0.2163987159729004
172,12,4,0.23743142187595367
173,12,5,0.09991120547056198
174,12,6,0.216765359044075
175,12,7,0.28364959359169006
176,12,8,0.22998996078968048
177,12,9,0.22398635745048523
178,12,10,0.24008457362651825
179,12,11,0.24121980369091034
180,12,12,0.04001991078257561
181,12,13,0.27426403760910034
182,13,0,0.22709205746650696
183,13,1,0.22709205746650696
184,13,2,0.22709205746650696
185,13,3,0.21745751798152924
186,13,4,0.3088746666908264
187,13,5,0.1440104842185974
188,13,6,0.1886412352323532
189,13,7,0.28826209902763367
190,13,8,0.23002946376800537
191,13,9,0.22474896907806396
192,13,10,0.23884284496307373
193,13,11,0.23778997361660004
194,13,12,0.1509438008069992
195,13,13,0.27694347500801086
196,14,0,0.22709205746650696
197,14,1,0.22709205746650696
198,14,2,0.22709205746650696
199,14,3,0.21873173117637634
200,14,4,0.34158608317375183
201,14,5,0.14637716114521027
202,14,6,0.1953384131193161
203,14,7,0.2866145670413971
204,14,8,0.23170292377471924
205,14,9,0.22623023390769958
206,14,10,0.2389470785856247
207,14,11,0.23613440990447998
208,14,12,0.19842208921909332
209,14,13,0.2764144837856293
210,15,0,0.22709205746650696
211,15,1,0.22709205746650696
212,15,2,0.22709205746650696
213,15,3,0.21851792931556702
214,15,4,0.31579363346099854
215,15,5,0.1422014832496643
216,15,6,0.19678349792957306
217,15,7,0.29011452198028564
218,15,8,0.23219069838523865
219,15,9,0.22653408348560333
220,15,10,0.23997339606285095
221,15,11,0.23042228817939758
222,15,12,0.22140783071517944
223,15,13,0.2824891209602356
224,16,0,0.22709205746650696
225,16,1,0.22709205746650696
226,16,2,0.22709205746650696
227,16,3,0.21739935874938965
228,16,4,0.29820629954338074
229,16,5,0.13357220590114594
230,16,6,0.19951514899730682
231,16,7,0.2883383631706238
232,16,8,0.2315610647201538
233,16,9,0.22746308147907257
234,16,10,0.24436193704605103
235,16,11,0.2328534722328186
236,16,12,0.22769702970981598
237,16,13,0.26976868510246277
238,17,0,0.22709205746650696
239,17,1,0.22709205746650696
240,17,2,0.22709205746650696
241,17,3,0.21879880130290985
242,17,4,0.2836694121360779
243,17,5,0.13852466642856598
244,17,6,0.2063225954771042
245,17,7,0.28386029601097107
246,17,8,0.2305929958820343
247,17,9,0.22805345058441162
248,17,10,0.24442479014396667
249,17,11,0.2340165227651596
250,17,12,0.23740138113498688
