,layer,pos,prob
0,0,0,0.22709205746650696
1,0,1,0.22709205746650696
2,0,2,0.22709205746650696
3,0,3,0.2754507064819336
4,0,4,0.27491575479507446
5,0,5,0.1407778561115265
6,0,6,0.20618410408496857
7,0,7,0.23775266110897064
8,0,8,0.22617703676223755
9,0,9,0.23135827481746674
10,0,10,0.22506961226463318
11,0,11,0.22964473068714142
12,0,12,0.17680688202381134
13,0,13,0.22416523098945618
14,1,0,0.22709205746650696
15,1,1,0.22709205746650696
16,1,2,0.22709205746650696
17,1,3,0.27183645963668823
18,1,4,0.271914541721344
19,1,5,0.11720243096351624
20,1,6,0.2054775208234787
21,1,7,0.22269348800182343
22,1,8,0.2256825566291809
23,1,9,0.23124511539936066
24,1,10,0.22781451046466827
25,1,11,0.22905714809894562
26,1,12,0.17709597945213318
27,1,13,0.09499017894268036
28,2,0,0.22709205746650696
29,2,1,0.22709205746650696
30,2,2,0.22709205746650696
31,2,3,0.27338162064552307
32,2,4,0.27681270241737366
33,2,5,0.10061038285493851
34,2,6,0.19636841118335724
35,2,7,0.21270835399627686
36,2,8,0.2188112437725067
37,2,9,0.23127181828022003
38,2,10,0.2269008755683899
39,2,11,0.22292695939540863
40,2,12,0.21224786341190338
41,2,13,0.013537564314901829
42,3,0,0.22709205746650696
43,3,1,0.22709205746650696
44,3,2,0.22709205746650696
45,3,3,0.2735162377357483
46,3,4,0.274149626493454
47,3,5,0.11916325241327286
48,3,6,0.1826159954071045
49,3,7,0.18678119778633118
50,3,8,0.20607416331768036
51,3,9,0.23018530011177063
52,3,10,0.2291293740272522
53,3,11,0.18612262606620789
54,3,12,0.24879199266433716
55,3,13,0.08050521463155746
56,4,0,0.22709205746650696
57,4,1,0.22709205746650696
58,4,2,0.22709205746650696
59,4,3,0.2727157175540924
60,4,4,0.2678911089897156
61,4,5,0.12129976600408554
62,4,6,0.17819584906101227
63,4,7,0.18265892565250397
64,4,8,0.20165830850601196
65,4,9,0.22945915162563324
66,4,10,0.2289711982011795
67,4,11,0.18430158495903015
68,4,12,0.23314237594604492
69,4,13,0.0793268233537674
70,5,0,0.22709205746650696
71,5,1,0.22709205746650696
72,5,2,0.22709205746650696
73,5,3,0.27281707525253296
74,5,4,0.2753896415233612
75,5,5,0.12076588720083237
76,5,6,0.18131564557552338
77,5,7,0.1317104697227478
78,5,8,0.19254463911056519
79,5,9,0.22593314945697784
80,5,10,0.23055730760097504
81,5,11,0.17941690981388092
82,5,12,0.21931813657283783
83,5,13,0.17149026691913605
84,6,0,0.22709205746650696
85,6,1,0.22709205746650696
86,6,2,0.22709205746650696
87,6,3,0.19950538873672485
88,6,4,0.21931426227092743
89,6,5,0.16033227741718292
90,6,6,0.19205370545387268
91,6,7,0.15706802904605865
92,6,8,0.19273903965950012
93,6,9,0.2284873127937317
94,6,10,0.2311149388551712
95,6,11,0.17679773271083832
96,6,12,0.22140511870384216
97,6,13,0.14011357724666595
98,7,0,0.22709205746650696
99,7,1,0.22709205746650696
100,7,2,0.22709205746650696
101,7,3,0.29526856541633606
102,7,4,0.22089658677577972
103,7,5,0.08584104478359222
104,7,6,0.18579567968845367
105,7,7,0.1552346646785736
106,7,8,0.1816023588180542
107,7,9,0.22571443021297455
108,7,10,0.23166386783123016
109,7,11,0.18662890791893005
110,7,12,0.22820669412612915
111,7,13,0.18486282229423523
112,8,0,0.22709205746650696
113,8,1,0.22709205746650696
114,8,2,0.22709205746650696
115,8,3,0.223374143242836
116,8,4,0.20281477272510529
117,8,5,0.0608995221555233
118,8,6,0.19486470520496368
119,8,7,0.13266995549201965
120,8,8,0.17018218338489532
121,8,9,0.2214093804359436
122,8,10,0.2309170365333557
123,8,11,0.19360215961933136
124,8,12,0.22344224154949188
125,8,13,0.21017779409885406
126,9,0,0.22709205746650696
127,9,1,0.22709205746650696
128,9,2,0.22709205746650696
129,9,3,0.22676914930343628
130,9,4,0.212208554148674
131,9,5,0.12631118297576904
132,9,6,0.1951291561126709
133,9,7,0.15934497117996216
134,9,8,0.17292901873588562
135,9,9,0.2146797925233841
136,9,10,0.22851939499378204
137,9,11,0.1890529990196228
138,9,12,0.19905182719230652
139,9,13,0.205925852060318
140,10,0,0.22709205746650696
141,10,1,0.22709205746650696
142,10,2,0.22709205746650696
143,10,3,0.2063107043504715
144,10,4,0.2017940729856491
145,10,5,0.13766179978847504
146,10,6,0.2584005296230316
147,10,7,0.15017452836036682
148,10,8,0.16688214242458344
149,10,9,0.21055051684379578
150,10,10,0.2197096198797226
151,10,11,0.1827346831560135
152,10,12,0.19292405247688293
153,10,13,0.2254500389099121
154,11,0,0.22709205746650696
155,11,1,0.22709205746650696
156,11,2,0.22709205746650696
157,11,3,0.2226865589618683
158,11,4,0.2054646760225296
159,11,5,0.1319362372159958
160,11,6,0.2623576521873474
161,11,7,0.10648966580629349
162,11,8,0.1679147332906723
163,11,9,0.21045169234275818
164,11,10,0.20292408764362335
165,11,11,0.15570473670959473
166,11,12,0.20343902707099915
167,11,13,0.23014384508132935
168,12,0,0.22709205746650696
169,12,1,0.22709205746650696
170,12,2,0.22709205746650696
171,12,3,0.2321104258298874
172,12,4,0.0024022096768021584
173,12,5,0.1500602513551712
174,12,6,0.22737355530261993
175,12,7,0.13271893560886383
176,12,8,0.18502935767173767
177,12,9,0.2099878489971161
178,12,10,0.2013256996870041
179,12,11,0.18558460474014282
180,12,12,0.1828954815864563
181,12,13,0.21842215955257416
182,13,0,0.22709205746650696
183,13,1,0.22709205746650696
184,13,2,0.22709205746650696
185,13,3,0.2379336804151535
186,13,4,0.00033799049560911953
187,13,5,0.15381832420825958
188,13,6,0.20271489024162292
189,13,7,0.13197776675224304
190,13,8,0.18137019872665405
191,13,9,0.21429204940795898
192,13,10,0.21229788661003113
193,13,11,0.2094639241695404
194,13,12,0.16254569590091705
195,13,13,0.19861894845962524
196,14,0,0.22709205746650696
197,14,1,0.22709205746650696
198,14,2,0.22709205746650696
199,14,3,0.2320755422115326
200,14,4,0.005043163429945707
201,14,5,0.1629168689250946
202,14,6,0.19990678131580353
203,14,7,0.1303090751171112
204,14,8,0.17988412082195282
205,14,9,0.21540752053260803
206,14,10,0.21299844980239868
207,14,11,0.1991771012544632
208,14,12,0.18737074732780457
209,14,13,0.1220930889248848
210,15,0,0.22709205746650696
211,15,1,0.22709205746650696
212,15,2,0.22709205746650696
213,15,3,0.2244638204574585
214,15,4,0.018265660852193832
215,15,5,0.16049455106258392
216,15,6,0.2163887321949005
217,15,7,0.150117427110672
218,15,8,0.19045256078243256
219,15,9,0.22227253019809723
220,15,10,0.2149803191423416
221,15,11,0.21537145972251892
222,15,12,0.2211000621318817
223,15,13,0.04375385493040085
224,16,0,0.22709205746650696
225,16,1,0.22709205746650696
226,16,2,0.22709205746650696
227,16,3,0.22796770930290222
228,16,4,0.14741890132427216
229,16,5,0.17392206192016602
230,16,6,0.20325668156147003
231,16,7,0.16163577139377594
232,16,8,0.19693639874458313
233,16,9,0.22330303490161896
234,16,10,0.22512099146842957
235,16,11,0.22553181648254395
236,16,12,0.22383920848369598
237,16,13,0.15413440763950348
238,17,0,0.22709205746650696
239,17,1,0.22709205746650696
240,17,2,0.22709205746650696
241,17,3,0.22682543098926544
242,17,4,0.20922477543354034
243,17,5,0.18626566231250763
244,17,6,0.1869969218969345
245,17,7,0.17462824285030365
246,17,8,0.21210071444511414
247,17,9,0.22604574263095856
248,17,10,0.23031124472618103
249,17,11,0.22593556344509125
250,17,12,0.2184542864561081
