,layer,pos,prob
0,0,0,0.21060585975646973
1,0,1,0.21060585975646973
2,0,2,0.21060585975646973
3,0,3,0.11814479529857635
4,0,4,0.22634795308113098
5,0,5,0.2168106585741043
6,0,6,0.21443943679332733
7,0,7,0.20820875465869904
8,0,8,0.2109912633895874
9,0,9,0.2112034559249878
10,0,10,0.20777641236782074
11,0,11,0.20760777592658997
12,0,12,0.21269910037517548
13,1,0,0.21060585975646973
14,1,1,0.21060585975646973
15,1,2,0.21060585975646973
16,1,3,0.11814479529857635
17,1,4,0.22874431312084198
18,1,5,0.2184900939464569
19,1,6,0.21505655348300934
20,1,7,0.20817074179649353
21,1,8,0.21483927965164185
22,1,9,0.2105119824409485
23,1,10,0.20832140743732452
24,1,11,0.20663976669311523
25,1,12,0.21282082796096802
26,2,0,0.21060585975646973
27,2,1,0.21060585975646973
28,2,2,0.21060585975646973
29,2,3,0.11814479529857635
30,2,4,0.2004389762878418
31,2,5,0.22138462960720062
32,2,6,0.2119370847940445
33,2,7,0.2063988596200943
34,2,8,0.21320949494838715
35,2,9,0.21154022216796875
36,2,10,0.20816640555858612
37,2,11,0.2053745836019516
38,2,12,0.21260987222194672
39,3,0,0.21060585975646973
40,3,1,0.21060585975646973
41,3,2,0.21060585975646973
42,3,3,0.11814479529857635
43,3,4,0.19216813147068024
44,3,5,0.22169649600982666
45,3,6,0.21004155278205872
46,3,7,0.20392227172851562
47,3,8,0.2102043479681015
48,3,9,0.21016909182071686
49,3,10,0.20800425112247467
50,3,11,0.20460592210292816
51,3,12,0.21522100269794464
52,4,0,0.21060585975646973
53,4,1,0.21060585975646973
54,4,2,0.21060585975646973
55,4,3,0.11814479529857635
56,4,4,0.19159384071826935
57,4,5,0.21548786759376526
58,4,6,0.21030309796333313
59,4,7,0.20391279458999634
60,4,8,0.20723707973957062
61,4,9,0.21406039595603943
62,4,10,0.2058076560497284
63,4,11,0.2031068652868271
64,4,12,0.21789003908634186
65,5,0,0.21060585975646973
66,5,1,0.21060585975646973
67,5,2,0.21060585975646973
68,5,3,0.11814479529857635
69,5,4,0.18459804356098175
70,5,5,0.20900389552116394
71,5,6,0.20989704132080078
72,5,7,0.21187736093997955
73,5,8,0.2044757902622223
74,5,9,0.21479785442352295
75,5,10,0.20635375380516052
76,5,11,0.20337635278701782
77,5,12,0.21531713008880615
78,6,0,0.21060585975646973
79,6,1,0.21060585975646973
80,6,2,0.21060585975646973
81,6,3,0.11450868099927902
82,6,4,0.18614846467971802
83,6,5,0.2055063396692276
84,6,6,0.2091977596282959
85,6,7,0.21558143198490143
86,6,8,0.20328952372074127
87,6,9,0.21511299908161163
88,6,10,0.2060178518295288
89,6,11,0.20366999506950378
90,6,12,0.21411265432834625
91,7,0,0.21060585975646973
92,7,1,0.21060585975646973
93,7,2,0.21060585975646973
94,7,3,0.11897755414247513
95,7,4,0.19837652146816254
96,7,5,0.21075932681560516
97,7,6,0.2042822241783142
98,7,7,0.21351012587547302
99,7,8,0.20234106481075287
100,7,9,0.2150234878063202
101,7,10,0.20853689312934875
102,7,11,0.2034311443567276
103,7,12,0.20937605202198029
104,8,0,0.21060585975646973
105,8,1,0.21060585975646973
106,8,2,0.21060585975646973
107,8,3,0.12685799598693848
108,8,4,0.20096521079540253
109,8,5,0.2086116075515747
110,8,6,0.20156611502170563
111,8,7,0.2148568481206894
112,8,8,0.20103295147418976
113,8,9,0.21554040908813477
114,8,10,0.2088162750005722
115,8,11,0.2023267298936844
116,8,12,0.21049340069293976
117,9,0,0.21060585975646973
118,9,1,0.21060585975646973
119,9,2,0.21060585975646973
120,9,3,0.12832525372505188
121,9,4,0.19679471850395203
122,9,5,0.20860296487808228
123,9,6,0.19499847292900085
124,9,7,0.21087943017482758
125,9,8,0.2002427726984024
126,9,9,0.21649666130542755
127,9,10,0.2085963785648346
128,9,11,0.20196287333965302
129,9,12,0.20802025496959686
130,10,0,0.21060585975646973
131,10,1,0.21060585975646973
132,10,2,0.21060585975646973
133,10,3,0.12702886760234833
134,10,4,0.1931862235069275
135,10,5,0.19493506848812103
136,10,6,0.1937028467655182
137,10,7,0.2101680487394333
138,10,8,0.19745630025863647
139,10,9,0.21455463767051697
140,10,10,0.20871159434318542
141,10,11,0.20372331142425537
142,10,12,0.20472434163093567
143,11,0,0.21060585975646973
144,11,1,0.21060585975646973
145,11,2,0.21060585975646973
146,11,3,0.1478632539510727
147,11,4,0.18181568384170532
148,11,5,0.1892068088054657
149,11,6,0.19837026298046112
150,11,7,0.21364536881446838
151,11,8,0.2003760039806366
152,11,9,0.2167680561542511
153,11,10,0.20711807906627655
154,11,11,0.20470508933067322
