,layer,pos,prob
0,0,0,0.21060585975646973
1,0,1,0.21060585975646973
2,0,2,0.21060585975646973
3,0,3,0.11923709511756897
4,0,4,0.20794177055358887
5,0,5,0.2100297510623932
6,0,6,0.2157198041677475
7,0,7,0.20993691682815552
8,0,8,0.21212054789066315
9,0,9,0.2096729725599289
10,0,10,0.2079821676015854
11,0,11,0.20904947817325592
12,0,12,0.21056103706359863
13,1,0,0.21060585975646973
14,1,1,0.21060585975646973
15,1,2,0.21060585975646973
16,1,3,0.11942088603973389
17,1,4,0.20843055844306946
18,1,5,0.20716087520122528
19,1,6,0.22005696594715118
20,1,7,0.20969794690608978
21,1,8,0.21612548828125
22,1,9,0.20872513949871063
23,1,10,0.20790451765060425
24,1,11,0.2089676856994629
25,1,12,0.20809991657733917
26,2,0,0.21060585975646973
27,2,1,0.21060585975646973
28,2,2,0.21060585975646973
29,2,3,0.11948354542255402
30,2,4,0.19068872928619385
31,2,5,0.20882490277290344
32,2,6,0.2157035768032074
33,2,7,0.20999613404273987
34,2,8,0.2198476493358612
35,2,9,0.20886972546577454
36,2,10,0.2074873298406601
37,2,11,0.21017076075077057
38,2,12,0.20880629122257233
39,3,0,0.21060585975646973
40,3,1,0.21060585975646973
41,3,2,0.21060585975646973
42,3,3,0.11935233324766159
43,3,4,0.18326710164546967
44,3,5,0.2072436362504959
45,3,6,0.21346233785152435
46,3,7,0.20856152474880219
47,3,8,0.22244831919670105
48,3,9,0.21074986457824707
49,3,10,0.20879988372325897
50,3,11,0.20709994435310364
51,3,12,0.20693980157375336
52,4,0,0.21060585975646973
53,4,1,0.21060585975646973
54,4,2,0.21060585975646973
55,4,3,0.11911221593618393
56,4,4,0.19410142302513123
57,4,5,0.20451566576957703
58,4,6,0.20394457876682281
59,4,7,0.20859695971012115
60,4,8,0.22254295647144318
61,4,9,0.2130010426044464
62,4,10,0.20897401869297028
63,4,11,0.21011292934417725
64,4,12,0.2056126594543457
65,5,0,0.21060585975646973
66,5,1,0.21060585975646973
67,5,2,0.21060585975646973
68,5,3,0.11928026378154755
69,5,4,0.18168164789676666
70,5,5,0.20148274302482605
71,5,6,0.21001599729061127
72,5,7,0.21128572523593903
73,5,8,0.22293107211589813
74,5,9,0.21493777632713318
75,5,10,0.2063782960176468
76,5,11,0.2093246579170227
77,5,12,0.2073478251695633
78,6,0,0.21060585975646973
79,6,1,0.21060585975646973
80,6,2,0.21060585975646973
81,6,3,0.1459595113992691
82,6,4,0.19140908122062683
83,6,5,0.20779237151145935
84,6,6,0.2149295061826706
85,6,7,0.21490469574928284
86,6,8,0.2226257473230362
87,6,9,0.21749992668628693
88,6,10,0.20831795036792755
89,6,11,0.20898757874965668
90,6,12,0.2070448398590088
91,7,0,0.21060585975646973
92,7,1,0.21060585975646973
93,7,2,0.21060585975646973
94,7,3,0.1305919736623764
95,7,4,0.1643199324607849
96,7,5,0.20588107407093048
97,7,6,0.2053522914648056
98,7,7,0.2097536027431488
99,7,8,0.21600553393363953
100,7,9,0.21414530277252197
101,7,10,0.20416271686553955
102,7,11,0.20968882739543915
103,7,12,0.2099548727273941
104,8,0,0.21060585975646973
105,8,1,0.21060585975646973
106,8,2,0.21060585975646973
107,8,3,0.09838388860225677
108,8,4,0.16146978735923767
109,8,5,0.20108477771282196
110,8,6,0.20470073819160461
111,8,7,0.20820483565330505
112,8,8,0.21376416087150574
113,8,9,0.2118145078420639
114,8,10,0.21121104061603546
115,8,11,0.20495818555355072
116,8,12,0.20652112364768982
117,9,0,0.21060585975646973
118,9,1,0.21060585975646973
119,9,2,0.21060585975646973
120,9,3,0.1301879584789276
121,9,4,0.1624710112810135
122,9,5,0.20231378078460693
123,9,6,0.19484344124794006
124,9,7,0.2023140788078308
125,9,8,0.20943978428840637
126,9,9,0.21138247847557068
127,9,10,0.2110590934753418
128,9,11,0.20108480751514435
129,9,12,0.20870159566402435
130,10,0,0.21060585975646973
131,10,1,0.21060585975646973
132,10,2,0.21060585975646973
133,10,3,0.11874654144048691
134,10,4,0.14661994576454163
135,10,5,0.18701951205730438
136,10,6,0.19206885993480682
137,10,7,0.20466241240501404
138,10,8,0.20347487926483154
139,10,9,0.21377244591712952
140,10,10,0.21268251538276672
141,10,11,0.2054286003112793
142,10,12,0.20500950515270233
143,11,0,0.21060585975646973
144,11,1,0.21060585975646973
145,11,2,0.21060585975646973
146,11,3,0.10557015240192413
147,11,4,0.17131203413009644
148,11,5,0.18478479981422424
149,11,6,0.1921169012784958
150,11,7,0.20543859899044037
151,11,8,0.20587347447872162
152,11,9,0.21380487084388733
153,11,10,0.21449781954288483
154,11,11,0.20887050032615662
