,layer,pos,prob
0,0,0,0.2869948148727417
1,0,1,0.2869948148727417
2,0,2,0.2869948148727417
3,0,3,0.2513321042060852
4,0,4,0.29081347584724426
5,0,5,0.2853225767612457
6,0,6,0.28969985246658325
7,0,7,0.28664693236351013
8,0,8,0.3029572665691376
9,0,9,0.29261884093284607
10,0,10,0.2870142161846161
11,0,11,0.2875331938266754
12,0,12,0.2885777950286865
13,1,0,0.2869948148727417
14,1,1,0.2869948148727417
15,1,2,0.2869948148727417
16,1,3,0.2513321042060852
17,1,4,0.2922121584415436
18,1,5,0.2864508032798767
19,1,6,0.2907632887363434
20,1,7,0.287352591753006
21,1,8,0.3047035336494446
22,1,9,0.2918297350406647
23,1,10,0.2865219712257385
24,1,11,0.287636399269104
25,1,12,0.28848427534103394
26,2,0,0.2869948148727417
27,2,1,0.2869948148727417
28,2,2,0.2869948148727417
29,2,3,0.2513321042060852
30,2,4,0.28871747851371765
31,2,5,0.2863745093345642
32,2,6,0.2899555265903473
33,2,7,0.2877940535545349
34,2,8,0.3041398823261261
35,2,9,0.29031190276145935
36,2,10,0.28609174489974976
37,2,11,0.28757819533348083
38,2,12,0.28787651658058167
39,3,0,0.2869948148727417
40,3,1,0.2869948148727417
41,3,2,0.2869948148727417
42,3,3,0.2513321042060852
43,3,4,0.28447577357292175
44,3,5,0.2865713834762573
45,3,6,0.288139671087265
46,3,7,0.28786700963974
47,3,8,0.3041442334651947
48,3,9,0.29041334986686707
49,3,10,0.2862280607223511
50,3,11,0.2881508767604828
51,3,12,0.290242075920105
52,4,0,0.2869948148727417
53,4,1,0.2869948148727417
54,4,2,0.2869948148727417
55,4,3,0.2513321042060852
56,4,4,0.28165706992149353
57,4,5,0.28437933325767517
58,4,6,0.28831130266189575
59,4,7,0.2884483337402344
60,4,8,0.30333876609802246
61,4,9,0.2906382977962494
62,4,10,0.28457483649253845
63,4,11,0.28741466999053955
64,4,12,0.290113627910614
65,5,0,0.2869948148727417
66,5,1,0.2869948148727417
67,5,2,0.2869948148727417
68,5,3,0.2513321042060852
69,5,4,0.2813665568828583
70,5,5,0.2801162898540497
71,5,6,0.28927239775657654
72,5,7,0.2904595732688904
73,5,8,0.30320605635643005
74,5,9,0.29203277826309204
75,5,10,0.2858465909957886
76,5,11,0.2875659167766571
77,5,12,0.29037851095199585
78,6,0,0.2869948148727417
79,6,1,0.2869948148727417
80,6,2,0.2869948148727417
81,6,3,0.2527642250061035
82,6,4,0.2821756601333618
83,6,5,0.28032925724983215
84,6,6,0.28728702664375305
85,6,7,0.2904936373233795
86,6,8,0.301937460899353
87,6,9,0.29143741726875305
88,6,10,0.2856646180152893
89,6,11,0.2871810495853424
90,6,12,0.29002994298934937
91,7,0,0.2869948148727417
92,7,1,0.2869948148727417
93,7,2,0.2869948148727417
94,7,3,0.25406503677368164
95,7,4,0.28559526801109314
96,7,5,0.2845216691493988
97,7,6,0.28453773260116577
98,7,7,0.29020071029663086
99,7,8,0.30129069089889526
100,7,9,0.290485143661499
101,7,10,0.2852652072906494
102,7,11,0.2866237163543701
103,7,12,0.2881743013858795
104,8,0,0.2869948148727417
105,8,1,0.2869948148727417
106,8,2,0.2869948148727417
107,8,3,0.2543184459209442
108,8,4,0.2848029136657715
109,8,5,0.28515151143074036
110,8,6,0.2851305305957794
111,8,7,0.29062309861183167
112,8,8,0.30130934715270996
113,8,9,0.29205477237701416
114,8,10,0.2857849597930908
115,8,11,0.2868514060974121
116,8,12,0.2897505760192871
117,9,0,0.2869948148727417
118,9,1,0.2869948148727417
119,9,2,0.2869948148727417
120,9,3,0.2548198997974396
121,9,4,0.2809218466281891
122,9,5,0.2845219075679779
123,9,6,0.2838282585144043
124,9,7,0.2921297550201416
125,9,8,0.3013468384742737
126,9,9,0.28978705406188965
127,9,10,0.2863932251930237
128,9,11,0.2871052026748657
129,9,12,0.2898321747779846
130,10,0,0.2869948148727417
131,10,1,0.2869948148727417
132,10,2,0.2869948148727417
133,10,3,0.25415506958961487
134,10,4,0.2780684530735016
135,10,5,0.2876741588115692
136,10,6,0.28589481115341187
137,10,7,0.2975430190563202
138,10,8,0.3019057810306549
139,10,9,0.28978216648101807
140,10,10,0.28618815541267395
141,10,11,0.28815773129463196
142,10,12,0.28788062930107117
143,11,0,0.2869948148727417
144,11,1,0.2869948148727417
145,11,2,0.2869948148727417
146,11,3,0.25931549072265625
147,11,4,0.27782073616981506
148,11,5,0.2889394462108612
149,11,6,0.2874760925769806
150,11,7,0.30002638697624207
151,11,8,0.3037528693675995
152,11,9,0.28961703181266785
153,11,10,0.28853604197502136
154,11,11,0.2887006103992462
155,11,12,0.2889484167098999
156,12,0,0.2869948148727417
157,12,1,0.2869948148727417
158,12,2,0.2869948148727417
159,12,3,0.2600041627883911
160,12,4,0.27320003509521484
161,12,5,0.29017379879951477
162,12,6,0.29067906737327576
163,12,7,0.2995263338088989
164,12,8,0.3079267740249634
165,12,9,0.2916472852230072
166,12,10,0.28973454236984253
167,12,11,0.2881772220134735
168,12,12,0.2902255654335022
169,13,0,0.2869948148727417
170,13,1,0.2869948148727417
171,13,2,0.2869948148727417
172,13,3,0.26064354181289673
173,13,4,0.27359360456466675
174,13,5,0.290652871131897
175,13,6,0.2910003066062927
176,13,7,0.30329588055610657
177,13,8,0.3092787563800812
178,13,9,0.29334428906440735
179,13,10,0.2914074957370758
180,13,11,0.2872650623321533
181,13,12,0.28886401653289795
182,14,0,0.2869948148727417
183,14,1,0.2869948148727417
184,14,2,0.2869948148727417
185,14,3,0.2546688914299011
186,14,4,0.2740510106086731
187,14,5,0.2905818521976471
188,14,6,0.29437538981437683
189,14,7,0.30472132563591003
190,14,8,0.30733150243759155
191,14,9,0.29408738017082214
192,14,10,0.29373854398727417
193,14,11,0.2864718437194824
194,14,12,0.28629618883132935
195,15,0,0.2869948148727417
196,15,1,0.2869948148727417
197,15,2,0.2869948148727417
198,15,3,0.25105372071266174
199,15,4,0.2690207362174988
200,15,5,0.2902083098888397
201,15,6,0.2936389148235321
202,15,7,0.30490654706954956
203,15,8,0.3089795708656311
204,15,9,0.29566073417663574
205,15,10,0.29605832695961
206,15,11,0.2862362265586853
207,15,12,0.2939266860485077
208,16,0,0.2869948148727417
209,16,1,0.2869948148727417
210,16,2,0.2869948148727417
211,16,3,0.24529364705085754
212,16,4,0.27005288004875183
213,16,5,0.291565865278244
214,16,6,0.29520198702812195
215,16,7,0.30537083745002747
216,16,8,0.30768030881881714
217,16,9,0.2962679862976074
218,16,10,0.29791826009750366
219,16,11,0.2866972088813782
220,16,12,0.29190507531166077
221,17,0,0.2869948148727417
222,17,1,0.2869948148727417
223,17,2,0.2869948148727417
224,17,3,0.2401142120361328
225,17,4,0.2651689946651459
226,17,5,0.2905276119709015
227,17,6,0.29393041133880615
228,17,7,0.30603763461112976
229,17,8,0.3060813248157501
230,17,9,0.29584455490112305
231,17,10,0.29799413681030273
232,17,11,0.2855820655822754
233,17,12,0.29561150074005127
234,18,0,0.2869948148727417
235,18,1,0.2869948148727417
236,18,2,0.2869948148727417
237,18,3,0.24132001399993896
238,18,4,0.2660127282142639
239,18,5,0.28951990604400635
240,18,6,0.29180067777633667
241,18,7,0.30496159195899963
242,18,8,0.3068128526210785
243,18,9,0.2961278259754181
244,18,10,0.2960425019264221
245,18,11,0.28484874963760376
246,18,12,0.29062458872795105
247,19,0,0.2869948148727417
248,19,1,0.2869948148727417
249,19,2,0.2869948148727417
250,19,3,0.2361260950565338
251,19,4,0.2645547688007355
252,19,5,0.2885614335536957
253,19,6,0.28995776176452637
254,19,7,0.3035431206226349
255,19,8,0.3059350550174713
256,19,9,0.29613250494003296
257,19,10,0.2951418161392212
258,19,11,0.28490886092185974
259,19,12,0.29012489318847656
260,20,0,0.2869948148727417
261,20,1,0.2869948148727417
262,20,2,0.2869948148727417
263,20,3,0.2323712557554245
264,20,4,0.2667883038520813
265,20,5,0.2889064848423004
266,20,6,0.2885529398918152
267,20,7,0.30359819531440735
