,layer,pos,prob
0,0,0,0.2869948148727417
1,0,1,0.2869948148727417
2,0,2,0.2869948148727417
3,0,3,0.2502825856208801
4,0,4,0.28282585740089417
5,0,5,0.28558382391929626
6,0,6,0.2852735221385956
7,0,7,0.2879381775856018
8,0,8,0.29939937591552734
9,0,9,0.29116353392601013
10,0,10,0.2859632968902588
11,0,11,0.28641971945762634
12,0,12,0.2880200445652008
13,1,0,0.2869948148727417
14,1,1,0.2869948148727417
15,1,2,0.2869948148727417
16,1,3,0.250758558511734
17,1,4,0.2846691310405731
18,1,5,0.28574252128601074
19,1,6,0.2852473855018616
20,1,7,0.287941038608551
21,1,8,0.3007987141609192
22,1,9,0.29178330302238464
23,1,10,0.2854008972644806
24,1,11,0.28778180480003357
25,1,12,0.2881874144077301
26,2,0,0.2869948148727417
27,2,1,0.2869948148727417
28,2,2,0.2869948148727417
29,2,3,0.2507985532283783
30,2,4,0.28695806860923767
31,2,5,0.2860141694545746
32,2,6,0.2858201265335083
33,2,7,0.28876054286956787
34,2,8,0.30397629737854004
35,2,9,0.2912810742855072
36,2,10,0.2854344844818115
37,2,11,0.2879246175289154
38,2,12,0.2878815233707428
39,3,0,0.2869948148727417
40,3,1,0.2869948148727417
41,3,2,0.2869948148727417
42,3,3,0.2507123649120331
43,3,4,0.28685909509658813
44,3,5,0.2856900691986084
45,3,6,0.2864300310611725
46,3,7,0.2858707904815674
47,3,8,0.3060011565685272
48,3,9,0.2924887239933014
49,3,10,0.2844671607017517
50,3,11,0.28855735063552856
51,3,12,0.2874700725078583
52,4,0,0.2869948148727417
53,4,1,0.2869948148727417
54,4,2,0.2869948148727417
55,4,3,0.2508854866027832
56,4,4,0.28168994188308716
57,4,5,0.2863011360168457
58,4,6,0.2850062847137451
59,4,7,0.2844911217689514
60,4,8,0.3042795658111572
61,4,9,0.2922351658344269
62,4,10,0.28293195366859436
63,4,11,0.29179975390434265
64,4,12,0.2888980805873871
65,5,0,0.2869948148727417
66,5,1,0.2869948148727417
67,5,2,0.2869948148727417
68,5,3,0.2510937452316284
69,5,4,0.2793184220790863
70,5,5,0.2859334945678711
71,5,6,0.2887043356895447
72,5,7,0.2883254587650299
73,5,8,0.30593931674957275
74,5,9,0.2932332754135132
75,5,10,0.2818664312362671
76,5,11,0.29215601086616516
77,5,12,0.2905515432357788
78,6,0,0.2869948148727417
79,6,1,0.2869948148727417
80,6,2,0.2869948148727417
81,6,3,0.26420727372169495
82,6,4,0.2807445228099823
83,6,5,0.2868437170982361
84,6,6,0.28939858078956604
85,6,7,0.2893579602241516
86,6,8,0.30553531646728516
87,6,9,0.2924737334251404
88,6,10,0.28162309527397156
89,6,11,0.2925010025501251
90,6,12,0.28889429569244385
91,7,0,0.2869948148727417
92,7,1,0.2869948148727417
93,7,2,0.2869948148727417
94,7,3,0.27769801020622253
95,7,4,0.2837289571762085
96,7,5,0.2882857322692871
97,7,6,0.2901952266693115
98,7,7,0.2929430305957794
99,7,8,0.30100661516189575
100,7,9,0.2900037169456482
101,7,10,0.279788613319397
102,7,11,0.2921162247657776
103,7,12,0.2892610728740692
104,8,0,0.2869948148727417
105,8,1,0.2869948148727417
106,8,2,0.2869948148727417
107,8,3,0.23850713670253754
108,8,4,0.2878597378730774
109,8,5,0.29261720180511475
110,8,6,0.29165107011795044
111,8,7,0.2912416458129883
112,8,8,0.2991369366645813
113,8,9,0.2895773649215698
114,8,10,0.28201159834861755
115,8,11,0.2909558415412903
116,8,12,0.2866073250770569
117,9,0,0.2869948148727417
118,9,1,0.2869948148727417
119,9,2,0.2869948148727417
120,9,3,0.2159574031829834
121,9,4,0.284726083278656
122,9,5,0.2929627597332001
123,9,6,0.29215100407600403
124,9,7,0.2901519536972046
125,9,8,0.2983359694480896
126,9,9,0.28849515318870544
127,9,10,0.28241783380508423
128,9,11,0.29039815068244934
129,9,12,0.28745755553245544
130,10,0,0.2869948148727417
131,10,1,0.2869948148727417
132,10,2,0.2869948148727417
133,10,3,0.22320665419101715
134,10,4,0.28135499358177185
135,10,5,0.28941231966018677
136,10,6,0.2885285019874573
137,10,7,0.2934948205947876
138,10,8,0.2963860034942627
139,10,9,0.28852003812789917
140,10,10,0.28419458866119385
141,10,11,0.2901060879230499
142,10,12,0.28531473875045776
143,11,0,0.2869948148727417
144,11,1,0.2869948148727417
145,11,2,0.2869948148727417
146,11,3,0.19181810319423676
147,11,4,0.2862769365310669
148,11,5,0.28892746567726135
149,11,6,0.29088664054870605
150,11,7,0.29332852363586426
151,11,8,0.29068589210510254
152,11,9,0.28485193848609924
153,11,10,0.2826870083808899
154,11,11,0.28966328501701355
155,11,12,0.28799280524253845
156,12,0,0.2869948148727417
157,12,1,0.2869948148727417
158,12,2,0.2869948148727417
159,12,3,0.20113500952720642
160,12,4,0.2931903600692749
161,12,5,0.28588733077049255
162,12,6,0.29311782121658325
163,12,7,0.29232504963874817
164,12,8,0.2895476520061493
165,12,9,0.2873772978782654
166,12,10,0.2841432988643646
167,12,11,0.289082407951355
168,12,12,0.2885173261165619
169,13,0,0.2869948148727417
170,13,1,0.2869948148727417
171,13,2,0.2869948148727417
172,13,3,0.18139316141605377
173,13,4,0.2831299602985382
174,13,5,0.27703580260276794
175,13,6,0.2849346697330475
176,13,7,0.29306119680404663
177,13,8,0.28624287247657776
178,13,9,0.2867298424243927
179,13,10,0.28656241297721863
180,13,11,0.29004964232444763
181,13,12,0.28989937901496887
182,14,0,0.2869948148727417
183,14,1,0.2869948148727417
184,14,2,0.2869948148727417
185,14,3,0.22975127398967743
186,14,4,0.27661648392677307
187,14,5,0.28094106912612915
188,14,6,0.2851232588291168
189,14,7,0.29584088921546936
190,14,8,0.28586339950561523
191,14,9,0.2853311598300934
192,14,10,0.2820988893508911
193,14,11,0.28829777240753174
194,14,12,0.2815839648246765
195,15,0,0.2869948148727417
196,15,1,0.2869948148727417
197,15,2,0.2869948148727417
198,15,3,0.21328383684158325
199,15,4,0.2673496901988983
200,15,5,0.2831271290779114
201,15,6,0.2848169505596161
202,15,7,0.2941783368587494
203,15,8,0.28169432282447815
204,15,9,0.28441089391708374
205,15,10,0.28382566571235657
206,15,11,0.2884020209312439
207,15,12,0.2859938442707062
208,16,0,0.2869948148727417
209,16,1,0.2869948148727417
210,16,2,0.2869948148727417
211,16,3,0.21463920176029205
212,16,4,0.2634027600288391
213,16,5,0.27932900190353394
214,16,6,0.28706037998199463
215,16,7,0.29442188143730164
216,16,8,0.2813415825366974
217,16,9,0.28591373562812805
218,16,10,0.29119017720222473
219,16,11,0.2873869240283966
220,16,12,0.28374800086021423
221,17,0,0.2869948148727417
222,17,1,0.2869948148727417
223,17,2,0.2869948148727417
224,17,3,0.2194674164056778
225,17,4,0.2582680881023407
226,17,5,0.2752712368965149
227,17,6,0.28282618522644043
228,17,7,0.2909005880355835
229,17,8,0.2803885042667389
230,17,9,0.29040753841400146
231,17,10,0.2942073345184326
232,17,11,0.2873203456401825
233,17,12,0.2864283323287964
234,18,0,0.2869948148727417
235,18,1,0.2869948148727417
236,18,2,0.2869948148727417
237,18,3,0.21486100554466248
238,18,4,0.25565338134765625
239,18,5,0.27762627601623535
240,18,6,0.2838876247406006
241,18,7,0.29549041390419006
242,18,8,0.2820018529891968
243,18,9,0.29172539710998535
244,18,10,0.29610222578048706
245,18,11,0.28816983103752136
246,18,12,0.29075926542282104
247,19,0,0.2869948148727417
248,19,1,0.2869948148727417
249,19,2,0.2869948148727417
250,19,3,0.23427128791809082
251,19,4,0.25253933668136597
252,19,5,0.28005674481391907
253,19,6,0.2812018394470215
254,19,7,0.3048510253429413
255,19,8,0.2858177423477173
256,19,9,0.2903149425983429
257,19,10,0.29586276412010193
258,19,11,0.2888256013393402
259,19,12,0.2888309955596924
260,20,0,0.2869948148727417
261,20,1,0.2869948148727417
262,20,2,0.2869948148727417
263,20,3,0.24968288838863373
264,20,4,0.272500216960907
265,20,5,0.28278517723083496
266,20,6,0.2902590036392212
