,layer,pos,prob
0,0,0,0.7729973793029785
1,0,1,0.7913963794708252
2,0,2,0.8284847140312195
3,0,3,0.8153669238090515
4,0,4,0.8145500421524048
5,0,5,0.8010266423225403
6,0,6,0.815144956111908
7,0,7,0.8105668425559998
8,0,8,0.8127234578132629
9,0,9,0.8260472416877747
10,1,0,0.7729973793029785
11,1,1,0.7675699591636658
12,1,2,0.8306921124458313
13,1,3,0.8159618377685547
14,1,4,0.8137140870094299
15,1,5,0.7999649047851562
16,1,6,0.8140121698379517
17,1,7,0.8094742298126221
18,1,8,0.80836021900177
19,1,9,0.825617253780365
20,2,0,0.7729973793029785
21,2,1,0.7460131049156189
22,2,2,0.8304547667503357
23,2,3,0.8153968453407288
24,2,4,0.8133537173271179
25,2,5,0.7994064092636108
26,2,6,0.8129907846450806
27,2,7,0.8108651638031006
28,2,8,0.8037877678871155
29,2,9,0.8263478875160217
30,3,0,0.7729973793029785
31,3,1,0.7428231239318848
32,3,2,0.8238598108291626
33,3,3,0.8160191178321838
34,3,4,0.8110830187797546
35,3,5,0.7990842461585999
36,3,6,0.813562273979187
37,3,7,0.8111062049865723
38,3,8,0.7965139746665955
39,3,9,0.828093945980072
40,4,0,0.7729973793029785
41,4,1,0.7395426034927368
42,4,2,0.8235244154930115
43,4,3,0.8163238763809204
44,4,4,0.8118308186531067
45,4,5,0.7981661558151245
46,4,6,0.8132910132408142
47,4,7,0.8095713257789612
48,4,8,0.7946662902832031
49,4,9,0.8288994431495667
50,5,0,0.7729973793029785
51,5,1,0.7397654056549072
52,5,2,0.8230329751968384
53,5,3,0.816576361656189
54,5,4,0.8116063475608826
55,5,5,0.7996472716331482
56,5,6,0.8129340410232544
57,5,7,0.8106708526611328
58,5,8,0.7932143211364746
59,5,9,0.8278101682662964
60,6,0,0.7512472867965698
61,6,1,0.7412480711936951
62,6,2,0.8229918479919434
63,6,3,0.8180499076843262
64,6,4,0.8119239807128906
65,6,5,0.8007442355155945
66,6,6,0.8126037120819092
67,6,7,0.8121719360351562
68,6,8,0.7896007895469666
69,6,9,0.8283642530441284
70,7,0,0.75257408618927
71,7,1,0.7430718541145325
72,7,2,0.8238469958305359
73,7,3,0.8180790543556213
74,7,4,0.8128887414932251
75,7,5,0.8002414107322693
76,7,6,0.8130570650100708
77,7,7,0.8149430155754089
78,7,8,0.7868777513504028
79,7,9,0.8280833959579468
80,8,0,0.7884107232093811
81,8,1,0.7447481751441956
82,8,2,0.8239420056343079
83,8,3,0.8171783089637756
84,8,4,0.8107234239578247
85,8,5,0.798958420753479
86,8,6,0.808498740196228
87,8,7,0.8149334788322449
88,8,8,0.784500241279602
89,8,9,0.8273553252220154
90,9,0,0.8003876209259033
91,9,1,0.7465198636054993
92,9,2,0.8235301375389099
93,9,3,0.8171873688697815
94,9,4,0.8116706609725952
95,9,5,0.8007317185401917
96,9,6,0.8089905381202698
97,9,7,0.8167005181312561
98,9,8,0.7826707363128662
99,9,9,0.8281362652778625
100,10,0,0.8410038352012634
101,10,1,0.7420608997344971
102,10,2,0.8266035318374634
103,10,3,0.8177574872970581
104,10,4,0.8122100234031677
105,10,5,0.804084062576294
106,10,6,0.8063386082649231
107,10,7,0.820909321308136
108,10,8,0.7779296040534973
109,10,9,0.8257641196250916
110,11,0,0.867116391658783
111,11,1,0.7428193092346191
112,11,2,0.825585126876831
113,11,3,0.817825436592102
114,11,4,0.8110997676849365
115,11,5,0.8047239780426025
116,11,6,0.8085248470306396
117,11,7,0.8226130604743958
118,11,8,0.7751524448394775
119,11,9,0.8237548470497131
120,12,0,0.8380283713340759
121,12,1,0.745416522026062
122,12,2,0.8273264765739441
123,12,3,0.8192649483680725
124,12,4,0.8102877736091614
125,12,5,0.8054414391517639
126,12,6,0.809136688709259
127,12,7,0.823006808757782
128,12,8,0.7778934240341187
129,12,9,0.8203622698783875
130,13,0,0.81977778673172
131,13,1,0.7454427480697632
132,13,2,0.8312579393386841
133,13,3,0.8213239908218384
134,13,4,0.8136190176010132
135,13,5,0.8067729473114014
136,13,6,0.8102614283561707
137,13,7,0.8235392570495605
138,13,8,0.7796463370323181
139,13,9,0.8179155588150024
140,14,0,0.820922315120697
141,14,1,0.7440742254257202
142,14,2,0.8341413140296936
143,14,3,0.8229093551635742
144,14,4,0.8236187696456909
145,14,5,0.8105344176292419
146,14,6,0.8214768767356873
147,14,7,0.8388367891311646
148,14,8,0.7830529808998108
149,14,9,0.8237217664718628
150,15,0,0.8232781291007996
151,15,1,0.7422125339508057
152,15,2,0.8316048979759216
153,15,3,0.8207947015762329
154,15,4,0.8229681253433228
155,15,5,0.8113393783569336
156,15,6,0.8217395544052124
157,15,7,0.8395353555679321
158,15,8,0.7837529182434082
159,15,9,0.8229374289512634
160,16,0,0.8214691281318665
161,16,1,0.7405883073806763
162,16,2,0.8319562077522278
163,16,3,0.818824827671051
164,16,4,0.8223771452903748
165,16,5,0.8145013451576233
