,layer,pos,prob
0,0,0,0.7843557000160217
1,0,1,0.7807177901268005
2,0,2,0.7713408470153809
3,0,3,0.768101155757904
4,0,4,0.7697222232818604
5,0,5,0.7705199122428894
6,0,6,0.7712343335151672
7,0,7,0.77461177110672
8,0,8,0.7704887986183167
9,0,9,0.7746202945709229
10,1,0,0.7845131754875183
11,1,1,0.7791659832000732
12,1,2,0.7696418166160583
13,1,3,0.7675238847732544
14,1,4,0.768688976764679
15,1,5,0.7702681422233582
16,1,6,0.7707681655883789
17,1,7,0.7747821807861328
18,1,8,0.7710502743721008
19,1,9,0.7737011313438416
20,2,0,0.784683346748352
21,2,1,0.778286337852478
22,2,2,0.7692198157310486
23,2,3,0.7670940160751343
24,2,4,0.7683924436569214
25,2,5,0.7700629830360413
26,2,6,0.7709828615188599
27,2,7,0.775022566318512
28,2,8,0.7715747952461243
29,2,9,0.7740924954414368
30,3,0,0.7846492528915405
31,3,1,0.7746437191963196
32,3,2,0.7685058116912842
33,3,3,0.767286479473114
34,3,4,0.7680145502090454
35,3,5,0.7694019675254822
36,3,6,0.7706401348114014
37,3,7,0.7763873934745789
38,3,8,0.7705639004707336
39,3,9,0.7721554040908813
40,4,0,0.7846938371658325
41,4,1,0.7692762017250061
42,4,2,0.7683578133583069
43,4,3,0.7679325342178345
44,4,4,0.7709130048751831
45,4,5,0.7695342898368835
46,4,6,0.7723141312599182
47,4,7,0.7753452658653259
48,4,8,0.7668792009353638
49,4,9,0.7639831304550171
50,5,0,0.7845591902732849
51,5,1,0.766374409198761
52,5,2,0.7678846120834351
53,5,3,0.7679194808006287
54,5,4,0.770790159702301
55,5,5,0.7698502540588379
56,5,6,0.7722383737564087
57,5,7,0.775615930557251
58,5,8,0.7666584253311157
59,5,9,0.7629434466362
60,6,0,0.7681075930595398
61,6,1,0.7650225758552551
62,6,2,0.7667357325553894
63,6,3,0.7692965269088745
64,6,4,0.771955132484436
65,6,5,0.7703632116317749
66,6,6,0.7721794843673706
67,6,7,0.7750152945518494
68,6,8,0.7657995223999023
69,6,9,0.7592180371284485
70,7,0,0.7718276977539062
71,7,1,0.7416791915893555
72,7,2,0.7666783332824707
73,7,3,0.7719711065292358
74,7,4,0.7745727896690369
75,7,5,0.7714072465896606
76,7,6,0.7743253707885742
77,7,7,0.7821115851402283
78,7,8,0.7710846662521362
79,7,9,0.7598769068717957
80,8,0,0.7728265523910522
81,8,1,0.7428897023200989
82,8,2,0.7682912349700928
83,8,3,0.7723824381828308
84,8,4,0.7776910662651062
85,8,5,0.7749207019805908
86,8,6,0.7757897973060608
87,8,7,0.7847692966461182
88,8,8,0.7755605578422546
89,8,9,0.769477128982544
90,9,0,0.7725570201873779
91,9,1,0.7462093830108643
92,9,2,0.7683011293411255
93,9,3,0.7734458446502686
94,9,4,0.7793224453926086
95,9,5,0.7743308544158936
96,9,6,0.7757112979888916
97,9,7,0.7879147529602051
98,9,8,0.7822496891021729
99,9,9,0.7743775844573975
100,10,0,0.772680401802063
101,10,1,0.7436495423316956
102,10,2,0.7675438523292542
103,10,3,0.773139476776123
104,10,4,0.7806309461593628
105,10,5,0.7741206288337708
106,10,6,0.7761441469192505
107,10,7,0.7890732884407043
108,10,8,0.7856022119522095
109,10,9,0.7776033282279968
110,11,0,0.7725209593772888
111,11,1,0.7486578822135925
112,11,2,0.7685561776161194
113,11,3,0.7740676999092102
114,11,4,0.7817746996879578
115,11,5,0.7749377489089966
116,11,6,0.7778735160827637
117,11,7,0.7908051013946533
118,11,8,0.7758165597915649
119,11,9,0.7649851441383362
120,12,0,0.772495687007904
121,12,1,0.7516951560974121
122,12,2,0.7688754796981812
123,12,3,0.7755405306816101
124,12,4,0.7839131951332092
125,12,5,0.775302529335022
126,12,6,0.7786782383918762
127,12,7,0.7930268049240112
128,12,8,0.7779404520988464
129,12,9,0.7273111343383789
130,13,0,0.7722914218902588
131,13,1,0.7532913684844971
132,13,2,0.7695361375808716
133,13,3,0.775932788848877
134,13,4,0.78419029712677
135,13,5,0.7757567763328552
136,13,6,0.7795324325561523
137,13,7,0.7930535674095154
138,13,8,0.7749072313308716
139,13,9,0.7041671276092529
140,14,0,0.7721552848815918
141,14,1,0.7572889924049377
142,14,2,0.7684047818183899
143,14,3,0.775057852268219
144,14,4,0.7807672023773193
145,14,5,0.7739375829696655
146,14,6,0.7781000733375549
147,14,7,0.7920235991477966
148,14,8,0.7811475396156311
149,14,9,0.7048629522323608
150,15,0,0.7722591757774353
151,15,1,0.7599478960037231
152,15,2,0.7689349055290222
153,15,3,0.7769225239753723
154,15,4,0.7810438871383667
155,15,5,0.7738503217697144
156,15,6,0.778876006603241
157,15,7,0.7933125495910645
158,15,8,0.7824329733848572
159,15,9,0.7018622756004333
160,16,0,0.7725135087966919
161,16,1,0.7618577480316162
162,16,2,0.7699516415596008
163,16,3,0.7772620320320129
164,16,4,0.780360221862793
165,16,5,0.7736040353775024
166,16,6,0.7793793678283691
167,16,7,0.79117751121521
168,16,8,0.7852154970169067
169,16,9,0.7186419367790222
170,17,0,0.772527277469635
171,17,1,0.7643913626670837
172,17,2,0.769730269908905
173,17,3,0.7755751609802246
174,17,4,0.7782120704650879
175,17,5,0.7732385396957397
176,17,6,0.7768146991729736
177,17,7,0.7848330736160278
178,17,8,0.7813804149627686
179,17,9,0.7188009023666382
180,18,0,0.7724840044975281
181,18,1,0.7660464644432068
182,18,2,0.7697301506996155
183,18,3,0.7755504250526428
184,18,4,0.7765680551528931
185,18,5,0.7726828455924988
186,18,6,0.7759999632835388
187,18,7,0.7798007130622864
188,18,8,0.7773727774620056
189,18,9,0.694796621799469
190,19,0,0.7725929021835327
191,19,1,0.7687066197395325
192,19,2,0.7699161171913147
193,19,3,0.7752512097358704
194,19,4,0.7755945324897766
195,19,5,0.7724089026451111
196,19,6,0.7759718298912048
197,19,7,0.778575599193573
198,19,8,0.7746815085411072
199,19,9,0.7096505761146545
200,20,0,0.7724840044975281
201,20,1,0.772050142288208
202,20,2,0.7715013027191162
203,20,3,0.7748547196388245
204,20,4,0.7742341160774231
205,20,5,0.7715785503387451
206,20,6,0.7753722071647644
207,20,7,0.7756854295730591
208,20,8,0.7722080945968628
209,20,9,0.7039773464202881
210,21,0,0.7724437117576599
211,21,1,0.7735275030136108
212,21,2,0.7721929550170898
213,21,3,0.7738423943519592
214,21,4,0.7737931609153748
215,21,5,0.7718119025230408
216,21,6,0.7747641205787659
217,21,7,0.7735985517501831
218,21,8,0.7775903940200806
219,21,9,0.7323550581932068
220,22,0,0.7724348306655884
221,22,1,0.7726194858551025
222,22,2,0.7719303965568542
223,22,3,0.7724007964134216
224,22,4,0.7724107503890991
225,22,5,0.7718061208724976
226,22,6,0.7738403081893921
227,22,7,0.773087739944458
228,22,8,0.7781391739845276
229,22,9,0.783365786075592
230,23,0,0.7725273370742798
231,23,1,0.7723402380943298
232,23,2,0.7717341780662537
233,23,3,0.7725049257278442
234,23,4,0.7723849415779114
235,23,5,0.7720541954040527
236,23,6,0.7735118865966797
237,23,7,0.773361086845398
238,23,8,0.7764379978179932
239,23,9,0.8022545576095581
