,layer,pos,prob
0,0,0,0.7684037089347839
1,0,1,0.7494840025901794
2,0,2,0.7713408470153809
3,0,3,0.768101155757904
4,0,4,0.7697222232818604
5,0,5,0.7705199122428894
6,0,6,0.7712343335151672
7,0,7,0.77461177110672
8,0,8,0.7704887986183167
9,0,9,0.7746202945709229
10,1,0,0.7684037089347839
11,1,1,0.7498787045478821
12,1,2,0.7696418166160583
13,1,3,0.7675238847732544
14,1,4,0.768688976764679
15,1,5,0.7702681422233582
16,1,6,0.7707681655883789
17,1,7,0.7747821807861328
18,1,8,0.7710502743721008
19,1,9,0.7737011313438416
20,2,0,0.7684037089347839
21,2,1,0.7499588131904602
22,2,2,0.7692198157310486
23,2,3,0.7670940160751343
24,2,4,0.7683924436569214
25,2,5,0.7700629830360413
26,2,6,0.7709828615188599
27,2,7,0.775022566318512
28,2,8,0.7715747952461243
29,2,9,0.7740924954414368
30,3,0,0.7684037089347839
31,3,1,0.7504502534866333
32,3,2,0.7685058116912842
33,3,3,0.767286479473114
34,3,4,0.7680145502090454
35,3,5,0.7694019675254822
36,3,6,0.7706401348114014
37,3,7,0.7763873934745789
38,3,8,0.7705639004707336
39,3,9,0.7721554040908813
40,4,0,0.7684037089347839
41,4,1,0.7508906722068787
42,4,2,0.7683578133583069
43,4,3,0.7679325342178345
44,4,4,0.7709130048751831
45,4,5,0.7695342898368835
46,4,6,0.7723141312599182
47,4,7,0.7753452658653259
48,4,8,0.7668792009353638
49,4,9,0.7639831304550171
50,5,0,0.7684037089347839
51,5,1,0.750514030456543
52,5,2,0.7678846120834351
53,5,3,0.7679194808006287
54,5,4,0.770790159702301
55,5,5,0.7698502540588379
56,5,6,0.7722383737564087
57,5,7,0.775615930557251
58,5,8,0.7666584253311157
59,5,9,0.7629434466362
60,6,0,0.7651280164718628
61,6,1,0.7497241497039795
62,6,2,0.7667590975761414
63,6,3,0.7684763073921204
64,6,4,0.7717905640602112
65,6,5,0.7697470784187317
66,6,6,0.7721621990203857
67,6,7,0.7770916223526001
68,6,8,0.768706202507019
69,6,9,0.7611575126647949
70,7,0,0.7680315971374512
71,7,1,0.7491609454154968
72,7,2,0.7654327750205994
73,7,3,0.7696437239646912
74,7,4,0.7756333351135254
75,7,5,0.770746111869812
76,7,6,0.7735880613327026
77,7,7,0.7846361398696899
78,7,8,0.7754700779914856
79,7,9,0.7614834308624268
80,8,0,0.7673545479774475
81,8,1,0.7497950196266174
82,8,2,0.7656623125076294
83,8,3,0.7706707715988159
84,8,4,0.7772002220153809
85,8,5,0.7715839147567749
86,8,6,0.7739557027816772
87,8,7,0.7879681587219238
88,8,8,0.7800019383430481
89,8,9,0.7725566029548645
90,9,0,0.7671063542366028
91,9,1,0.7490879893302917
92,9,2,0.7658156156539917
93,9,3,0.7709347009658813
94,9,4,0.7763168811798096
95,9,5,0.7726730704307556
96,9,6,0.7740200757980347
97,9,7,0.7898560762405396
98,9,8,0.7844610214233398
99,9,9,0.7792300581932068
100,10,0,0.7669515609741211
101,10,1,0.7493578195571899
102,10,2,0.7661797404289246
103,10,3,0.7717278599739075
104,10,4,0.777767539024353
105,10,5,0.7728399634361267
106,10,6,0.7743918895721436
107,10,7,0.7915331125259399
108,10,8,0.784735381603241
109,10,9,0.7787591218948364
110,11,0,0.7669231295585632
111,11,1,0.7503882050514221
112,11,2,0.7663952708244324
113,11,3,0.7722539901733398
114,11,4,0.7778041362762451
115,11,5,0.772455632686615
116,11,6,0.7751845121383667
117,11,7,0.7925283908843994
118,11,8,0.7752729058265686
119,11,9,0.7698906064033508
120,12,0,0.7663201689720154
121,12,1,0.751401960849762
122,12,2,0.76690274477005
123,12,3,0.7739008069038391
124,12,4,0.7803861498832703
125,12,5,0.7736010551452637
126,12,6,0.7765299677848816
127,12,7,0.7954620718955994
128,12,8,0.7774642705917358
129,12,9,0.73457270860672
130,13,0,0.7665764689445496
131,13,1,0.7528600692749023
132,13,2,0.7671486735343933
133,13,3,0.7749003767967224
134,13,4,0.7809833884239197
135,13,5,0.7742050886154175
136,13,6,0.7769690155982971
137,13,7,0.7972755432128906
138,13,8,0.781669020652771
139,13,9,0.7094624042510986
140,14,0,0.767704427242279
141,14,1,0.7516622543334961
142,14,2,0.7662366628646851
143,14,3,0.7750977873802185
144,14,4,0.7813044190406799
145,14,5,0.7746631503105164
146,14,6,0.7782515287399292
147,14,7,0.7974292635917664
148,14,8,0.7823331356048584
149,14,9,0.7064777612686157
150,15,0,0.7676669359207153
151,15,1,0.7507537007331848
152,15,2,0.7680444717407227
153,15,3,0.7769882678985596
154,15,4,0.781444251537323
155,15,5,0.7745987176895142
156,15,6,0.7785099148750305
157,15,7,0.7985257506370544
158,15,8,0.7829798460006714
159,15,9,0.703558623790741
160,16,0,0.768126904964447
161,16,1,0.7448863983154297
162,16,2,0.767365038394928
163,16,3,0.7770083546638489
164,16,4,0.7810605764389038
165,16,5,0.7738577723503113
166,16,6,0.7785513401031494
167,16,7,0.7973217964172363
168,16,8,0.7840042114257812
169,16,9,0.7177494168281555
170,17,0,0.76899653673172
171,17,1,0.738254964351654
172,17,2,0.7666522860527039
173,17,3,0.7763474583625793
174,17,4,0.7800588607788086
175,17,5,0.7725176215171814
176,17,6,0.7761917114257812
177,17,7,0.7960070967674255
178,17,8,0.7835189700126648
179,17,9,0.7254691123962402
180,18,0,0.7703500390052795
181,18,1,0.7354593276977539
182,18,2,0.7660471796989441
183,18,3,0.7762710452079773
184,18,4,0.7788703441619873
185,18,5,0.7719172239303589
186,18,6,0.7754350900650024
187,18,7,0.7916898131370544
188,18,8,0.7829878926277161
189,18,9,0.7307788729667664
190,19,0,0.7697998285293579
191,19,1,0.7344891428947449
192,19,2,0.7657232284545898
193,19,3,0.7758040428161621
194,19,4,0.777082085609436
195,19,5,0.7723178267478943
196,19,6,0.7770026326179504
197,19,7,0.78668212890625
198,19,8,0.7783322334289551
199,19,9,0.7554981708526611
200,20,0,0.7696424722671509
201,20,1,0.7501996159553528
202,20,2,0.7652969360351562
203,20,3,0.7760217189788818
204,20,4,0.7755884528160095
205,20,5,0.7719852328300476
206,20,6,0.7766574025154114
207,20,7,0.7819555401802063
208,20,8,0.7762235999107361
209,20,9,0.7554981708526611
210,21,0,0.7700344324111938
211,21,1,0.7702906131744385
212,21,2,0.768966555595398
213,21,3,0.7765768766403198
214,21,4,0.7760199308395386
215,21,5,0.772802472114563
216,21,6,0.7772115468978882
217,21,7,0.7734635472297668
218,21,8,0.7832392454147339
219,21,9,0.7554981708526611
220,22,0,0.7706007361412048
221,22,1,0.7813193798065186
222,22,2,0.771321713924408
223,22,3,0.7772541046142578
224,22,4,0.7752624750137329
225,22,5,0.7731547355651855
226,22,6,0.7788609266281128
227,22,7,0.7749117612838745
228,22,8,0.7875461578369141
229,22,9,0.7554981708526611
230,23,0,0.770537257194519
231,23,1,0.7765491604804993
232,23,2,0.7706295847892761
233,23,3,0.7765629887580872
234,23,4,0.7735017538070679
235,23,5,0.7723947167396545
236,23,6,0.7788799405097961
237,23,7,0.7756287455558777
238,23,8,0.7934813499450684
239,23,9,0.7554981708526611
