,layer,pos,prob
0,0,0,0.7669316530227661
1,0,1,0.7563740611076355
2,0,2,0.7731079459190369
3,0,3,0.7716144323348999
4,0,4,0.7664480209350586
5,0,5,0.7695510983467102
6,0,6,0.7716951966285706
7,0,7,0.7750821113586426
8,0,8,0.7666985392570496
9,0,9,0.77125483751297
10,1,0,0.7667567729949951
11,1,1,0.7513030171394348
12,1,2,0.7705689668655396
13,1,3,0.7700059413909912
14,1,4,0.7671779990196228
15,1,5,0.768557071685791
16,1,6,0.7712814807891846
17,1,7,0.7772509455680847
18,1,8,0.7716012597084045
19,1,9,0.7735854387283325
20,2,0,0.7665594220161438
21,2,1,0.7527910470962524
22,2,2,0.7674445509910583
23,2,3,0.7687656879425049
24,2,4,0.7663859128952026
25,2,5,0.7676981091499329
26,2,6,0.7717227935791016
27,2,7,0.778572678565979
28,2,8,0.7668456435203552
29,2,9,0.7729963064193726
30,3,0,0.7663754820823669
31,3,1,0.7663768529891968
32,3,2,0.7662655711174011
33,3,3,0.7681355476379395
34,3,4,0.765177309513092
35,3,5,0.7676728367805481
36,3,6,0.770928144454956
37,3,7,0.7754326462745667
38,3,8,0.7676852345466614
39,3,9,0.7737501859664917
40,4,0,0.7662294507026672
41,4,1,0.756737470626831
42,4,2,0.7656478881835938
43,4,3,0.76746666431427
44,4,4,0.7642945647239685
45,4,5,0.7684452533721924
46,4,6,0.7723138928413391
47,4,7,0.7716764211654663
48,4,8,0.7640350461006165
49,4,9,0.7761854529380798
50,5,0,0.7661407589912415
51,5,1,0.7552376985549927
52,5,2,0.7649089694023132
53,5,3,0.7676301002502441
54,5,4,0.7617689371109009
55,5,5,0.7688621878623962
56,5,6,0.7710993885993958
57,5,7,0.7671242952346802
58,5,8,0.7543727159500122
59,5,9,0.7701970934867859
60,6,0,0.7114648818969727
61,6,1,0.7634422779083252
62,6,2,0.7778124809265137
63,6,3,0.7705603837966919
64,6,4,0.7608835101127625
65,6,5,0.767245888710022
66,6,6,0.7695744633674622
67,6,7,0.7733457088470459
68,6,8,0.7589832544326782
69,6,9,0.7708238959312439
70,7,0,0.7595198154449463
71,7,1,0.7694394588470459
72,7,2,0.7664515376091003
73,7,3,0.7730278372764587
74,7,4,0.764699399471283
75,7,5,0.7684549689292908
76,7,6,0.7706291675567627
77,7,7,0.7645017504692078
78,7,8,0.7576398253440857
79,7,9,0.7725581526756287
80,8,0,0.7700732350349426
81,8,1,0.747238039970398
82,8,2,0.7673560976982117
83,8,3,0.7710127830505371
84,8,4,0.7673575282096863
85,8,5,0.7671792507171631
86,8,6,0.7695121169090271
87,8,7,0.7657677531242371
88,8,8,0.7574359774589539
89,8,9,0.7728517055511475
90,9,0,0.7724398374557495
91,9,1,0.7487717866897583
92,9,2,0.767399251461029
93,9,3,0.7726423144340515
94,9,4,0.7688122391700745
95,9,5,0.769283652305603
96,9,6,0.7665125131607056
97,9,7,0.7728335857391357
98,9,8,0.7646718621253967
99,9,9,0.7865529656410217
100,10,0,0.7725434899330139
101,10,1,0.7546688914299011
102,10,2,0.7674773335456848
103,10,3,0.7718024849891663
104,10,4,0.7676501870155334
105,10,5,0.769279956817627
106,10,6,0.7634648084640503
107,10,7,0.7760148644447327
108,10,8,0.7621892690658569
109,10,9,0.7479072213172913
110,11,0,0.7726664543151855
111,11,1,0.7638018131256104
112,11,2,0.7677972912788391
113,11,3,0.7734832167625427
114,11,4,0.7692440152168274
115,11,5,0.7703312635421753
116,11,6,0.7634192705154419
117,11,7,0.7740923166275024
118,11,8,0.7573366165161133
119,11,9,0.7631980180740356
120,12,0,0.7725889086723328
121,12,1,0.761797308921814
122,12,2,0.7680509686470032
123,12,3,0.7740318179130554
124,12,4,0.7717589735984802
125,12,5,0.7706193923950195
126,12,6,0.7621703147888184
127,12,7,0.7772303223609924
128,12,8,0.7666743993759155
129,12,9,0.7226912379264832
130,13,0,0.7723127603530884
131,13,1,0.7619402408599854
132,13,2,0.7682386636734009
133,13,3,0.7736032605171204
134,13,4,0.7710959911346436
135,13,5,0.7713098526000977
136,13,6,0.7624037265777588
137,13,7,0.7767332196235657
138,13,8,0.7773934602737427
139,13,9,0.7733596563339233
140,14,0,0.7721421122550964
141,14,1,0.7574455142021179
142,14,2,0.7684798240661621
143,14,3,0.7712149620056152
144,14,4,0.7705599665641785
145,14,5,0.7718031406402588
146,14,6,0.7654455304145813
147,14,7,0.7810419797897339
148,14,8,0.782971978187561
149,14,9,0.7899177074432373
150,15,0,0.772229015827179
151,15,1,0.7672144770622253
152,15,2,0.7670460343360901
153,15,3,0.7713760137557983
154,15,4,0.7710580229759216
155,15,5,0.7708868980407715
156,15,6,0.7653418779373169
157,15,7,0.7811411619186401
158,15,8,0.782426118850708
159,15,9,0.7439689040184021
160,16,0,0.772074282169342
161,16,1,0.7686949372291565
162,16,2,0.7657105326652527
163,16,3,0.7718393802642822
164,16,4,0.7718950510025024
165,16,5,0.772118091583252
166,16,6,0.7662094235420227
167,16,7,0.7856525778770447
168,16,8,0.7864018082618713
169,16,9,0.7015842795372009
170,17,0,0.7719913721084595
171,17,1,0.775023341178894
172,17,2,0.7651340961456299
173,17,3,0.7708346843719482
174,17,4,0.7716590762138367
175,17,5,0.7710083723068237
176,17,6,0.7674604058265686
177,17,7,0.7864581942558289
178,17,8,0.7817076444625854
179,17,9,0.773476779460907
180,18,0,0.7718136310577393
181,18,1,0.7746882438659668
182,18,2,0.7651920914649963
183,18,3,0.7715786099433899
184,18,4,0.772186815738678
185,18,5,0.7711231708526611
186,18,6,0.7671850919723511
187,18,7,0.7865933179855347
188,18,8,0.7829679846763611
189,18,9,0.7439724206924438
190,19,0,0.7718981504440308
191,19,1,0.7654266953468323
192,19,2,0.767213761806488
193,19,3,0.7718061804771423
194,19,4,0.7723201513290405
195,19,5,0.7714561223983765
196,19,6,0.7697581648826599
197,19,7,0.7822678089141846
198,19,8,0.7767424583435059
199,19,9,0.7108401656150818
200,20,0,0.7718785405158997
201,20,1,0.7729009389877319
202,20,2,0.7700191140174866
203,20,3,0.7724962830543518
204,20,4,0.7725687026977539
205,20,5,0.771925151348114
206,20,6,0.77336186170578
207,20,7,0.7805758714675903
208,20,8,0.7792950868606567
209,20,9,0.7005924582481384
210,21,0,0.7718321084976196
211,21,1,0.7732876539230347
212,21,2,0.7709248065948486
213,21,3,0.7722846269607544
214,21,4,0.772953450679779
215,21,5,0.7723562121391296
216,21,6,0.7749757766723633
217,21,7,0.7767794728279114
218,21,8,0.7792938947677612
219,21,9,0.6933355927467346
220,22,0,0.7719659209251404
221,22,1,0.775714099407196
222,22,2,0.7713239789009094
223,22,3,0.7715471386909485
224,22,4,0.7729030847549438
225,22,5,0.7724180221557617
226,22,6,0.7743006348609924
227,22,7,0.7744162678718567
228,22,8,0.7783706784248352
229,22,9,0.7106637358665466
230,23,0,0.7720479369163513
231,23,1,0.7735486626625061
232,23,2,0.7714831829071045
233,23,3,0.7716313600540161
234,23,4,0.7727963924407959
235,23,5,0.7720902562141418
236,23,6,0.7744821906089783
237,23,7,0.7741732597351074
238,23,8,0.7786585092544556
239,23,9,0.6655795574188232
