,layer,pos,prob
0,0,0,0.023464996367692947
1,0,1,0.9026721119880676
2,0,2,0.2337026298046112
3,0,3,0.11339598894119263
4,0,4,0.2307858020067215
5,1,0,0.016196880489587784
6,1,1,0.9115508794784546
7,1,2,0.3673431873321533
8,1,3,0.1354668289422989
9,1,4,0.24078239500522614
10,2,0,0.015558941289782524
11,2,1,0.9135040640830994
12,2,2,0.5890306234359741
13,2,3,0.17883709073066711
14,2,4,0.29200124740600586
15,3,0,0.015017053112387657
16,3,1,0.862747311592102
17,3,2,0.6889610886573792
18,3,3,0.2467985600233078
19,3,4,0.3222285509109497
20,4,0,0.014828886836767197
21,4,1,0.8445213437080383
22,4,2,0.7107360363006592
23,4,3,0.28706708550453186
24,4,4,0.3686921298503876
25,5,0,0.014756254851818085
26,5,1,0.8410645723342896
27,5,2,0.7215524315834045
28,5,3,0.3334325850009918
29,5,4,0.41566529870033264
30,6,0,0.016041135415434837
31,6,1,0.7515091300010681
32,6,2,0.6833885312080383
33,6,3,0.37118661403656006
34,6,4,0.3954288959503174
35,7,0,0.033022619783878326
36,7,1,0.8155719637870789
37,7,2,0.6402912735939026
38,7,3,0.3767666816711426
39,7,4,0.4313284158706665
40,8,0,0.016393981873989105
41,8,1,0.4552205204963684
42,8,2,0.6454118490219116
43,8,3,0.42978179454803467
44,8,4,0.5211911201477051
45,9,0,0.01406027376651764
46,9,1,0.4908057153224945
47,9,2,0.6315916180610657
48,9,3,0.4487361013889313
49,9,4,0.4915182292461395
50,10,0,0.03181441128253937
51,10,1,0.36298075318336487
52,10,2,0.611503541469574
53,10,3,0.4706472158432007
54,10,4,0.6169726252555847
55,11,0,0.042545385658741
56,11,1,0.10593166202306747
57,11,2,0.5553441643714905
58,11,3,0.4843924641609192
59,11,4,0.6621758341789246
60,12,0,0.06893107295036316
61,12,1,0.18349960446357727
62,12,2,0.4007585346698761
63,12,3,0.43263283371925354
64,12,4,0.6196107864379883
65,13,0,0.08396097272634506
66,13,1,0.10608745366334915
67,13,2,0.3607085645198822
68,13,3,0.40263620018959045
69,13,4,0.6441406607627869
70,14,0,0.0885985717177391
71,14,1,0.11675994843244553
72,14,2,0.3473586440086365
73,14,3,0.39281317591667175
74,14,4,0.6773384213447571
75,15,0,0.08891275525093079
76,15,1,0.0698622614145279
77,15,2,0.3212239444255829
78,15,3,0.38528716564178467
79,15,4,0.6560950875282288
80,16,0,0.08897791057825089
81,16,1,0.07198316603899002
82,16,2,0.2597810924053192
83,16,3,0.3553325831890106
84,16,4,0.6597796082496643
85,17,0,0.08931350708007812
86,17,1,0.05533353239297867
87,17,2,0.23733431100845337
88,17,3,0.3077755868434906
89,17,4,0.6376937031745911
90,18,0,0.08943652361631393
91,18,1,0.05127042531967163
92,18,2,0.20330533385276794
93,18,3,0.2679317891597748
94,18,4,0.5429400205612183
95,19,0,0.08936790376901627
96,19,1,0.07115161418914795
97,19,2,0.17151488363742828
98,19,3,0.2583816945552826
99,19,4,0.5685976147651672
100,20,0,0.08949203789234161
101,20,1,0.08489903062582016
102,20,2,0.17327235639095306
103,20,3,0.22083944082260132
104,20,4,0.5543895959854126
105,21,0,0.08956693112850189
106,21,1,0.09597345441579819
107,21,2,0.1606372743844986
108,21,3,0.2131771594285965
109,21,4,0.535569965839386
110,22,0,0.08950959891080856
111,22,1,0.10945813357830048
112,22,2,0.14654862880706787
113,22,3,0.19439628720283508
114,22,4,0.550215482711792
115,23,0,0.08955276757478714
116,23,1,0.10583788901567459
117,23,2,0.12784738838672638
118,23,3,0.17736175656318665
119,23,4,0.5572203993797302
120,24,0,0.08948187530040741
121,24,1,0.10685639083385468
122,24,2,0.11883510649204254
123,24,3,0.15765000879764557
124,24,4,0.5285136699676514
125,25,0,0.08955445885658264
126,25,1,0.10021540522575378
127,25,2,0.11256435513496399
128,25,3,0.15369126200675964
129,25,4,0.5498291254043579
130,26,0,0.08952738344669342
131,26,1,0.10467024147510529
132,26,2,0.11221294850111008
133,26,3,0.1488766074180603
134,26,4,0.5162090063095093
135,27,0,0.0895133689045906
136,27,1,0.10539107024669647
