,layer,pos,prob
0,0,0,0.9962813258171082
1,0,1,0.9628547430038452
2,0,2,0.2337026298046112
3,0,3,0.11339598894119263
4,0,4,0.2307858020067215
5,1,0,0.9962813258171082
6,1,1,0.9643098711967468
7,1,2,0.3673431873321533
8,1,3,0.1354668289422989
9,1,4,0.24078239500522614
10,2,0,0.9962813258171082
11,2,1,0.9664548635482788
12,2,2,0.5890306234359741
13,2,3,0.17883709073066711
14,2,4,0.29200124740600586
15,3,0,0.9962813258171082
16,3,1,0.965667724609375
17,3,2,0.6889610886573792
18,3,3,0.2467985600233078
19,3,4,0.3222285509109497
20,4,0,0.9962813258171082
21,4,1,0.9655905961990356
22,4,2,0.7107360363006592
23,4,3,0.28706708550453186
24,4,4,0.3686921298503876
25,5,0,0.9962813258171082
26,5,1,0.9657976031303406
27,5,2,0.7215524315834045
28,5,3,0.3334325850009918
29,5,4,0.41566529870033264
30,6,0,0.9964678287506104
31,6,1,0.9596275091171265
32,6,2,0.71889728307724
33,6,3,0.36546197533607483
34,6,4,0.4660146236419678
35,7,0,0.9960745573043823
36,7,1,0.9605021476745605
37,7,2,0.7216957807540894
38,7,3,0.3942418098449707
39,7,4,0.5420895218849182
40,8,0,0.9901962280273438
41,8,1,0.9589517712593079
42,8,2,0.7434117794036865
43,8,3,0.4848945736885071
44,8,4,0.6710724234580994
45,9,0,0.9707275629043579
46,9,1,0.9553645253181458
47,9,2,0.7550673484802246
48,9,3,0.5273606181144714
49,9,4,0.686355710029602
50,10,0,0.8387743830680847
51,10,1,0.9536177515983582
52,10,2,0.7577179074287415
53,10,3,0.5697771906852722
54,10,4,0.7336079478263855
55,11,0,0.5126585364341736
56,11,1,0.946485161781311
57,11,2,0.7701379060745239
58,11,3,0.6088448166847229
59,11,4,0.7853578329086304
60,12,0,0.19091495871543884
61,12,1,0.9415761232376099
62,12,2,0.7635087966918945
63,12,3,0.6161602735519409
64,12,4,0.8196296691894531
65,13,0,0.13095420598983765
66,13,1,0.9371148347854614
67,13,2,0.7326899170875549
68,13,3,0.6140864491462708
69,13,4,0.8413932919502258
70,14,0,0.11727364361286163
71,14,1,0.9315611124038696
72,14,2,0.7204817533493042
73,14,3,0.6142555475234985
74,14,4,0.8581044673919678
75,15,0,0.1090172827243805
76,15,1,0.926108181476593
77,15,2,0.7030544877052307
78,15,3,0.6272029876708984
79,15,4,0.8633791208267212
80,16,0,0.10306928306818008
81,16,1,0.9253547191619873
82,16,2,0.6841700673103333
83,16,3,0.6132494807243347
84,16,4,0.8745929002761841
85,17,0,0.09445718675851822
86,17,1,0.9165193438529968
87,17,2,0.6273411512374878
88,17,3,0.5309752821922302
89,17,4,0.885299563407898
90,18,0,0.09061131626367569
91,18,1,0.9145288467407227
92,18,2,0.5952867269515991
93,18,3,0.4791247546672821
94,18,4,0.8940384387969971
95,19,0,0.09046587347984314
96,19,1,0.9096646308898926
97,19,2,0.5388455390930176
98,19,3,0.43223199248313904
99,19,4,0.9023635387420654
100,20,0,0.09072623401880264
101,20,1,0.902102530002594
102,20,2,0.45541802048683167
103,20,3,0.41276928782463074
104,20,4,0.9043664336204529
105,21,0,0.09416869282722473
106,21,1,0.8946464657783508
107,21,2,0.387250155210495
108,21,3,0.36634713411331177
109,21,4,0.9118225574493408
110,22,0,0.0934920534491539
111,22,1,0.8665566444396973
112,22,2,0.3580915927886963
113,22,3,0.3540453016757965
114,22,4,0.9162970781326294
115,23,0,0.09327102452516556
116,23,1,0.7387259006500244
117,23,2,0.33134952187538147
118,23,3,0.329917311668396
119,23,4,0.9264206886291504
120,24,0,0.0938364639878273
121,24,1,0.6762173771858215
122,24,2,0.3228655159473419
123,24,3,0.314410001039505
124,24,4,0.9283483028411865
125,25,0,0.09248767048120499
126,25,1,0.6837530136108398
127,25,2,0.26116472482681274
128,25,3,0.2796473801136017
129,25,4,0.9345802068710327
130,26,0,0.09334339946508408
131,26,1,0.667960524559021
132,26,2,0.24643371999263763
133,26,3,0.27392640709877014
134,26,4,0.9360878467559814
135,27,0,0.09248705208301544
136,27,1,0.6746760606765747
137,27,2,0.2336329072713852
138,27,3,0.25772079825401306
