,layer,pos,prob
0,0,0,0.9957442879676819
1,0,1,0.9480879306793213
2,0,2,0.10183700919151306
3,0,3,0.09033651649951935
4,0,4,0.17229972779750824
5,1,0,0.9956804513931274
6,1,1,0.9440942406654358
7,1,2,0.11660625040531158
8,1,3,0.09426839649677277
9,1,4,0.15701334178447723
10,2,0,0.9957059025764465
11,2,1,0.9367841482162476
12,2,2,0.1390714794397354
13,2,3,0.09799861907958984
14,2,4,0.16150274872779846
15,3,0,0.9956901669502258
16,3,1,0.9269860982894897
17,3,2,0.1555284559726715
18,3,3,0.09239769726991653
19,3,4,0.14465849101543427
20,4,0,0.9956961870193481
21,4,1,0.9194176197052002
22,4,2,0.16940893232822418
23,4,3,0.10334322601556778
24,4,4,0.16871783137321472
25,5,0,0.9956998825073242
26,5,1,0.921413779258728
27,5,2,0.16410592198371887
28,5,3,0.09747423976659775
29,5,4,0.17418190836906433
30,6,0,0.9548732042312622
31,6,1,0.8497854471206665
32,6,2,0.21737150847911835
33,6,3,0.11354519426822662
34,6,4,0.13553932309150696
35,7,0,0.30895379185676575
36,7,1,0.8220511674880981
37,7,2,0.2468535155057907
38,7,3,0.12040926516056061
39,7,4,0.0987323448061943
40,8,0,0.8601171374320984
41,8,1,0.552829921245575
42,8,2,0.14530150592327118
43,8,3,0.10265743732452393
44,8,4,0.11636168509721756
45,9,0,0.78969407081604
46,9,1,0.8669512271881104
47,9,2,0.1428607851266861
48,9,3,0.10143992304801941
49,9,4,0.08896651118993759
50,10,0,0.3123280107975006
51,10,1,0.8299354910850525
52,10,2,0.13844716548919678
53,10,3,0.08957444131374359
54,10,4,0.08984118700027466
55,11,0,0.306418776512146
56,11,1,0.6578335762023926
57,11,2,0.11570274084806442
58,11,3,0.09416043013334274
59,11,4,0.10297868400812149
60,12,0,0.08726460486650467
61,12,1,0.5613271594047546
62,12,2,0.0850861519575119
63,12,3,0.08736215531826019
64,12,4,0.09896507859230042
65,13,0,0.07880344986915588
66,13,1,0.6877248883247375
67,13,2,0.10470372438430786
68,13,3,0.11223988980054855
69,13,4,0.13040496408939362
70,14,0,0.08455491065979004
71,14,1,0.6331231594085693
72,14,2,0.12038132548332214
73,14,3,0.12405329942703247
74,14,4,0.1656024008989334
75,15,0,0.08685571700334549
76,15,1,0.565390408039093
77,15,2,0.17053574323654175
78,15,3,0.15217283368110657
79,15,4,0.15310591459274292
80,16,0,0.0868486687541008
81,16,1,0.4947092831134796
82,16,2,0.15268170833587646
83,16,3,0.11773944646120071
84,16,4,0.12960627675056458
85,17,0,0.08756903558969498
86,17,1,0.41208571195602417
87,17,2,0.13192784786224365
88,17,3,0.10324576497077942
89,17,4,0.16184526681900024
90,18,0,0.08853374421596527
91,18,1,0.32439523935317993
92,18,2,0.12919554114341736
93,18,3,0.10125027596950531
94,18,4,0.19293735921382904
95,19,0,0.08842989057302475
96,19,1,0.48961299657821655
97,19,2,0.10649648308753967
98,19,3,0.0864543467760086
99,19,4,0.240211620926857
100,20,0,0.0885896235704422
101,20,1,0.48709139227867126
102,20,2,0.09884456545114517
103,20,3,0.10510525107383728
104,20,4,0.35923299193382263
105,21,0,0.08875855803489685
106,21,1,0.48136863112449646
107,21,2,0.11818083375692368
108,21,3,0.10518708825111389
109,21,4,0.3491215109825134
110,22,0,0.08884763717651367
111,22,1,0.5368084907531738
112,22,2,0.14610014855861664
113,22,3,0.11015347391366959
114,22,4,0.43927499651908875
115,23,0,0.08901402354240417
116,23,1,0.4798513650894165
117,23,2,0.1337350457906723
118,23,3,0.11205404996871948
119,23,4,0.46399611234664917
120,24,0,0.08921486884355545
