,layer,pos,prob
0,0,0,0.9439584016799927
1,0,1,0.9312704801559448
2,0,2,0.9448932409286499
3,0,3,0.9409881234169006
4,0,4,0.948422372341156
5,1,0,0.9438707828521729
6,1,1,0.9319946765899658
7,1,2,0.9440654516220093
8,1,3,0.9396404027938843
9,1,4,0.9486954212188721
10,2,0,0.9438806176185608
11,2,1,0.9309936165809631
12,2,2,0.9436447024345398
13,2,3,0.9392381310462952
14,2,4,0.9493704438209534
15,3,0,0.9439383149147034
16,3,1,0.9320778846740723
17,3,2,0.9442263841629028
18,3,3,0.9373787641525269
19,3,4,0.9499319791793823
20,4,0,0.9438974261283875
21,4,1,0.9321902990341187
22,4,2,0.944356381893158
23,4,3,0.9359288811683655
24,4,4,0.9488357901573181
25,5,0,0.9438934922218323
26,5,1,0.9331652522087097
27,5,2,0.9444717168807983
28,5,3,0.9348515272140503
29,5,4,0.9474851489067078
30,6,0,0.946386992931366
31,6,1,0.9423488974571228
32,6,2,0.9447852969169617
33,6,3,0.9353795051574707
34,6,4,0.9452092051506042
35,7,0,0.9448160529136658
36,7,1,0.9477546811103821
37,7,2,0.9467959403991699
38,7,3,0.9373136758804321
39,7,4,0.943304181098938
40,8,0,0.9461109042167664
41,8,1,0.9465941786766052
42,8,2,0.9471883773803711
43,8,3,0.9369221925735474
44,8,4,0.942589282989502
45,9,0,0.9461103677749634
46,9,1,0.9457952380180359
47,9,2,0.9468526840209961
48,9,3,0.9390192031860352
49,9,4,0.9421533942222595
50,10,0,0.9461767077445984
51,10,1,0.9455099701881409
52,10,2,0.9460160136222839
53,10,3,0.9411168098449707
54,10,4,0.9405935406684875
55,11,0,0.9462456703186035
56,11,1,0.945831298828125
57,11,2,0.9471752047538757
58,11,3,0.9437846541404724
59,11,4,0.9401097893714905
60,12,0,0.9462275505065918
61,12,1,0.9463660717010498
62,12,2,0.9473590850830078
63,12,3,0.9443994164466858
64,12,4,0.9419651031494141
65,13,0,0.9461570978164673
66,13,1,0.9465343952178955
67,13,2,0.9468047022819519
68,13,3,0.9452440738677979
69,13,4,0.9386549592018127
70,14,0,0.9461104869842529
71,14,1,0.9472354054450989
72,14,2,0.94634610414505
73,14,3,0.9465042948722839
74,14,4,0.9371510744094849
75,15,0,0.9461135864257812
76,15,1,0.9469782710075378
77,15,2,0.946373701095581
78,15,3,0.9484060406684875
79,15,4,0.9462192058563232
80,16,0,0.9460846185684204
81,16,1,0.9471474289894104
82,16,2,0.9460063576698303
83,16,3,0.9487128257751465
84,16,4,0.9511244893074036
85,17,0,0.9460442066192627
86,17,1,0.9471295475959778
87,17,2,0.9459646344184875
88,17,3,0.9494487047195435
89,17,4,0.9524364471435547
90,18,0,0.9460206031799316
91,18,1,0.9473064541816711
92,18,2,0.9465797543525696
93,18,3,0.9495704770088196
94,18,4,0.9512475728988647
95,19,0,0.945999264717102
96,19,1,0.9476734399795532
97,19,2,0.946427583694458
98,19,3,0.9499070048332214
99,19,4,0.9500870108604431
100,20,0,0.9459632039070129
101,20,1,0.9477139711380005
102,20,2,0.9463225603103638
103,20,3,0.9497706294059753
104,20,4,0.95112144947052
105,21,0,0.945963442325592
106,21,1,0.9472796320915222
107,21,2,0.9459744095802307
108,21,3,0.9489099979400635
109,21,4,0.9520126581192017
110,22,0,0.9459714293479919
111,22,1,0.9471402168273926
112,22,2,0.9466081857681274
113,22,3,0.9482395648956299
114,22,4,0.9527558088302612
115,23,0,0.9459812641143799
116,23,1,0.9471695423126221
117,23,2,0.946690022945404
118,23,3,0.9478965997695923
119,23,4,0.9548123478889465
