,layer,pos,prob
0,0,0,0.9492394924163818
1,0,1,0.9454185366630554
2,0,2,0.9448932409286499
3,0,3,0.9409881234169006
4,0,4,0.948422372341156
5,1,0,0.9492394924163818
6,1,1,0.9454116225242615
7,1,2,0.9440654516220093
8,1,3,0.9396404027938843
9,1,4,0.9486954212188721
10,2,0,0.9492394924163818
11,2,1,0.9455310702323914
12,2,2,0.9436447024345398
13,2,3,0.9392381310462952
14,2,4,0.9493704438209534
15,3,0,0.9492394924163818
16,3,1,0.9455816745758057
17,3,2,0.9442263841629028
18,3,3,0.9373787641525269
19,3,4,0.9499319791793823
20,4,0,0.9492394924163818
21,4,1,0.9455631375312805
22,4,2,0.944356381893158
23,4,3,0.9359288811683655
24,4,4,0.9488357901573181
25,5,0,0.9492394924163818
26,5,1,0.9455537796020508
27,5,2,0.9444717168807983
28,5,3,0.9348515272140503
29,5,4,0.9474851489067078
30,6,0,0.955068051815033
31,6,1,0.9450439810752869
32,6,2,0.9440945982933044
33,6,3,0.9341516494750977
34,6,4,0.9461977481842041
35,7,0,0.9510310888290405
36,7,1,0.9458792805671692
37,7,2,0.9449977278709412
38,7,3,0.9356074929237366
39,7,4,0.9474917650222778
40,8,0,0.94997638463974
41,8,1,0.9453206062316895
42,8,2,0.9456400275230408
43,8,3,0.9355571866035461
44,8,4,0.9464442729949951
45,9,0,0.9499101638793945
46,9,1,0.9462243318557739
47,9,2,0.9467650055885315
48,9,3,0.9355040788650513
49,9,4,0.9472874999046326
50,10,0,0.9499824047088623
51,10,1,0.9494327902793884
52,10,2,0.9470663666725159
53,10,3,0.935802161693573
54,10,4,0.9456453323364258
55,11,0,0.9495574831962585
56,11,1,0.9491450190544128
57,11,2,0.9472551345825195
58,11,3,0.9367977380752563
59,11,4,0.9449532628059387
60,12,0,0.9494591355323792
61,12,1,0.9499863982200623
62,12,2,0.9468599557876587
63,12,3,0.9371327757835388
64,12,4,0.946651041507721
65,13,0,0.9497014284133911
66,13,1,0.9521983861923218
67,13,2,0.9466923475265503
68,13,3,0.9366978406906128
69,13,4,0.942999005317688
70,14,0,0.9493591785430908
71,14,1,0.9529305100440979
72,14,2,0.946793794631958
73,14,3,0.9389516115188599
74,14,4,0.9385644793510437
75,15,0,0.949151873588562
76,15,1,0.9529294967651367
77,15,2,0.9476328492164612
78,15,3,0.9419674277305603
79,15,4,0.9463034272193909
80,16,0,0.9489105939865112
81,16,1,0.9529669880867004
82,16,2,0.9466475248336792
83,16,3,0.9427738785743713
84,16,4,0.9473145604133606
85,17,0,0.9486579895019531
86,17,1,0.9540440440177917
87,17,2,0.9464715719223022
88,17,3,0.9446067810058594
89,17,4,0.949138879776001
90,18,0,0.9485794901847839
91,18,1,0.9522965550422668
92,18,2,0.9466166496276855
93,18,3,0.9449107646942139
94,18,4,0.9469085335731506
95,19,0,0.9482970237731934
96,19,1,0.9545971155166626
97,19,2,0.9461460113525391
98,19,3,0.9462457895278931
99,19,4,0.9474060535430908
100,20,0,0.9480456113815308
101,20,1,0.9569882750511169
102,20,2,0.946083664894104
103,20,3,0.9468692541122437
104,20,4,0.9474060535430908
105,21,0,0.9477530717849731
106,21,1,0.9550557732582092
107,21,2,0.9454332590103149
108,21,3,0.9476300477981567
109,21,4,0.9474060535430908
110,22,0,0.9476815462112427
111,22,1,0.9564293026924133
112,22,2,0.9460450410842896
113,22,3,0.9488270282745361
114,22,4,0.9474060535430908
115,23,0,0.9477198719978333
116,23,1,0.9578680396080017
117,23,2,0.9463794231414795
118,23,3,0.9504818916320801
119,23,4,0.9474060535430908
