,layer,pos,prob
0,0,0,0.947636604309082
1,0,1,0.9446321129798889
2,0,2,0.9414604902267456
3,0,3,0.9399886131286621
4,0,4,0.9440957307815552
5,1,0,0.9476192593574524
6,1,1,0.9444449543952942
7,1,2,0.9410412311553955
8,1,3,0.9392654895782471
9,1,4,0.9425681829452515
10,2,0,0.9476107954978943
11,2,1,0.943193256855011
12,2,2,0.9410465955734253
13,2,3,0.9388732314109802
14,2,4,0.9440661072731018
15,3,0,0.94761723279953
16,3,1,0.9419209957122803
17,3,2,0.9387487173080444
18,3,3,0.9381992220878601
19,3,4,0.9450991153717041
20,4,0,0.9476255774497986
21,4,1,0.9412372708320618
22,4,2,0.9369077086448669
23,4,3,0.9377590417861938
24,4,4,0.942504346370697
25,5,0,0.9476242661476135
26,5,1,0.9401957392692566
27,5,2,0.9372411370277405
28,5,3,0.9339807629585266
29,5,4,0.9404300451278687
30,6,0,0.9486510157585144
31,6,1,0.923655092716217
32,6,2,0.9336621761322021
33,6,3,0.9341595768928528
34,6,4,0.9354007840156555
35,7,0,0.9445498585700989
36,7,1,0.9445741176605225
37,7,2,0.942732572555542
38,7,3,0.9399771690368652
39,7,4,0.9426250457763672
40,8,0,0.9444337487220764
41,8,1,0.9424451589584351
42,8,2,0.9460855722427368
43,8,3,0.9388805031776428
44,8,4,0.932793915271759
45,9,0,0.9459824562072754
46,9,1,0.9415906071662903
47,9,2,0.9481110572814941
48,9,3,0.9402272701263428
49,9,4,0.9385111927986145
50,10,0,0.9459518194198608
51,10,1,0.9407745003700256
52,10,2,0.9488741159439087
53,10,3,0.9402429461479187
54,10,4,0.9362655878067017
55,11,0,0.9459753036499023
56,11,1,0.9473848938941956
57,11,2,0.9448937773704529
58,11,3,0.9395735859870911
59,11,4,0.9444683194160461
60,12,0,0.946048378944397
61,12,1,0.9437189102172852
62,12,2,0.9475702047348022
63,12,3,0.9424027800559998
64,12,4,0.9466646909713745
65,13,0,0.9459947943687439
66,13,1,0.9436674118041992
67,13,2,0.9477016925811768
68,13,3,0.9438784122467041
69,13,4,0.9396571516990662
70,14,0,0.9460143446922302
71,14,1,0.9431571960449219
72,14,2,0.9475260376930237
73,14,3,0.9465145468711853
74,14,4,0.938450038433075
75,15,0,0.9460575580596924
76,15,1,0.9465298056602478
77,15,2,0.9473854303359985
78,15,3,0.9476770758628845
79,15,4,0.9388752579689026
80,16,0,0.9460538029670715
81,16,1,0.9499295949935913
82,16,2,0.9466447234153748
83,16,3,0.9489045143127441
84,16,4,0.9483293890953064
85,17,0,0.9460629820823669
86,17,1,0.9491344690322876
87,17,2,0.9461706280708313
88,17,3,0.9486236572265625
89,17,4,0.9480980038642883
90,18,0,0.946023166179657
91,18,1,0.9498676657676697
92,18,2,0.9453637599945068
93,18,3,0.9503268003463745
94,18,4,0.942375898361206
95,19,0,0.9460251927375793
96,19,1,0.9490281939506531
97,19,2,0.9457576870918274
98,19,3,0.9509193301200867
99,19,4,0.9390984773635864
100,20,0,0.946025550365448
101,20,1,0.9475106000900269
102,20,2,0.9454047083854675
103,20,3,0.9501214623451233
104,20,4,0.9393872618675232
105,21,0,0.9459933042526245
106,21,1,0.945570707321167
107,21,2,0.9454138875007629
108,21,3,0.9503656625747681
109,21,4,0.9360804557800293
110,22,0,0.9459985494613647
111,22,1,0.9463930130004883
112,22,2,0.9452123045921326
113,22,3,0.9487396478652954
114,22,4,0.9432539343833923
115,23,0,0.9460525512695312
116,23,1,0.946683406829834
117,23,2,0.9452660083770752
118,23,3,0.9484630823135376
119,23,4,0.9474403858184814
