,layer,pos,prob
0,0,0,0.0008164441678673029
1,0,1,0.0008164441678673029
2,0,2,0.0008164441678673029
3,0,3,0.0008164441678673029
4,0,4,0.0008164441678673029
5,0,5,0.0008164441678673029
6,0,6,0.0008164441678673029
7,0,7,0.0008164441678673029
8,0,8,0.0008164441678673029
9,0,9,0.0008164441678673029
10,0,10,0.002075785305351019
11,0,11,0.0011248020455241203
12,0,12,0.0008274359279312193
13,0,13,0.0008077211678028107
14,0,14,0.0008580982103012502
15,1,0,0.0008164441678673029
16,1,1,0.0008164441678673029
17,1,2,0.0008164441678673029
18,1,3,0.0008164441678673029
19,1,4,0.0008164441678673029
20,1,5,0.0008164441678673029
21,1,6,0.0008164441678673029
22,1,7,0.0008164441678673029
23,1,8,0.0008164441678673029
24,1,9,0.0008164441678673029
25,1,10,0.002058170735836029
26,1,11,0.0011629110667854548
27,1,12,0.0008075633086264133
28,1,13,0.0008128697518259287
29,1,14,0.000854803598485887
30,2,0,0.0008164441678673029
31,2,1,0.0008164441678673029
32,2,2,0.0008164441678673029
33,2,3,0.0008164441678673029
34,2,4,0.0008164441678673029
35,2,5,0.0008164441678673029
36,2,6,0.0008164441678673029
37,2,7,0.0008164441678673029
38,2,8,0.0008164441678673029
39,2,9,0.0008164441678673029
40,2,10,0.0020913169719278812
41,2,11,0.001295294496230781
42,2,12,0.0008006620919331908
43,2,13,0.0008324832888320088
44,2,14,0.0008220832096412778
45,3,0,0.0008164441678673029
46,3,1,0.0008164441678673029
47,3,2,0.0008164441678673029
48,3,3,0.0008164441678673029
49,3,4,0.0008164441678673029
50,3,5,0.0008164441678673029
51,3,6,0.0008164441678673029
52,3,7,0.0008164441678673029
53,3,8,0.0008164441678673029
54,3,9,0.0008164441678673029
55,3,10,0.002075701719149947
56,3,11,0.001460918807424605
57,3,12,0.0008430099696852267
58,3,13,0.0007920909556560218
59,3,14,0.0008229621453210711
60,4,0,0.0008164441678673029
61,4,1,0.0008164441678673029
62,4,2,0.0008164441678673029
63,4,3,0.0008164441678673029
64,4,4,0.0008164441678673029
65,4,5,0.0008164441678673029
66,4,6,0.0008164441678673029
67,4,7,0.0008164441678673029
68,4,8,0.0008164441678673029
69,4,9,0.0008164441678673029
70,4,10,0.0020589076448231936
71,4,11,0.0015485574258491397
72,4,12,0.0007977248169481754
73,4,13,0.0008156548719853163
74,4,14,0.0008127921028062701
75,5,0,0.0008164441678673029
76,5,1,0.0008164441678673029
77,5,2,0.0008164441678673029
78,5,3,0.0008164441678673029
79,5,4,0.0008164441678673029
80,5,5,0.0008164441678673029
81,5,6,0.0008164441678673029
82,5,7,0.0008164441678673029
83,5,8,0.0008164441678673029
84,5,9,0.0008164441678673029
85,5,10,0.002061845501884818
86,5,11,0.0019418526208028197
87,5,12,0.0008363164961338043
88,5,13,0.0008307251264341176
89,5,14,0.0008543831645511091
90,6,0,0.0008164441678673029
91,6,1,0.0008164441678673029
92,6,2,0.0008164441678673029
93,6,3,0.0008164441678673029
94,6,4,0.0008164441678673029
95,6,5,0.0008164441678673029
96,6,6,0.0008164441678673029
97,6,7,0.0008164441678673029
98,6,8,0.0008164441678673029
99,6,9,0.0008164441678673029
100,6,10,0.0005992375663481653
101,6,11,0.002687564818188548
102,6,12,0.0008009824086911976
103,6,13,0.0008109155460260808
104,6,14,0.0009087848011404276
105,7,0,0.0008164441678673029
106,7,1,0.0008164441678673029
107,7,2,0.0008164441678673029
108,7,3,0.0008164441678673029
109,7,4,0.0008164441678673029
110,7,5,0.0008164441678673029
111,7,6,0.0008164441678673029
112,7,7,0.0008164441678673029
113,7,8,0.0008164441678673029
114,7,9,0.0008164441678673029
115,7,10,0.0006471998058259487
116,7,11,0.00120476761367172
117,7,12,0.0007475521415472031
118,7,13,0.0008202347089536488
119,7,14,0.0009133164421655238
120,8,0,0.0008164441678673029
121,8,1,0.0008164441678673029
122,8,2,0.0008164441678673029
123,8,3,0.0008164441678673029
124,8,4,0.0008164441678673029
125,8,5,0.0008164441678673029
