,layer,pos,prob
0,0,0,0.1522865891456604
1,0,1,0.1522865891456604
2,0,2,0.1522865891456604
3,0,3,0.1522865891456604
4,0,4,0.1522865891456604
5,0,5,0.1522865891456604
6,0,6,0.1522865891456604
7,0,7,0.13424110412597656
8,0,8,0.1740792691707611
9,0,9,0.14364171028137207
10,0,10,0.15013690292835236
11,0,11,0.14972510933876038
12,0,12,0.15764515101909637
13,1,0,0.1522865891456604
14,1,1,0.1522865891456604
15,1,2,0.1522865891456604
16,1,3,0.1522865891456604
17,1,4,0.1522865891456604
18,1,5,0.1522865891456604
19,1,6,0.1522865891456604
20,1,7,0.1340530961751938
21,1,8,0.173847034573555
22,1,9,0.14351776242256165
23,1,10,0.1494184136390686
24,1,11,0.14938955008983612
25,1,12,0.15738989412784576
26,2,0,0.1522865891456604
27,2,1,0.1522865891456604
28,2,2,0.1522865891456604
29,2,3,0.1522865891456604
30,2,4,0.1522865891456604
31,2,5,0.1522865891456604
32,2,6,0.1522865891456604
33,2,7,0.13392667472362518
34,2,8,0.17844948172569275
35,2,9,0.1447877287864685
36,2,10,0.15037424862384796
37,2,11,0.15022064745426178
38,2,12,0.1578463464975357
39,3,0,0.1522865891456604
40,3,1,0.1522865891456604
41,3,2,0.1522865891456604
42,3,3,0.1522865891456604
43,3,4,0.1522865891456604
44,3,5,0.1522865891456604
45,3,6,0.1522865891456604
46,3,7,0.13380196690559387
47,3,8,0.17614953219890594
48,3,9,0.14826083183288574
49,3,10,0.15172719955444336
50,3,11,0.1517276167869568
51,3,12,0.16090209782123566
52,4,0,0.1522865891456604
53,4,1,0.1522865891456604
54,4,2,0.1522865891456604
55,4,3,0.1522865891456604
56,4,4,0.1522865891456604
57,4,5,0.1522865891456604
58,4,6,0.1522865891456604
59,4,7,0.13312110304832458
60,4,8,0.18084022402763367
61,4,9,0.15149974822998047
62,4,10,0.15126533806324005
63,4,11,0.1523553878068924
64,4,12,0.1624545305967331
65,5,0,0.1522865891456604
66,5,1,0.1522865891456604
67,5,2,0.1522865891456604
68,5,3,0.1522865891456604
69,5,4,0.1522865891456604
70,5,5,0.1522865891456604
71,5,6,0.1522865891456604
72,5,7,0.13345466554164886
73,5,8,0.18021608889102936
74,5,9,0.15481685101985931
75,5,10,0.15181677043437958
76,5,11,0.15271951258182526
77,5,12,0.16335445642471313
78,6,0,0.1522865891456604
79,6,1,0.1522865891456604
80,6,2,0.1522865891456604
81,6,3,0.1522865891456604
82,6,4,0.1522865891456604
83,6,5,0.1522865891456604
84,6,6,0.1522865891456604
85,6,7,0.13335056602954865
86,6,8,0.17665086686611176
87,6,9,0.1591421514749527
88,6,10,0.15478523075580597
89,6,11,0.15267494320869446
90,6,12,0.16381685435771942
91,7,0,0.1522865891456604
92,7,1,0.1522865891456604
93,7,2,0.1522865891456604
94,7,3,0.1522865891456604
95,7,4,0.1522865891456604
96,7,5,0.1522865891456604
97,7,6,0.1522865891456604
98,7,7,0.13545584678649902
99,7,8,0.1971476823091507
100,7,9,0.16649945080280304
101,7,10,0.15349601209163666
102,7,11,0.15294866263866425
103,7,12,0.1603376716375351
104,8,0,0.1522865891456604
105,8,1,0.1522865891456604
106,8,2,0.1522865891456604
107,8,3,0.1522865891456604
108,8,4,0.1522865891456604
109,8,5,0.1522865891456604
110,8,6,0.1522865891456604
111,8,7,0.14141599833965302
112,8,8,0.15223051607608795
113,8,9,0.17192716896533966
114,8,10,0.155021071434021
115,8,11,0.1549975425004959
116,8,12,0.16298210620880127
117,9,0,0.1522865891456604
118,9,1,0.1522865891456604
119,9,2,0.1522865891456604
120,9,3,0.1522865891456604
121,9,4,0.1522865891456604
122,9,5,0.1522865891456604
123,9,6,0.1522865891456604
124,9,7,0.15911364555358887
125,9,8,0.16296681761741638
126,9,9,0.1764676719903946
127,9,10,0.15656636655330658
128,9,11,0.15427999198436737
129,9,12,0.15961815416812897
130,10,0,0.1522865891456604
131,10,1,0.1522865891456604
132,10,2,0.1522865891456604
133,10,3,0.1522865891456604
134,10,4,0.1522865891456604
135,10,5,0.1522865891456604
136,10,6,0.1522865891456604
137,10,7,0.15969683229923248
138,10,8,0.1476162225008011
139,10,9,0.17752252519130707
140,10,10,0.1610458493232727
141,10,11,0.15350548923015594
142,10,12,0.16063453257083893
143,11,0,0.1522865891456604
144,11,1,0.1522865891456604
145,11,2,0.1522865891456604
146,11,3,0.1522865891456604
147,11,4,0.1522865891456604
148,11,5,0.1522865891456604
149,11,6,0.1522865891456604
150,11,7,0.17312873899936676
151,11,8,0.14722658693790436
152,11,9,0.17360615730285645
153,11,10,0.16249534487724304
154,11,11,0.15365518629550934
155,11,12,0.15942955017089844
156,12,0,0.1522865891456604
157,12,1,0.1522865891456604
158,12,2,0.1522865891456604
159,12,3,0.1522865891456604
160,12,4,0.1522865891456604
161,12,5,0.1522865891456604
162,12,6,0.1522865891456604
163,12,7,0.15806148946285248
164,12,8,0.15394724905490875
165,12,9,0.1706913560628891
166,12,10,0.1664881408214569
167,12,11,0.1530723124742508
168,12,12,0.16115593910217285
169,13,0,0.1522865891456604
170,13,1,0.1522865891456604
171,13,2,0.1522865891456604
172,13,3,0.1522865891456604
173,13,4,0.1522865891456604
174,13,5,0.1522865891456604
