,layer,pos,prob
0,0,0,0.02201779931783676
1,0,1,0.036280129104852676
2,0,2,0.024556415155529976
3,0,3,0.024969011545181274
4,0,4,0.02573917992413044
5,0,5,0.025953833013772964
6,0,6,0.02534296177327633
7,1,0,0.025983890518546104
8,1,1,0.03315027058124542
9,1,2,0.024538900703191757
10,1,3,0.0249081552028656
11,1,4,0.02560260519385338
12,1,5,0.025910235941410065
13,1,6,0.02518799528479576
14,2,0,0.018463876098394394
15,2,1,0.029476309195160866
16,2,2,0.024608230218291283
17,2,3,0.0250084325671196
18,2,4,0.02535768784582615
19,2,5,0.02586105465888977
20,2,6,0.02524508163332939
21,3,0,0.020772309973835945
22,3,1,0.028519390150904655
23,3,2,0.02475658431649208
24,3,3,0.02385842427611351
25,3,4,0.025076786056160927
26,3,5,0.025809776037931442
27,3,6,0.02509307488799095
28,4,0,0.0231720432639122
29,4,1,0.027387389913201332
30,4,2,0.0252408217638731
31,4,3,0.02319401130080223
32,4,4,0.024564648047089577
33,4,5,0.02567424066364765
34,4,6,0.025293530896306038
35,5,0,0.024609606713056564
36,5,1,0.02771862968802452
37,5,2,0.02514355629682541
38,5,3,0.024335423484444618
39,5,4,0.024165280163288116
40,5,5,0.02600853517651558
41,5,6,0.02651720494031906
42,6,0,0.02762771211564541
43,6,1,0.028004895895719528
44,6,2,0.024027932435274124
45,6,3,0.02478329837322235
46,6,4,0.024395128712058067
47,6,5,0.026284843683242798
48,6,6,0.02651515230536461
49,7,0,0.027077578008174896
50,7,1,0.027146875858306885
51,7,2,0.02526031620800495
52,7,3,0.31373530626296997
53,7,4,0.024599216878414154
54,7,5,0.026296712458133698
55,7,6,0.025788437575101852
56,8,0,0.026576034724712372
57,8,1,0.026644933968782425
58,8,2,0.02538090944290161
59,8,3,0.6032373905181885
60,8,4,0.024610072374343872
61,8,5,0.026287704706192017
62,8,6,0.025746775791049004
63,9,0,0.026979370042681694
64,9,1,0.02581532672047615
65,9,2,0.02522408962249756
66,9,3,0.7124219536781311
67,9,4,0.024750448763370514
68,9,5,0.02656225487589836
69,9,6,0.025294041261076927
70,10,0,0.02721862867474556
71,10,1,0.025111263617873192
72,10,2,0.024664659053087234
73,10,3,0.9356080889701843
74,10,4,0.024884123355150223
75,10,5,0.02641286887228489
76,10,6,0.02525341510772705
77,11,0,0.027195319533348083
78,11,1,0.024733221158385277
79,11,2,0.024469446390867233
80,11,3,0.9749172329902649
81,11,4,0.02502674050629139
82,11,5,0.02610873617231846
83,11,6,0.025026412680745125
84,12,0,0.027187297120690346
85,12,1,0.025266539305448532
86,12,2,0.02417728491127491
87,12,3,0.9781566858291626
88,12,4,0.02484719827771187
89,12,5,0.026123199611902237
90,12,6,0.024853261187672615
91,13,0,0.027268601581454277
92,13,1,0.02680465765297413
93,13,2,0.023326022550463676
94,13,3,0.9812659621238708
95,13,4,0.025211529806256294
96,13,5,0.02624967321753502
97,13,6,0.024592764675617218
98,14,0,0.027238421142101288
99,14,1,0.029981398954987526
100,14,2,0.023596810176968575
101,14,3,0.9838719367980957
102,14,4,0.024900389835238457
103,14,5,0.025905033573508263
104,14,6,0.02474096231162548
105,15,0,0.02723022736608982
106,15,1,0.031269464641809464
107,15,2,0.0248197540640831
108,15,3,0.9836265444755554
109,15,4,0.026004591956734657
110,15,5,0.02557707019150257
111,15,6,0.024628974497318268
112,16,0,0.0272575244307518
113,16,1,0.03146074712276459
114,16,2,0.024192379787564278
115,16,3,0.9799057841300964
116,16,4,0.028770631179213524
117,16,5,0.025701036676764488
118,16,6,0.024581894278526306
119,17,0,0.02730308100581169
120,17,1,0.03307288885116577
121,17,2,0.024829385802149773
122,17,3,0.9693648219108582
123,17,4,0.03051198646426201
124,17,5,0.026289077475667
125,17,6,0.025930872187018394
126,18,0,0.027337072417140007
127,18,1,0.03318055719137192
128,18,2,0.024797707796096802
129,18,3,0.9567721486091614
130,18,4,0.029433023184537888
131,18,5,0.027662547305226326
132,18,6,0.026660455390810966
133,19,0,0.02739487588405609
134,19,1,0.03347410634160042
135,19,2,0.025408921763300896
136,19,3,0.9584106206893921
137,19,4,0.02972341887652874
138,19,5,0.028140924870967865
139,19,6,0.027617786079645157
140,20,0,0.02736590802669525
141,20,1,0.033636126667261124
142,20,2,0.025775613263249397
143,20,3,0.9510413408279419
144,20,4,0.029988864436745644
145,20,5,0.028622688725590706
146,20,6,0.02770259603857994
147,21,0,0.027437571436166763
148,21,1,0.03422173112630844
149,21,2,0.02631259709596634
150,21,3,0.9466922879219055
151,21,4,0.03149447217583656
152,21,5,0.030669670552015305
153,21,6,0.02991415001451969
154,22,0,0.027425391599535942
155,22,1,0.034861598163843155
156,22,2,0.027235278859734535
157,22,3,0.9385921359062195
158,22,4,0.030018340796232224
159,22,5,0.02946886047720909
160,22,6,0.03243254870176315
161,23,0,0.02739810384809971
162,23,1,0.034783244132995605
163,23,2,0.0276870708912611
164,23,3,0.92942214012146
165,23,4,0.02985336445271969
166,23,5,0.028845975175499916
167,23,6,0.03392608091235161
168,24,0,0.027388252317905426
169,24,1,0.03475254401564598
170,24,2,0.028597192838788033
171,24,3,0.9099176526069641
172,24,4,0.02980673499405384
173,24,5,0.02974681742489338
174,24,6,0.05009525269269943
175,25,0,0.027451103553175926
176,25,1,0.03471938520669937
177,25,2,0.02889499068260193
178,25,3,0.8945028185844421
179,25,4,0.030021920800209045
180,25,5,0.029705272987484932
181,25,6,0.05202596262097359
182,26,0,0.027490101754665375
183,26,1,0.03438130393624306
184,26,2,0.029232729226350784
185,26,3,0.8790917992591858
186,26,4,0.029441406950354576
187,26,5,0.03000616282224655
188,26,6,0.06159770488739014
189,27,0,0.027575915679335594
190,27,1,0.03366429731249809
191,27,2,0.029372189193964005
192,27,3,0.8761127591133118
193,27,4,0.02904476970434189
194,27,5,0.03008601814508438
195,27,6,0.06929614394903183
196,28,0,0.027563080191612244
197,28,1,0.033624544739723206
198,28,2,0.029768528416752815
199,28,3,0.8451798558235168
200,28,4,0.02908581867814064
201,28,5,0.030777722597122192
202,28,6,0.0859069749712944
203,29,0,0.027499070391058922
204,29,1,0.0332663469016552
205,29,2,0.0294028390198946
206,29,3,0.7859107851982117
207,29,4,0.033228956162929535
208,29,5,0.04024668037891388
209,29,6,0.2698420584201813
210,30,0,0.027556944638490677
211,30,1,0.03367764875292778
212,30,2,0.029857220128178596
213,30,3,0.7479678988456726
214,30,4,0.0368216373026371
215,30,5,0.048213619738817215
216,30,6,0.4254787564277649
217,31,0,0.027444075793027878
218,31,1,0.033434800803661346
219,31,2,0.02820250578224659
220,31,3,0.6908422708511353
221,31,4,0.035390596836805344
222,31,5,0.04885421693325043
223,31,6,0.6375672221183777
224,32,0,0.027370570227503777
225,32,1,0.03329172357916832
226,32,2,0.02801397442817688
227,32,3,0.6312453150749207
228,32,4,0.03429707512259483
229,32,5,0.048200029879808426
230,32,6,0.6430460810661316
231,33,0,0.027212707325816154
232,33,1,0.032301079481840134
233,33,2,0.028216363862156868
234,33,3,0.6015583872795105
235,33,4,0.03540363907814026
236,33,5,0.052006661891937256
237,33,6,0.7351605296134949
238,34,0,0.027057530358433723
239,34,1,0.03234896808862686
240,34,2,0.02814861387014389
241,34,3,0.5678120255470276
242,34,4,0.03610804304480553
243,34,5,0.054742272943258286
244,34,6,0.8040616512298584
245,35,0,0.0270451121032238
246,35,1,0.03168339654803276
247,35,2,0.02713759057223797
248,35,3,0.34150466322898865
249,35,4,0.030232088640332222
250,35,5,0.03914536535739899
251,35,6,0.8913754820823669
252,36,0,0.027096714824438095
253,36,1,0.03132199868559837
254,36,2,0.02700580470263958
255,36,3,0.18969199061393738
256,36,4,0.029185393825173378
257,36,5,0.03771805763244629
258,36,6,0.9442893862724304
259,37,0,0.02703806944191456
260,37,1,0.03163262829184532
261,37,2,0.027240633964538574
262,37,3,0.18771550059318542
263,37,4,0.029191382229328156
264,37,5,0.037654630839824677
265,37,6,0.9419657588005066
266,38,0,0.026928508654236794
267,38,1,0.03049462102353573
268,38,2,0.02774529531598091
269,38,3,0.11191115528345108
270,38,4,0.029034573584794998
271,38,5,0.03743898496031761
272,38,6,0.9472044110298157
273,39,0,0.02685227431356907
274,39,1,0.02957075461745262
275,39,2,0.027458468452095985
276,39,3,0.09599298983812332
277,39,4,0.02941207028925419
278,39,5,0.03807342052459717
279,39,6,0.9487892389297485
280,40,0,0.026824994012713432
281,40,1,0.030224835500121117
282,40,2,0.02729475498199463
283,40,3,0.08936364203691483
284,40,4,0.02948158234357834
285,40,5,0.0381137952208519
286,40,6,0.952121913433075
287,41,0,0.02677932009100914
288,41,1,0.030371664091944695
289,41,2,0.027464699000120163
290,41,3,0.09011376649141312
291,41,4,0.029790958389639854
292,41,5,0.038348112255334854
293,41,6,0.9492460489273071
294,42,0,0.02678944543004036
295,42,1,0.028760898858308792
296,42,2,0.0261626485735178
297,42,3,0.029231006279587746
298,42,4,0.027977462857961655
299,42,5,0.0387139655649662
300,42,6,0.968269407749176
301,43,0,0.026684684678912163
302,43,1,0.027926579117774963
303,43,2,0.026233412325382233
304,43,3,0.02739902026951313
305,43,4,0.02786075323820114
306,43,5,0.03619254752993584
307,43,6,0.969871997833252
308,44,0,0.02653643488883972
309,44,1,0.028245149180293083
310,44,2,0.026182042434811592
311,44,3,0.027183137834072113
312,44,4,0.027189498767256737
313,44,5,0.03057078644633293
314,44,6,0.9731921553611755
315,45,0,0.02651800960302353
316,45,1,0.028052978217601776
317,45,2,0.026004895567893982
318,45,3,0.026242559775710106
319,45,4,0.02684599719941616
320,45,5,0.027795318514108658
321,45,6,0.9750222563743591
322,46,0,0.026452917605638504
323,46,1,0.027120647951960564
324,46,2,0.025975657626986504
325,46,3,0.026432642713189125
326,46,4,0.026707107201218605
327,46,5,0.026671798899769783
328,46,6,0.9773321747779846
329,47,0,0.026176420971751213
330,47,1,0.026176420971751213
331,47,2,0.026176420971751213
332,47,3,0.026176420971751213
333,47,4,0.026176420971751213
334,47,5,0.026176420971751213
335,47,6,0.9763795733451843
